Season,Champion,Runner-up,Result,Finals MVP,Champion's Coach
1991–92,Smelt Olimpija,Optimizem Postojna,3–0,—,Zmago Sagadin
1992–93,Smelt Olimpija,Slovenica Koper,3–1,—,Zmago Sagadin
1993–94,Smelt Olimpija,TAM Bus Maribor,3–0,—,Zmago Sagadin
1994–95,Smelt Olimpija,Kovinotehna Savinjska Polzela,3–0,—,Sergej Ravnikar
1995–96,Smelt Olimpija,Interier Krško,3–1,—,Žarko Đurišić
1996–97,Smelt Olimpija,Kovinotehna Savinjska Polzela,3–1,—,Zmago Sagadin
1997–98,Union Olimpija,Kovinotehna Savinjska Polzela,3–0,—,Zmago Sagadin
1998–99,Union Olimpija,Pivovarna Laško,3–0,—,Zmago Sagadin
1999–00,Krka Telekom,Pivovarna Laško,3–1,—,Ivan Sunara
2000–01,Union Olimpija,Krka Telekom,3–0,—,Zmago Sagadin
2001–02,Union Olimpija,Krka,3–0,—,Zmago Sagadin
2002–03,Krka,Union Olimpija,3–2,—,Neven Spahija
2003–04,Union Olimpija,Pivovarna Laško,3–0,—,Sašo Filipovski
2004–05,Union Olimpija,Geoplin Slovan,3–2,—,Sašo Filipovski
2005–06,Union Olimpija,Geoplin Slovan,3–2,—,Zmago Sagadin
2006–07,Helios Domžale,Union Olimpija,3–2,—,Memi Bečirovič
2007–08,Union Olimpija,Helios Domžale,3–1,—,Aleksandar Džikić
2008–09,Union Olimpija,Helios Domžale,3–0,—,Jure Zdovc
2009–10,Krka,Union Olimpija,3–2,Smiljan Pavič,Aleksandar Džikić
2010–11,Krka,Union Olimpija,3–2,Zoran Dragić,Aleksandar Džikić
2011–12,Krka,Union Olimpija,3–1,Afik Nissim,Aleksander Sekulić
2012–13,Krka,Union Olimpija,3–1,Matjaž Smodiš,Gašper Potočnik
2013–14,Krka,Union Olimpija,3–2,Jaka Klobučar,Aleksandar Džikić
2014–15,Tajfun,Rogaška,3–1,Dragiša Drobnjak,Dejan Mihevc
2015–16,Helios Suns,Zlatorog Laško,3–1,Marjan Čakarun,Jakša Vulić
2016–17,Union Olimpija,Rogaška,3–1,Devin Oliver,Gašper Okorn
2017–18,Petrol Olimpija,Krka,3–2,Devin Oliver,Zoran Martič
2018–19,Sixt Primorska,Petrol Olimpija,3–0,Marjan Čakarun,Jurica Golemac
2019–20,The season was cancelled due to the COVID-19 pandemic,The season was cancelled due to the COVID-19 pandemic,The season was cancelled due to the COVID-19 pandemic,The season was cancelled due to the COVID-19 pandemic,The season was cancelled due to the COVID-19 pandemic
2020–21,Cedevita Olimpija,Krka,3–0,Kendrick Perry,Jurica Golemac
2021–22,Cedevita Olimpija,Helios Suns,3–0,Alen Omić,Jurica Golemac
