Year,Champions,Result,Runners-up,Playoffs MVP,Unnamed: 5,Unnamed: 6
1997,Busan Kia Enterprise,4–1,Wonju Naray Blue Bird,Kang Dong-hee (Kia),,
1997–98,Daejeon Hyundai Dynat,4–3,Busan Kia Enterprise,Hur Jae (Kia),,
1998–99,Daejeon Hyundai Dynat,4–1,Busan Kia Enterprise,Cho Sung-won (Hyundai),,
1999–2000,Cheongju SK Knights,4–2,Daejeon Hyundai Gullivers,Seo Jang-hoon (SK),,
2000–01,Suwon Samsung Thunders,4–1,Changwon LG Sakers,Joo Hee-jung (Samsung),,
2001–02,Daegu Tongyang Orions,4–3,Seoul SK Knights,Marcus Hicks (Tongyang),,
2002–03,Wonju TG Xers,4–2,Daegu Tongyang Orions,David Jackson (TG),,
2003–04,Jeonju KCC Egis,4–3,Wonju TG Sambo Xers,Lee Sang-min (KCC),,
2004–05,Wonju TG Sambo Xers,4–2,Jeonju KCC Egis,Kim Joo-sung (TG Sambo),,
2005–06,Seoul Samsung Thunders,4–0,Ulsan Mobis Phoebus,Kang Hyuk (Samsung),,
2006–07,Ulsan Mobis Phoebus,4–3,Busan KTF Magic Wings,Yang Dong-geun (Mobis),,
2007–08,Wonju Dongbu Promy,4–1,Seoul Samsung Thunders,Kim Joo-sung (Dongbu),,
2008–09,Jeonju KCC Egis,4–3,Seoul Samsung Thunders,Choo Seung-gyun (KCC),,
2009–10,Ulsan Mobis Phoebus,4–2,Jeonju KCC Egis,Ham Ji-hoon (Mobis),,
2010–11,Jeonju KCC Egis,4–2,Wonju Dongbu Promy,Ha Seung-jin (KCC),,
2011–12,Anyang KGC,4–2,Wonju Dongbu Promy,Oh Se-keun (KGC),,
2012–13,Ulsan Mobis Phoebus,4–0,Seoul SK Knights,Yang Dong-geun (Mobis),,
2013–14,Ulsan Mobis Phoebus,4–2,Changwon LG Sakers,Moon Tae-young (Mobis),,
2014–15,Ulsan Mobis Phoebus,4–0,Wonju Dongbu Promy,Yang Dong-geun (Mobis),,
2015–16,Goyang Orion Orions,4–2,Jeonju KCC Egis,Lee Seung-hyun (Orion),,
2016–17,Anyang KGC,4–2,Seoul Samsung Thunders,Oh Se-keun (KGC),,
2017–18,Seoul SK Knights,4–2,Wonju DB Promy,Terrico White (SK),,
2018–19,Ulsan Hyundai Mobis Phoebus,4–1,Incheon Electroland Elephants,Lee Dae-sung (Mobis),,
2019–20,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic
2020–21,Anyang KGC,4–0,Jeonju KCC Egis,Jared Sullinger (KGC),,
2021–22,Seoul SK Knights,4–1,Anyang KGC,Kim Sun-hyung (SK),,
2022–23,Anyang KGC,4–3,Seoul SK Knights,Oh Se-keun (KGC),,
