Season,Champion,Runner-up,Series,Finals MVP,Champion's Coach
1983–84,Real Madrid,FC Barcelona,2–1,Not awarded,Lolo Sainz
1984–85,Real Madrid,Ron Negrita Joventut,2–1,Not awarded,Lolo Sainz
1985–86,Real Madrid,FC Barcelona,2–0,Not awarded,Lolo Sainz
1986–87,FC Barcelona,Ron Negrita Joventut,3–1,Not awarded,Aíto García Reneses
1987–88,FC Barcelona,Real Madrid,3–2,Not awarded,Aíto García Reneses
1988–89,FC Barcelona,Real Madrid,3–2,Not awarded,Aíto García Reneses
1989–90,FC Barcelona,RAM Joventut,3–0,Not awarded,Aíto García Reneses
1990–91,Montigalà Joventut,FC Barcelona,3–1,Corny Thompson,Lolo Sainz
1991–92,Montigalà Joventut,Real Madrid Asegurator,3–2,Mike Smith,Lolo Sainz
1992–93,Real Madrid Teka,Marbella Joventut,3–2,Arvydas Sabonis,Clifford Luyk
1993–94,Real Madrid Teka,FC Barcelona Banca Catalana,3–0,Arvydas Sabonis,Clifford Luyk
1994–95,FC Barcelona Banca Catalana,Unicaja,3–2,Michael Ansley,Aíto García Reneses
1995–96,FC Barcelona Banca Catalana,Caja San Fernando,3–0,Xavi Fernández,Aíto García Reneses
1996–97,FC Barcelona Banca Catalana,Real Madrid Teka,3–2,Roberto Dueñas,Aíto García Reneses
1997–98,TDK Manresa,TAU Cerámica,3–1,Joan Creus,Luis Casimiro
1998–99,FC Barcelona,Caja San Fernando,3–0,Derrick Alston,Aíto García Reneses
1999–00,Real Madrid Teka,FC Barcelona,3–2,Alberto Angulo,Sergio Scariolo
2000–01,FC Barcelona,Real Madrid Teka,3–0,Pau Gasol,Aíto García Reneses
2001–02,TAU Cerámica,Unicaja,3–0,Elmer Bennett,Duško Ivanović
2002–03,FC Barcelona,Pamesa Valencia,3–0,Šarūnas Jasikevičius,Svetislav Pešić
2003–04,FC Barcelona,Adecco Estudiantes,3–2,Dejan Bodiroga,Svetislav Pešić
2004–05,Real Madrid,TAU Cerámica,3–2,Louis Bullock,Božidar Maljković
2005–06,Unicaja,TAU Cerámica,3–0,Jorge Garbajosa,Sergio Scariolo
2006–07,Real Madrid,Winterthur FC Barcelona,3–1,Felipe Reyes,Joan Plaza
2007–08,TAU Cerámica,AXA FC Barcelona,3–0,Pete Mickeal,Neven Spahija
2008–09,Regal FC Barcelona,TAU Cerámica,3–1,Juan Carlos Navarro,Xavi Pascual
2009–10,Caja Laboral,Regal FC Barcelona,3–0,Tiago Splitter,Duško Ivanović
2010–11,Regal FC Barcelona,Bizkaia Bilbao Basket,3–0,Juan Carlos Navarro,Xavi Pascual
2011–12,FC Barcelona Regal,Real Madrid,3–2,Erazem Lorbek,Xavi Pascual
2012–13,Real Madrid,FC Barcelona Regal,3–2,Felipe Reyes,Pablo Laso
2013–14,FC Barcelona,Real Madrid,3–1,Juan Carlos Navarro,Xavi Pascual
2014–15,Real Madrid,FC Barcelona,3–0,Sergio Llull,Pablo Laso
2015–16,Real Madrid,FC Barcelona Lassa,3–1,Sergio Llull,Pablo Laso
2016–17,Valencia Basket,Real Madrid,3–1,Bojan Dubljević,Pedro Martínez
2017–18,Real Madrid,Kirolbet Baskonia,3–1,Rudy Fernández,Pablo Laso
2018–19,Real Madrid,Barça Lassa,3–1,Facundo Campazzo,Pablo Laso
2019–20[c],Kirolbet Baskonia,Barça,69–67[d],Luca Vildoza,Duško Ivanović
2020–21,Barça,Real Madrid,2–0,Nikola Mirotić,Šarūnas Jasikevičius
2021–22,Real Madrid,Barça,3–1,Walter Tavares,Pablo Laso
