Season,Champion,Runner-up,MVP,Champion's Coach
1996–97,CB Ciudad de Huelva,Caja Cantabria,Bob Harstad,Sergio Valdeolmillos
1997–98,Murcia Artel,Baloncesto Fuenlabrada,Tony Smith,Felipe Coello
1998–99,Breogán Universidade,Cabitel Gijón,Eric Cuthrell,Paco García
1999–00,CB Lucentum Alicante,Club Ourense Baloncesto,Joe Bunn,Andreu Casadevall
2000–01,Caprabo Lleida,CB Granada,Michael Wilson,Edu Torres
2001–02,CB Lucentum Alicante,Minorisa.net Manresa,Lawrence Lewis,Julio Lamas
2002–03,Etosa Murcia,Unelco Tenerife,Jaime Peterson,Felipe Coello
2003–04,Bilbao Basket,CB Granada,Aaron Swinson,Txus Vidorreta
2004–05,Baloncesto Fuenlabrada,IBB Hoteles Menorca,Ricardo Guillén,Luis Casimiro
2005–06,Bruesa GBC,Polaris World Murcia,Thomas Terrell,Porfirio Fisac
2006–07,Ricoh Manresa,Climalia León,Ricardo Guillén,Jaume Ponsarnau
2007–08,Basket CAI Zaragoza,Bruesa GBC,Andy Panko,Curro Segura
2008–09,CB Valladolid,CB Lucentum Alicante,Jakim Donaldson,Porfirio Fisac
2009–10,Basket CAI Zaragoza,ViveMenorca,Jakim Donaldson,José Luis Abós
2010–11,CB Murcia,Blu:sens Monbús,Ricardo Guillén,Luis Guil
2011–12,Iberostar Canarias[a],Menorca Bàsquet[b],Jakim Donaldson,Alejandro Martínez
2012–13,Ford Burgos[b][c],CB Lucentum Alicante[b],Ondřej Starosta,Andreu Casadevall
2013–14,River Andorra MoraBanc,Ford Burgos[b][d],Jordi Trias,Joan Peñarroya
2014–15,Ford Burgos[b][d],Club Ourense Baloncesto[b],Ricardo Guillén,Andreu Casadevall
2015–16,Quesos Cerrato Palencia[b],Club Melilla Baloncesto[b],Óliver Arteaga,Porfirio Fisac / Sergio García
2016–17,RETAbet.es GBC,San Pablo Inmobiliaria Burgos,Jordi Trias,Porfirio Fisac
2017–18,Cafés Candelas Breogán,ICL Manresa,Jordi Trias,Natxo Lezkano
2018–19,Real Betis Energía Plus,RETAbet Bilbao Basket,Tyson Pérez,Curro Segura
2019–20,Season curtailed in response to the COVID-19 pandemic.[e],Season curtailed in response to the COVID-19 pandemic.[e],Season curtailed in response to the COVID-19 pandemic.[e],Season curtailed in response to the COVID-19 pandemic.[e]
2020–21,Río Breogán,Covirán Granada,Kevin Larsen,Diego Epifanio
2021–22,Covirán Granada,Club Bàsquet Girona 2014,Marc Gasol,Pablo Pin
