Season,Champion,Other promoted teams,MVP
2000–01,Llobregat Centre Cornellà,CD Universidad Complutense,Rahshon Turner
2001–02,Basket Bilbao Berri,CB Tarragona,Melvin Simon
2002–03,CB Aracena,CBC Algeciras Cepsa,John Schuck
2003–04,Valls Félix Hotel,Calpe Aguas de Calpe,Shalawn Miller
2004–05,CB L'Hospitalet,Alcúdia-Aracena,Thomas Terrell
2005–06,Autocid Ford Burgos,Aguas de Valencia Gandía,Brett Beeson
2006–07,Beirasar Rosalía,Ciudad de La Laguna Canarias,Jason Blair
2007–08,Akasvayu Vic,Illescas Urban CLM,Stevie Johnson
2008–09,Faymasa Palencia,WTC Almeda Park Cornellà,Robert Joseph
2009–10,Fundación Adepal Alcázar,Lobe Huesca,Ronald Thompson
2010–11,Knet Rioja,Iberostar Mallorca Bàsquet,Ian O'Leary
2011–12,River Andorra,Aguas de Sousas Ourense,Marko Todorović
2012–13,Unión Financiera Asturiana Oviedo Baloncesto,Palma Air Europa,Will Hanley
2013–14,Fundación Baloncesto Fuenlabrada,CB Prat,Ola Atoyebi
2014–15,Cáceres Patrimonio de la Humanidad,Amics Castelló,Nick Washburn
2015–16,Marín Ence Peixegalego,Sáenz Horeca Araberri,Javonte Green
2016–17,Sammic ISB,Comercial Ulsa Ciudad de Valladolid,Sergio de la Fuente
2017–18,Covirán Granada,Real Canoe NC,Tyson Pérez
2018–19,HLA Alicante,Afanion CB Almansa and Marín Ence PeixeGalego,Jordi Trias
2019–20,Season curtailed due to the COVID-19 pandemic.[a],Season curtailed due to the COVID-19 pandemic.[a],Season curtailed due to the COVID-19 pandemic.[a]
2020–21,Juaristi ISB,Barça B and CB Prat,—
2021–22,Grupo Alega Cantabria CBT,Bueno Arenas Albacete Basket and Hereda Club Ourense Baloncesto,—
