Season,Champion,Runner-up,Score,Finals MVP
1992–93,Stockholm Capitals,Norrköping Dolphins,3–0,—
1993–94,Kärcher Basket,Norrköping Dolphins,3–0,—
1994–95,Alvik,Kärcher Basket,3–0,—
1995–96,New Wave Sharks,Södertälje Kings,3–2,—
1996–97,Plannja Basket,M7 Borås,3–1,—
1997–98,Norrköping Dolphins,Plannja Basket,3–1,—
1998–99,Plannja Basket,08 Stockholm Human Rights,3–0,—
1999–00,Plannja Basket,M7 Borås,3–1,—
2000–01,08 Stockholm Human Rights,Norrköping Dolphins,3–0,—
2001–02,Plannja Basket,Södertälje Kings,3–2,—
2002–03,Solna Vikings,Plannja Basket,3–1,—
2003–04,Plannja Basket,Norrköping Dolphins,4–1,—
2004–05,Södertälje Kings,Sundsvall Dragons,4–2,—
2005–06,Plannja Basket,Solna Vikings,4–1,—
2006–07,Plannja Basket,08 Stockholm Human Rights,4–2,—
2007–08,Solna Vikings,Sundsvall Dragons,3–0,—
2008–09,Sundsvall Dragons,Solna Vikings,4–3,—
2009–10,Norrköping Dolphins,Plannja Basket,4–1,—
2010–11,Sundsvall Dragons,Norrköping Dolphins,4–3,—
2011–12,Norrköping Dolphins,Södertälje Kings,4–2,Johnell Smith
2012–13,Södertälje Kings,Sundsvall Dragons,4–2,John Roberson
2013–14,Södertälje Kings,Norrköping Dolphins,4–3,Toni Bizaca
2014–15,Södertälje Kings,Uppsala,4–1,John Roberson
2015–16,Södertälje Kings,Norrköping Dolphins,4–0,Skyler Bowlin
2016–17,BC Luleå,Södertälje Kings,4–1,Brandon Rozzell
2017–18,Norrköping Dolphins,BC Luleå,4–3,—
2018–19,Södertälje Kings,Borås Basket,4–1,—
2019–20[a],Borås,BC Luleå,—,—
2020–21,Norrköping Dolphins,Södertälje BBK,4–0,Adam Ramstedt
2021–22,Norrköping Dolphins,Jämtland Basket,4–2,Felix Terins
