Club,Winners,Years won
Fribourg Olympic,19,"1965–66, 1970–71, 1972–73, 1973–74, 1977–78, 1978–79, 1980–81, 1981–82, 1984–85, 1991–92, 1996–97, 1997–98, 1998–99, 2006–07, 2007–08, 2015–16, 2017–18, 2018–19, 2020–21, 2021–22"
Urania Genève,15,"1933–34, 1937–38, 1940–41, 1941–42, 1942–43, 1943–44, 1945–46, 1946–47, 1947–48, 1948–49, 1957–58, 1958–59, 1963–64, 1964–65, 1966–67"
Lugano Tigers,8,"1999–2000, 2000–01, 2001–02, 2005–06, 2009–10, 2010–11, 2011–12, 2013–14"
Stade Français Genève,7,"1949–50, 1959–60, 1961–62, 1967–68, 1968–69, 1969–70, 1971–72"
Jonction,6,"1951–52, 1952–53, 1953–54, 1954–55, 1955–56, 1956–57"
Pully,4,"1985–86, 1986–87, 1988–89, 1989–90"
Monthey,3,"1995–96, 2004–05, 2016–17"
Bellinzona,3,"1992–93, 1993–94, 1994–95"
Federale,3,"1974–75, 1975–76, 1976–77"
Servette,3,"1932–33, 1934–35, 1935–36"
Lions de Genève,2,"2012–13, 2014–15"
Boncourt,2,"2002–03, 2003–04"
Sanas Merry Boys / BBC Lausanne,2,"1950–51, 1962–63"
Vevey,2,"1983–84, 1990–91"
Vacallo,1,2008–09
Champel Genève,1,1987–88
Nyon,1,1982–83
Viganello,1,1979–80
CAG Genève,1,1945–46
Genève,1,1936–37
Uni Bern,1,1931–32
