Club,Winners,Runners-up,Years won
Anadolu Efes,15,13,"1979, 1983, 1984, 1992, 1993, 1994, 1996, 1997, 2002, 2003, 2004, 2005, 2009, 2019, 2021"
Fenerbahçe,10,10,"1991, 2007, 2008, 2010, 2011, 2014, 2016, 2017, 2018, 2022"
Eczacıbaşı,8,1,"1976, 1977, 1978, 1980, 1981, 1982, 1988, 1989"
Galatasaray,5,5,"1969, 1985, 1986, 1990, 2013"
İTÜ,5,1,"1968, 1970, 1971, 1972, 1973"
Ülker,4,5,"1995, 1998, 2001, 2006"
Beşiktaş,2,7,"1975, 2012"
Tofaş,2,3,"1999, 2000"
Karşıyaka,2,1,"1987, 2015"
Altınordu,1,—,1967
Muhafızgücü,1,—,1974
Çukurova Sanayi,—,2,
Paşabahçe,—,2,
Şekerspor,—,2,
Türk Telekom,—,2,
Bandırma Basketbol,—,1,
