#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Zhejiang Chouzhou,38,48.2,116.1,42.0,89.1,0.472,8.9,26.9,0.331,23.3,29.6,0.786,13.8,27.2,40.9,16.8,8.3,3.5,13.1,28.7,2015,Chinese-CBA,0
2,Guangzhou Loong Lions,38,48.3,115.4,41.2,81.8,0.503,11.2,27.4,0.407,21.9,27.4,0.799,12.8,25.2,38.0,15.7,7.4,3.9,13.8,24.5,2015,Chinese-CBA,0
3,Guangdong Dongguan,46,48.2,115.1,41.7,80.7,0.517,10.4,26.5,0.394,21.4,29.1,0.736,12.5,30.1,42.7,20.2,8.8,3.4,14.6,25.7,2015,Chinese-CBA,0
4,Jilin Northeast,41,48.1,114.6,43.6,89.9,0.485,10.3,30.5,0.337,17.3,23.2,0.744,14.0,29.1,43.1,19.2,9.4,2.7,12.5,22.0,2015,Chinese-CBA,0
5,Qingdao,44,48.0,114.3,42.5,84.0,0.506,9.5,24.8,0.382,19.8,25.6,0.774,10.9,29.2,40.1,18.6,6.9,3.3,12.9,23.2,2015,Chinese-CBA,0
6,Liaoning,50,48.1,113.3,41.5,83.8,0.495,11.1,28.4,0.392,19.2,24.7,0.775,13.9,29.0,42.9,20.4,10.1,3.8,12.9,22.7,2015,Chinese-CBA,0
7,Zhejiang Guangsha,41,48.2,112.1,41.4,82.4,0.503,8.0,23.4,0.344,21.2,28.9,0.735,14.0,28.7,42.8,17.0,9.5,3.5,15.9,24.0,2015,Chinese-CBA,0
8,Xinjiang Guanghui,38,48.0,111.8,41.2,81.3,0.507,10.6,28.9,0.365,18.9,24.8,0.763,12.8,28.4,41.2,16.3,9.4,4.3,14.2,25.9,2015,Chinese-CBA,0
9,Shanxi Zhongyu,41,48.1,111.8,42.5,83.8,0.507,9.4,24.0,0.39,17.4,23.3,0.746,11.3,29.1,40.4,16.6,8.8,3.4,12.9,23.1,2015,Chinese-CBA,0
10,Shenzhen,42,48.0,110.5,40.1,82.5,0.486,10.1,27.9,0.364,20.1,26.1,0.77,13.2,28.2,41.5,16.6,6.4,3.1,12.2,21.8,2015,Chinese-CBA,0
11,Beijing Shougang,51,48.2,110.3,39.9,79.3,0.502,10.5,26.0,0.403,20.1,27.4,0.735,10.5,28.9,39.3,19.0,8.7,3.5,12.5,24.8,2015,Chinese-CBA,1
12,Fujian,38,48.1,107.8,41.3,81.9,0.504,9.1,25.0,0.363,16.1,21.6,0.743,10.8,28.1,38.9,16.7,5.9,1.6,14.0,21.2,2015,Chinese-CBA,0
13,Nanjing Tongxi Monkey King,38,48.0,105.1,38.2,79.6,0.48,10.9,31.2,0.349,17.8,24.0,0.741,10.7,26.2,36.9,15.9,9.0,1.5,17.0,22.7,2015,Chinese-CBA,0
14,Jiangsu Kendia,38,47.9,105.0,38.7,82.7,0.467,10.8,30.2,0.359,16.7,22.7,0.735,12.4,23.9,36.3,16.7,11.3,2.7,14.3,22.1,2015,Chinese-CBA,0
15,Beijing BeiKong,38,48.1,103.9,37.2,76.8,0.484,7.1,22.7,0.315,22.4,30.2,0.744,10.5,25.1,35.6,15.6,8.2,2.2,15.2,24.4,2015,Chinese-CBA,0
16,Tianjin Ronggang,38,48.5,103.6,37.4,80.0,0.467,8.5,25.7,0.331,20.4,26.4,0.772,11.9,27.2,39.1,14.3,7.8,3.4,14.1,22.4,2015,Chinese-CBA,0
17,Shandong,38,48.0,102.0,36.6,77.3,0.473,9.7,25.5,0.382,19.1,25.3,0.754,11.5,28.5,40.0,14.6,8.0,2.1,12.3,23.4,2015,Chinese-CBA,0
18,Sichuan Blue Whales,38,48.0,101.0,36.4,80.6,0.452,7.5,23.6,0.317,20.5,27.0,0.759,10.6,28.3,38.8,14.8,7.7,3.0,14.6,23.5,2015,Chinese-CBA,0
19,Shanghai Dongfang,38,48.4,100.3,38.6,80.5,0.48,7.4,21.7,0.342,15.6,22.5,0.693,13.0,31.2,44.2,15.0,8.3,4.8,17.7,22.3,2015,Chinese-CBA,0
20,Ningbo Rockets,38,48.0,93.5,33.8,75.9,0.445,7.5,23.6,0.319,18.7,26.1,0.715,12.6,23.9,36.5,12.8,8.1,4.0,15.7,24.8,2015,Chinese-CBA,0
