#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,KK Cibona,41,40.1,83.1,30.2,62.8,0.482,9.6,25.8,0.371,13.1,18.6,0.704,9.7,24.7,34.4,21.0,8.1,4.0,14.5,21.4,2022,Croatian-A-1-Liga,1
2,KK Split,37,40.3,82.0,29.6,64.1,0.463,10.4,29.0,0.358,12.4,16.8,0.735,9.9,23.5,33.4,19.7,7.6,2.3,12.1,20.4,2022,Croatian-A-1-Liga,0
3,KK Cedevita Olimpija Junior,35,40.0,81.8,29.0,60.6,0.479,9.4,26.1,0.359,14.4,20.1,0.715,7.5,23.8,31.3,21.0,6.4,1.8,14.0,22.0,2022,Croatian-A-1-Liga,0
4,KK Zadar,42,40.4,81.8,29.3,60.7,0.482,9.1,24.5,0.373,14.1,19.5,0.726,8.4,23.2,31.5,19.8,7.5,2.7,12.8,20.8,2022,Croatian-A-1-Liga,0
5,KK Velika Gorica,37,40.1,81.1,28.0,62.1,0.452,9.6,27.5,0.35,15.4,20.2,0.762,8.3,20.1,28.4,19.5,7.7,1.7,12.1,21.6,2022,Croatian-A-1-Liga,0
6,KK Bosco Zagreb,2,40.0,78.5,26.0,60.5,0.43,10.5,29.5,0.356,16.0,19.5,0.821,7.0,28.5,35.5,18.0,8.5,0.5,12.0,18.0,2022,Croatian-A-1-Liga,0
7,KK Skrljevo,34,40.3,77.6,28.1,61.7,0.455,8.9,26.3,0.337,12.5,17.7,0.706,8.8,21.6,30.4,16.7,7.9,3.1,14.7,21.5,2022,Croatian-A-1-Liga,0
8,KK Vrijednosnice Osijek,32,40.2,76.7,27.6,60.9,0.454,6.8,19.3,0.352,14.7,19.8,0.744,6.9,22.8,29.8,17.9,6.3,1.7,15.1,20.3,2022,Croatian-A-1-Liga,0
9,GKK Sibenk,32,40.3,76.5,29.3,64.4,0.456,7.8,24.9,0.314,10.0,15.0,0.667,9.3,24.1,33.5,17.5,6.8,1.6,13.5,18.7,2022,Croatian-A-1-Liga,0
10,KK Alkar,32,40.2,76.4,27.6,64.1,0.431,8.2,25.2,0.324,13.1,18.1,0.724,10.8,22.4,33.2,16.7,6.8,1.6,14.8,19.4,2022,Croatian-A-1-Liga,0
11,KK Zabok,34,40.0,76.3,28.0,60.4,0.464,8.1,23.2,0.35,12.1,15.3,0.794,7.9,21.7,29.6,18.4,6.3,1.3,14.6,19.9,2022,Croatian-A-1-Liga,0
12,KK Dubrava Zagreb,34,40.1,74.3,27.6,62.6,0.441,9.3,28.1,0.331,9.9,14.7,0.67,8.8,24.0,32.8,17.3,6.8,2.6,15.1,21.0,2022,Croatian-A-1-Liga,0
13,KK Sonik Puntamika,34,40.0,72.3,25.6,59.3,0.433,9.4,26.5,0.356,11.6,16.1,0.717,5.9,22.8,28.7,15.9,5.7,1.8,14.5,19.2,2022,Croatian-A-1-Liga,0
