#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,KK Split,32,39.9,88.2,32.6,67.0,0.486,7.9,22.8,0.346,15.1,20.5,0.736,10.8,24.5,35.3,20.3,9.3,1.6,12.3,20.9,2023,Croatian-A-1-Liga
2,KK Cibona,32,40.0,88.0,31.6,62.7,0.504,9.7,26.3,0.368,15.2,20.6,0.736,7.7,25.0,32.7,23.2,7.9,2.3,12.6,21.0,2023,Croatian-A-1-Liga
3,KK Zadar,32,40.0,86.2,29.7,64.5,0.46,10.2,29.8,0.343,16.6,22.0,0.752,9.8,27.1,36.9,21.9,7.0,2.7,13.5,18.9,2023,Croatian-A-1-Liga
4,KK Cedevita Junior Zagreb,32,40.1,83.0,30.1,63.8,0.472,9.8,27.7,0.353,13.0,17.9,0.726,7.7,24.9,32.6,20.3,8.1,3.2,14.3,19.3,2023,Croatian-A-1-Liga
5,KK Alkar,32,40.6,80.7,28.9,64.8,0.446,8.4,25.7,0.326,14.5,19.4,0.746,9.6,22.1,31.7,20.6,6.8,1.9,15.0,22.2,2023,Croatian-A-1-Liga
6,KK Dinamo,32,39.9,80.3,29.9,63.8,0.469,8.8,25.2,0.349,11.7,17.0,0.689,7.7,23.4,31.2,19.7,7.4,1.8,14.3,23.0,2023,Croatian-A-1-Liga
7,KK Bosco Zagreb,32,40.1,80.0,29.0,64.9,0.447,8.2,25.9,0.316,13.8,19.5,0.708,7.3,22.4,29.7,19.2,8.2,2.3,15.0,21.1,2023,Croatian-A-1-Liga
8,KK Velika Gorica,32,40.6,80.0,27.7,62.6,0.443,9.0,26.0,0.348,15.6,19.7,0.789,8.6,23.6,32.2,18.5,6.6,1.7,15.3,22.8,2023,Croatian-A-1-Liga
9,KK Skrljevo,32,39.9,78.4,28.7,62.6,0.458,8.9,24.8,0.359,12.1,15.5,0.782,7.1,23.4,30.6,17.7,6.7,1.6,14.3,21.8,2023,Croatian-A-1-Liga
10,KK Cedevita Olimpija Junior,6,40.0,78.0,28.8,63.0,0.458,8.8,28.3,0.312,11.5,17.0,0.676,8.5,24.7,33.2,17.8,10.8,4.7,16.2,19.7,2023,Croatian-A-1-Liga
11,KK Zabok,32,40.5,78.0,28.4,66.7,0.425,7.6,25.2,0.303,13.6,17.0,0.8,9.2,23.6,32.8,16.6,7.2,2.2,13.1,19.7,2023,Croatian-A-1-Liga
12,KK Dubrava Zagreb,32,40.1,77.3,27.6,62.0,0.445,8.0,25.1,0.32,14.2,19.7,0.718,8.2,23.9,32.1,17.2,7.7,2.8,14.6,20.8,2023,Croatian-A-1-Liga
13,GKK Sibenk,32,40.1,72.7,27.4,64.9,0.423,8.2,26.0,0.316,9.6,13.8,0.694,10.1,24.0,34.1,17.0,7.2,3.4,14.3,18.4,2023,Croatian-A-1-Liga
