#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,AEK Larnaca,32,40.5,85.4,31.7,64.9,0.488,10.3,27.7,0.371,11.8,18.4,0.639,9.5,30.3,39.8,20.3,6.0,3.0,13.0,18.8,2022,Cypriot-Division-A,0
2,APOEL Nicosia,28,40.0,81.8,29.9,64.6,0.463,8.5,24.8,0.341,13.5,18.0,0.75,8.5,26.1,34.6,19.2,8.4,3.4,12.9,19.8,2022,Cypriot-Division-A,0
3,Keravnos Strovolou,32,40.4,80.3,29.8,62.7,0.475,6.9,20.2,0.34,13.9,20.0,0.695,7.9,28.3,36.2,17.4,6.3,2.3,12.6,19.7,2022,Cypriot-Division-A,1
4,Proteas EKA AEL,24,40.2,79.5,29.6,69.3,0.427,8.3,28.3,0.293,12.1,17.8,0.681,9.4,23.9,33.3,16.3,8.6,2.1,12.8,18.3,2022,Cypriot-Division-A,0
5,Anorthosis Ammohostou,24,40.4,77.8,29.8,65.3,0.457,7.0,21.5,0.324,11.0,16.0,0.687,7.2,26.0,33.2,16.8,7.0,2.0,15.9,20.6,2022,Cypriot-Division-A,0
6,Apollon Limassol BC,24,40.0,76.3,28.4,64.9,0.438,7.5,23.6,0.316,12.0,17.0,0.707,8.8,26.7,35.5,16.0,5.6,2.2,12.3,19.9,2022,Cypriot-Division-A,0
7,Enosis Neon Paralimni,27,40.2,73.2,27.0,64.8,0.416,6.6,22.4,0.295,12.7,18.4,0.689,11.0,25.1,36.1,15.7,5.8,2.6,13.1,19.4,2022,Cypriot-Division-A,0
8,Apop Paphou,22,40.2,72.8,26.0,65.7,0.396,8.0,26.9,0.299,12.7,17.2,0.741,8.7,22.9,31.5,11.8,7.6,1.5,12.2,17.9,2022,Cypriot-Division-A,0
9,Michelin Etha Engomis,22,40.0,72.3,25.8,65.0,0.397,9.1,29.9,0.304,11.6,15.4,0.752,8.3,24.9,33.2,13.3,6.5,1.8,14.1,17.6,2022,Cypriot-Division-A,0
10,Omonia Nicosia,24,40.2,72.0,25.1,61.9,0.406,9.5,28.8,0.33,12.3,17.8,0.692,9.8,26.4,36.1,17.3,6.6,1.8,14.4,16.4,2022,Cypriot-Division-A,0
11,Frederick Achilleas Kaimakliou,22,40.0,65.7,24.8,63.3,0.392,5.8,23.0,0.251,10.3,15.4,0.672,9.2,28.2,37.4,13.7,5.3,2.5,16.2,16.2,2022,Cypriot-Division-A,0
12,Ydra Asfalistiki ENAD,21,40.5,65.0,24.3,68.1,0.357,6.8,27.5,0.247,9.5,15.6,0.609,10.2,25.7,35.9,11.8,5.8,1.3,14.3,17.1,2022,Cypriot-Division-A,0
