#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Keravnos Strovolou,26,40.2,88.4,32.5,65.5,0.495,10.3,26.8,0.383,13.2,17.2,0.77,9.0,27.2,36.3,20.9,7.6,1.6,13.8,19.1,2023,Cypriot-Division-A
2,APOEL Nicosia,22,40.6,86.7,32.1,66.0,0.487,9.4,25.5,0.369,13.0,19.3,0.675,9.4,26.5,35.8,20.4,6.1,3.1,14.5,18.8,2023,Cypriot-Division-A
3,Proteas EKA AEL,23,40.3,83.7,30.4,68.5,0.444,9.6,28.5,0.336,13.3,18.1,0.734,8.1,25.3,33.5,17.1,7.7,1.1,12.7,19.9,2023,Cypriot-Division-A
4,AEK Larnaca,26,40.2,83.3,30.2,64.2,0.47,8.7,26.5,0.33,14.3,19.3,0.741,10.6,28.2,38.8,20.3,7.5,3.2,13.2,18.9,2023,Cypriot-Division-A
5,Apollon Limassol BC,26,40.4,78.0,27.5,63.7,0.432,9.0,27.4,0.33,13.9,19.2,0.724,8.6,26.2,34.8,17.1,6.8,1.8,13.9,19.2,2023,Cypriot-Division-A
6,Anorthosis Ammohostou,25,40.3,77.7,28.7,66.6,0.431,8.2,27.2,0.3,12.1,19.1,0.633,11.0,25.6,36.5,17.4,8.1,2.9,14.1,21.3,2023,Cypriot-Division-A
7,Michelin Etha Engomis,22,40.2,71.3,24.4,62.5,0.39,7.9,25.1,0.315,14.6,19.3,0.755,6.7,25.3,32.0,10.8,5.5,1.6,12.5,19.0,2023,Cypriot-Division-A
8,Frederick Achilleas Kaimakliou,20,40.2,70.2,25.5,67.1,0.379,8.8,30.7,0.287,10.5,14.6,0.718,9.8,25.5,35.3,15.3,6.0,1.8,14.6,16.3,2023,Cypriot-Division-A
9,Enosis Neon Paralimni,20,41.4,70.2,26.0,66.7,0.39,6.7,25.5,0.261,11.5,18.0,0.641,9.7,25.3,34.9,14.4,7.6,2.3,14.4,18.7,2023,Cypriot-Division-A
10,Omonia Nicosia,20,40.0,69.0,24.8,59.5,0.416,7.5,26.8,0.279,12.1,17.2,0.703,7.7,25.1,32.8,15.9,5.9,2.7,15.7,16.3,2023,Cypriot-Division-A
11,Apop Paphou,22,39.7,64.5,24.5,62.7,0.391,7.4,26.2,0.281,8.1,12.4,0.654,9.5,23.0,32.5,13.1,7.0,2.5,16.3,17.4,2023,Cypriot-Division-A
