#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,CEZ Nymburk,43,39.9,91.6,34.1,67.4,0.506,8.3,21.5,0.384,15.1,20.3,0.741,9.9,29.3,39.2,19.0,9.0,3.4,10.9,19.6,2013,Czech-NBL,1
2,BK Lions Jindrichuv Hradec,36,40.1,83.5,29.0,69.4,0.418,7.7,23.4,0.327,17.9,24.1,0.742,12.3,25.3,37.6,13.9,6.5,1.8,14.0,26.3,2013,Czech-NBL,0
3,Olomoucko Prostejov,48,40.2,83.0,29.6,62.1,0.476,7.7,22.2,0.347,16.2,24.0,0.674,8.5,25.8,34.3,12.8,7.4,2.5,14.7,21.2,2013,Czech-NBL,0
4,Nova Hut Ostrava,43,40.2,80.7,28.6,64.3,0.445,10.1,28.0,0.362,13.3,19.0,0.702,9.0,23.3,32.4,15.0,7.9,1.2,11.2,22.5,2013,Czech-NBL,0
5,BK JIP Pardubice,43,40.1,80.6,28.5,62.1,0.459,6.4,19.3,0.333,17.1,23.7,0.723,10.3,25.4,35.7,13.9,6.8,2.2,14.4,20.3,2013,Czech-NBL,0
6,Levharti Chomutov,39,40.0,80.2,29.7,62.3,0.476,4.8,14.8,0.328,16.0,23.6,0.68,9.0,24.1,33.1,12.1,7.1,2.1,15.5,20.9,2013,Czech-NBL,0
7,Astrum Levice,44,40.1,80.1,30.1,66.3,0.454,5.3,17.1,0.31,14.6,22.9,0.639,10.5,25.1,35.6,12.7,7.8,3.8,12.2,21.5,2013,Czech-NBL,0
8,Turi Svitavy,35,40.0,79.7,27.7,62.3,0.446,7.0,21.6,0.325,17.1,23.3,0.734,8.1,23.0,31.1,13.2,6.0,1.9,13.7,22.6,2013,Czech-NBL,0
9,BK Decin,39,40.0,79.1,28.5,62.7,0.455,7.4,21.4,0.345,14.7,20.5,0.721,9.3,23.8,33.1,15.6,7.9,2.3,13.0,22.0,2013,Czech-NBL,0
10,BC Kolin,38,40.0,78.6,28.2,64.4,0.439,6.1,19.2,0.32,16.0,20.7,0.774,9.9,24.0,33.9,13.7,7.4,1.5,13.1,20.1,2013,Czech-NBL,0
11,BK Opava,38,40.0,76.0,26.2,61.4,0.427,6.7,21.9,0.308,16.8,22.9,0.734,9.1,24.6,33.7,13.6,7.3,1.9,14.6,22.7,2013,Czech-NBL,0
12,SLUNETA Usti nad Labem,36,40.1,75.3,27.3,63.2,0.432,4.1,13.8,0.3,16.6,23.6,0.703,9.2,23.7,32.9,12.3,7.8,2.6,15.4,21.5,2013,Czech-NBL,0
13,USK Praha,42,39.8,75.1,27.2,62.0,0.439,7.5,23.0,0.328,13.0,18.5,0.704,7.2,25.6,32.8,12.6,5.4,2.8,12.7,20.5,2013,Czech-NBL,0
