#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,SOKOL Prazsky,2,39.5,95.0,34.5,77.0,0.448,13.0,33.5,0.388,13.0,20.0,0.65,15.0,30.0,45.0,26.0,11.0,3.5,16.5,26.5,2023,Czech-NBL
2,CEZ Nymburk,43,39.9,88.2,31.4,67.5,0.466,9.4,27.6,0.341,15.9,23.5,0.677,11.5,26.4,37.9,19.7,7.0,2.8,13.1,22.7,2023,Czech-NBL
3,JBC MMCITE Brno,42,40.0,87.1,31.6,67.0,0.471,8.4,25.8,0.325,15.6,23.4,0.668,9.9,25.6,35.6,20.1,7.2,2.7,11.8,21.1,2023,Czech-NBL
4,SLUNETA Usti nad Labem,43,39.9,86.3,31.4,66.2,0.475,8.5,25.0,0.341,14.9,21.2,0.702,8.6,26.2,34.8,17.2,6.6,2.1,13.7,20.4,2023,Czech-NBL
5,BK Opava,46,39.8,85.5,28.7,67.6,0.425,10.8,33.5,0.322,17.2,23.8,0.726,12.2,23.2,35.4,19.6,7.0,1.6,12.9,23.1,2023,Czech-NBL
6,USK Praha,41,39.9,85.4,29.4,67.2,0.438,10.1,29.2,0.345,16.6,23.0,0.72,10.3,25.1,35.4,14.8,7.3,2.0,12.5,22.3,2023,Czech-NBL
7,BC Kolin,38,40.3,82.8,28.5,64.8,0.439,9.8,28.8,0.339,16.1,22.8,0.704,10.8,23.3,34.2,16.3,6.0,1.7,11.8,19.8,2023,Czech-NBL
8,BK Decin,43,40.5,82.3,29.0,65.3,0.445,7.2,24.0,0.301,17.0,25.1,0.676,10.2,24.6,34.7,16.6,8.8,1.7,12.9,22.8,2023,Czech-NBL
9,BK JIP Pardubice,45,40.0,82.2,29.0,64.2,0.452,8.2,25.4,0.324,16.0,21.7,0.738,9.7,25.5,35.2,17.7,6.2,2.4,13.6,23.1,2023,Czech-NBL
10,Nova Hut Ostrava,41,40.0,81.2,28.3,65.4,0.433,9.7,28.5,0.34,14.9,21.2,0.701,11.7,24.9,36.5,17.1,6.7,2.1,15.6,22.7,2023,Czech-NBL
11,Olomoucko Prostejov,34,40.1,80.7,28.4,65.8,0.432,7.1,22.4,0.318,16.7,23.4,0.714,10.8,22.8,33.6,15.4,6.4,1.9,13.0,21.1,2023,Czech-NBL
12,SK Slavia Praha,37,40.2,79.5,28.7,64.0,0.448,9.4,26.8,0.35,12.6,18.3,0.691,9.2,22.7,31.9,16.5,6.8,1.8,12.8,20.5,2023,Czech-NBL
13,Kralovsti Sokoli,35,39.9,75.6,28.7,63.5,0.452,6.9,21.9,0.316,11.1,18.0,0.619,8.3,23.9,32.1,16.3,6.5,2.9,15.5,19.9,2023,Czech-NBL
