#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Bakken Bears,35,40.2,98.8,36.7,72.3,0.507,12.8,31.7,0.404,12.7,17.8,0.712,10.4,26.9,37.3,23.3,9.3,3.7,12.8,16.1,2022,Danish-Basketligaen,1
2,Randers Cimbria,32,40.5,94.2,34.1,69.9,0.487,11.8,29.9,0.396,14.3,18.6,0.765,9.1,27.6,36.6,19.3,6.7,4.5,15.6,19.8,2022,Danish-Basketligaen,0
3,Svendborg Rabbits,37,40.1,91.6,34.5,73.3,0.471,9.6,26.5,0.363,12.9,16.8,0.769,12.8,25.7,38.5,19.5,7.7,1.6,12.9,20.2,2022,Danish-Basketligaen,0
4,Horsens IC,34,40.1,89.2,32.9,69.2,0.476,7.6,23.8,0.318,15.8,21.2,0.746,11.1,24.4,35.5,16.9,9.0,4.3,13.5,16.6,2022,Danish-Basketligaen,0
5,Team FOG Naestved,28,40.2,88.6,31.8,65.7,0.484,9.4,24.8,0.377,15.6,20.9,0.749,7.5,27.0,34.5,19.0,7.0,1.8,12.4,16.1,2022,Danish-Basketligaen,0
6,Copenhagen Basketball,25,40.2,84.0,29.5,69.1,0.427,9.4,28.5,0.33,15.6,22.8,0.685,12.3,21.9,34.2,18.6,9.0,2.0,17.2,23.8,2022,Danish-Basketligaen,0
7,Vaerlose BBK,25,40.2,83.5,30.8,72.0,0.428,7.8,24.9,0.311,14.1,20.4,0.692,10.4,22.5,32.9,19.1,9.8,2.0,14.4,20.8,2022,Danish-Basketligaen,0
8,BMS Herlev Wolfpack,24,40.0,79.3,28.6,65.4,0.438,8.2,26.0,0.315,13.8,20.6,0.672,9.6,26.0,35.7,21.7,6.0,3.3,17.9,20.7,2022,Danish-Basketligaen,0
9,EBAA,28,40.0,77.7,29.5,70.0,0.421,7.9,26.8,0.296,10.8,16.1,0.669,9.4,24.8,34.2,19.1,7.9,1.4,14.8,18.3,2022,Danish-Basketligaen,0
10,BK Amager,24,40.2,77.0,29.1,68.8,0.424,6.5,24.3,0.268,12.2,19.0,0.644,12.2,25.0,37.3,16.7,7.6,3.7,21.7,20.8,2022,Danish-Basketligaen,0
