#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Team FOG Naestved,34,40.0,95.9,35.6,70.6,0.503,10.0,26.7,0.375,14.7,20.4,0.723,8.2,26.4,34.6,21.5,8.8,3.3,11.6,15.5,2023,Danish-Basketligaen
2,Bakken Bears,33,39.9,93.8,35.8,73.2,0.489,10.4,29.9,0.347,11.8,17.1,0.688,10.7,29.4,40.1,24.7,9.8,4.7,14.7,16.2,2023,Danish-Basketligaen
3,Svendborg Rabbits,30,40.0,89.0,33.8,70.4,0.48,10.0,27.2,0.369,11.4,15.9,0.715,9.5,25.1,34.5,18.2,8.7,2.4,14.6,17.9,2023,Danish-Basketligaen
4,Randers Cimbria,34,39.9,88.4,34.4,72.6,0.473,8.4,25.1,0.335,11.3,14.7,0.766,10.3,26.7,37.0,21.0,9.6,3.5,13.9,20.1,2023,Danish-Basketligaen
5,Horsens IC,33,40.0,83.9,31.5,70.3,0.447,9.1,27.2,0.336,11.9,15.9,0.748,11.4,26.2,37.5,18.2,7.5,3.7,15.5,17.3,2023,Danish-Basketligaen
6,Copenhagen Basketball,29,40.3,82.9,29.6,69.6,0.425,9.0,27.0,0.335,14.8,21.2,0.695,11.4,25.8,37.2,17.2,8.0,2.0,17.7,21.4,2023,Danish-Basketligaen
7,BK Amager,28,40.1,82.1,30.8,70.9,0.434,6.4,22.2,0.288,14.1,22.3,0.632,11.4,27.6,39.0,16.4,7.4,3.9,19.1,17.8,2023,Danish-Basketligaen
8,Vaerlose BBK,29,40.3,80.0,28.9,68.5,0.422,9.0,26.8,0.335,13.2,19.6,0.674,11.7,23.5,35.2,16.7,9.4,2.3,17.7,21.7,2023,Danish-Basketligaen
9,BMS Herlev Wolfpack,30,40.1,75.1,26.9,64.9,0.415,8.5,27.5,0.308,12.8,18.9,0.674,8.1,24.6,32.7,19.8,8.5,2.4,16.6,17.6,2023,Danish-Basketligaen
10,EBAA,28,40.0,74.8,28.1,66.5,0.422,7.9,26.5,0.297,10.6,15.9,0.668,10.1,24.8,34.8,20.4,8.8,2.1,17.7,18.1,2023,Danish-Basketligaen
11,Holbaek-Stenhus,28,40.0,69.5,24.3,69.3,0.351,7.2,28.1,0.255,13.6,21.2,0.643,12.1,23.9,36.1,13.2,7.8,2.1,20.8,22.8,2023,Danish-Basketligaen
