#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,BK Ventspils,26,39.9,95.2,35.0,68.5,0.511,9.4,27.2,0.346,15.8,21.2,0.747,10.1,28.0,38.1,21.5,7.0,3.8,9.8,19.2,2020,Estonian-Latvian-Basketball-League
2,BC Kalev-Cramo,25,40.2,93.0,34.2,65.0,0.526,10.1,24.8,0.407,14.5,18.6,0.782,9.3,24.3,33.6,23.5,9.2,2.4,11.1,18.2,2020,Estonian-Latvian-Basketball-League
3,BK Ogre,26,40.4,91.8,32.6,66.3,0.491,10.9,28.6,0.38,15.7,20.8,0.756,9.7,25.6,35.3,22.7,7.4,2.1,12.9,19.5,2020,Estonian-Latvian-Basketball-League
4,BC VEF Riga,26,40.0,86.7,31.8,65.3,0.487,9.7,26.7,0.365,13.3,18.2,0.732,10.2,25.4,35.5,21.2,7.2,3.2,11.3,21.3,2020,Estonian-Latvian-Basketball-League
5,Tallinna Ulikool/Kalev,24,40.2,83.6,29.7,66.7,0.445,7.9,23.5,0.337,16.4,22.3,0.736,11.5,23.8,35.3,17.9,6.9,2.5,13.6,20.9,2020,Estonian-Latvian-Basketball-League
6,BK Valmiera,25,40.5,81.8,28.4,65.2,0.436,9.4,29.2,0.322,15.6,23.6,0.66,9.1,23.3,32.4,19.7,6.1,2.2,14.3,20.6,2020,Estonian-Latvian-Basketball-League
7,KK Parnu,25,40.2,81.8,29.3,61.0,0.48,8.0,23.8,0.335,15.3,21.1,0.727,7.8,25.9,33.7,20.2,6.2,2.4,14.1,21.4,2020,Estonian-Latvian-Basketball-League
8,TTU KK,26,40.2,81.7,29.5,67.7,0.435,10.2,28.8,0.353,12.7,17.2,0.734,9.8,22.1,32.0,18.2,7.6,2.1,13.9,23.3,2020,Estonian-Latvian-Basketball-League
9,Rakvere Tarvas,26,40.2,80.5,27.8,64.8,0.428,9.8,29.8,0.327,15.2,20.5,0.743,8.1,22.7,30.8,15.7,8.1,1.3,12.3,21.6,2020,Estonian-Latvian-Basketball-League
10,Jurmala/Fenikss,23,40.7,77.9,26.7,61.8,0.432,9.9,27.3,0.361,14.5,20.0,0.728,9.9,22.4,32.3,16.1,7.5,2.5,13.8,23.8,2020,Estonian-Latvian-Basketball-League
11,Rapla BS,25,40.2,77.7,28.7,67.0,0.428,8.3,25.4,0.328,12.0,15.2,0.792,9.1,23.5,32.6,19.0,7.4,2.3,10.9,21.3,2020,Estonian-Latvian-Basketball-League
12,Betsafe/Liepaja,25,40.6,77.6,27.6,64.3,0.43,8.6,24.8,0.347,13.7,19.7,0.695,8.7,25.1,33.8,15.6,5.0,2.0,15.6,21.4,2020,Estonian-Latvian-Basketball-League
13,Valga Maks,21,40.0,74.9,26.8,65.3,0.41,7.6,24.0,0.315,13.7,20.0,0.685,11.5,24.1,35.6,17.4,5.5,1.6,15.4,19.5,2020,Estonian-Latvian-Basketball-League
14,Tartu Ulikool Rock,24,40.2,74.6,26.8,62.3,0.431,8.4,24.1,0.349,12.5,18.4,0.681,7.7,22.7,30.4,17.3,6.5,2.1,13.4,21.6,2020,Estonian-Latvian-Basketball-League
15,Latvijas Universitate,25,40.0,71.8,25.6,62.4,0.409,7.8,25.8,0.301,12.9,17.7,0.729,7.2,23.6,30.8,16.9,6.7,2.5,14.2,21.5,2020,Estonian-Latvian-Basketball-League
