#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,BC VEF Riga,27,40.0,90.0,32.6,65.6,0.497,9.1,25.1,0.365,15.6,21.9,0.713,10.3,26.0,36.3,20.7,9.8,4.0,13.5,21.7,2021,Estonian-Latvian-Basketball-League,0
2,BC Kalev-Cramo,25,40.5,89.4,32.7,63.6,0.514,9.4,22.8,0.412,14.6,19.6,0.745,9.8,28.1,37.9,21.0,7.1,3.0,13.0,17.2,2021,Estonian-Latvian-Basketball-League,1
3,BK Ventspils,26,40.2,82.3,28.9,64.1,0.451,8.3,25.5,0.326,16.2,25.1,0.643,11.1,24.1,35.2,16.3,8.5,3.2,14.9,22.2,2021,Estonian-Latvian-Basketball-League,0
4,BK Ogre,29,40.0,81.2,29.3,65.8,0.445,9.9,29.2,0.338,12.8,17.7,0.724,9.7,24.1,33.8,19.3,8.9,1.3,13.9,22.5,2021,Estonian-Latvian-Basketball-League,0
5,KK Parnu,24,40.2,80.3,28.5,64.3,0.443,7.9,22.3,0.353,15.4,21.6,0.711,11.0,25.4,36.5,20.9,7.4,2.1,14.8,21.0,2021,Estonian-Latvian-Basketball-League,0
6,Rakvere Tarvas,22,40.0,79.5,28.2,64.3,0.438,9.1,27.1,0.337,14.0,19.5,0.714,9.0,21.6,30.6,16.5,7.5,2.1,11.2,21.2,2021,Estonian-Latvian-Basketball-League,0
7,Betsafe/Liepaja,26,40.2,79.2,28.8,64.0,0.451,7.4,23.4,0.315,14.2,21.2,0.669,8.2,23.9,32.1,17.9,7.8,2.5,15.0,20.8,2021,Estonian-Latvian-Basketball-League,0
8,Tallinna Ulikool/Kalev,24,40.2,78.0,27.8,65.0,0.428,8.0,24.7,0.324,14.3,19.0,0.751,10.1,22.5,32.6,16.3,5.8,3.5,13.9,20.6,2021,Estonian-Latvian-Basketball-League,0
9,Rapla BS,25,40.1,76.4,27.0,59.8,0.452,7.6,23.6,0.323,14.7,19.5,0.754,8.0,24.0,32.0,18.0,6.5,2.9,14.6,19.6,2021,Estonian-Latvian-Basketball-League,0
10,BK Valmiera,25,40.0,75.1,27.5,63.0,0.437,8.5,25.5,0.334,11.5,19.4,0.593,10.2,21.1,31.3,16.1,5.9,1.6,15.4,21.8,2021,Estonian-Latvian-Basketball-League,0
11,TTU KK,23,40.0,73.7,25.7,62.8,0.41,9.3,28.8,0.325,12.9,17.7,0.728,10.4,22.7,33.1,18.0,7.3,1.9,14.7,23.1,2021,Estonian-Latvian-Basketball-League,0
12,Tartu Ulikool Rock,23,40.4,71.6,25.9,61.8,0.419,7.1,23.0,0.309,12.7,17.8,0.711,7.3,20.5,27.8,14.9,6.6,1.5,13.0,21.8,2021,Estonian-Latvian-Basketball-League,0
13,Latvijas Universitate,25,40.0,67.9,24.8,59.1,0.419,7.3,23.8,0.307,11.1,17.8,0.624,8.5,23.7,32.2,16.4,6.5,2.1,18.6,21.1,2021,Estonian-Latvian-Basketball-League,0
