#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,UNICS Kazan,16,40.6,87.5,31.4,60.3,0.521,10.1,22.4,0.453,14.5,19.8,0.732,8.6,23.5,32.1,14.3,8.4,4.0,13.8,19.9,2007,Eurocup,0
2,Khimki,12,40.8,84.9,29.2,60.6,0.481,8.5,21.5,0.395,18.1,23.4,0.772,10.0,20.9,30.9,15.3,7.9,2.4,13.0,18.9,2007,Eurocup,0
3,Nancy Basket,12,40.4,83.7,31.3,62.1,0.503,5.8,14.9,0.385,15.4,20.3,0.761,9.3,26.3,35.7,16.1,8.3,3.8,16.9,17.3,2007,Eurocup,0
4,KK Crvena Zvezda,14,40.0,83.4,27.6,59.3,0.466,7.6,23.0,0.332,20.4,26.0,0.786,8.4,18.7,27.1,13.3,9.6,0.9,12.9,25.4,2007,Eurocup,0
5,Heroes Den Bosch,10,40.5,82.3,29.4,61.3,0.48,10.6,26.3,0.403,12.9,18.2,0.709,8.4,20.0,28.4,14.7,9.1,1.9,12.7,20.8,2007,Eurocup,0
6,FMP Beograd,16,40.3,81.9,25.9,53.8,0.483,8.1,20.7,0.39,21.9,29.8,0.736,7.9,19.8,27.7,14.1,10.6,2.4,14.3,25.4,2007,Eurocup,0
7,Hapoel Bank Yahav Jerusalem,14,40.0,81.4,29.1,59.8,0.486,6.5,17.1,0.379,16.8,21.1,0.797,8.4,23.1,31.5,15.7,9.1,2.1,12.7,21.4,2007,Eurocup,0
8,Real Madrid,17,40.6,80.9,27.7,59.0,0.47,9.1,23.9,0.382,16.4,22.6,0.725,11.4,22.5,33.9,13.5,9.2,3.1,13.8,20.1,2007,Eurocup,1
9,BK Ventspils,12,40.4,80.2,27.7,60.1,0.46,9.5,23.9,0.397,15.3,19.6,0.783,8.3,23.1,31.3,14.4,9.0,3.0,14.2,23.3,2007,Eurocup,0
10,Mens Sana 1871 Siena,14,40.4,79.7,27.1,62.4,0.434,8.4,24.2,0.348,17.1,23.6,0.727,10.4,23.1,33.4,11.7,12.8,2.9,12.4,23.1,2007,Eurocup,0
11,Pallalcesto Amatori Udine,12,40.0,78.0,27.1,60.8,0.445,9.9,27.3,0.364,13.9,20.1,0.693,9.0,22.3,31.3,14.1,10.2,3.0,14.9,22.3,2007,Eurocup,0
12,KK Vrsac Swisslion,12,40.0,77.9,26.6,56.8,0.468,8.8,20.5,0.427,16.0,22.0,0.727,9.4,19.3,28.8,13.5,7.3,2.5,15.4,20.5,2007,Eurocup,0
13,Lietuvos Rytas,17,40.3,77.8,27.9,58.9,0.473,6.9,20.9,0.33,15.2,21.8,0.697,10.2,22.5,32.7,14.5,8.2,2.6,12.4,23.8,2007,Eurocup,0
14,Belfius Mons-Hainaut,10,40.5,77.8,27.7,59.0,0.469,7.6,21.3,0.357,14.8,19.5,0.759,10.1,18.2,28.3,16.0,9.1,2.7,15.7,22.0,2007,Eurocup,0
15,Strasbourg IG,14,40.0,77.8,27.1,57.5,0.471,6.1,18.4,0.335,17.5,22.6,0.773,9.0,23.0,32.0,13.6,7.9,2.9,14.9,20.1,2007,Eurocup,0
16,Anwil Wloclawek,10,40.0,75.3,25.8,56.5,0.457,7.7,20.0,0.385,16.0,23.0,0.696,8.3,18.5,26.8,14.3,9.6,2.6,15.2,23.3,2007,Eurocup,0
17,Telenet BC Oostende,10,40.0,74.1,25.9,56.7,0.457,6.3,18.3,0.344,16.0,25.0,0.64,10.1,23.9,34.0,12.2,6.3,2.2,15.1,20.2,2007,Eurocup,0
18,ALBA Berlin,12,40.4,73.4,26.8,60.7,0.441,6.8,19.3,0.349,13.2,20.2,0.653,11.5,22.7,34.2,11.6,6.9,4.9,14.4,22.4,2007,Eurocup,0
19,PBC Lukoil Academic Sofia,10,40.0,72.6,27.0,59.8,0.452,8.5,25.7,0.331,10.1,16.6,0.608,10.2,22.3,32.5,11.3,7.1,1.8,13.5,21.6,2007,Eurocup,0
20,Besiktas Icrypex,10,40.0,72.6,24.9,58.7,0.424,7.5,21.3,0.352,15.3,22.7,0.674,10.1,19.5,29.6,13.1,7.7,1.7,16.5,21.6,2007,Eurocup,0
21,AEK Athens,10,40.0,72.1,24.6,55.5,0.443,7.9,23.6,0.335,15.0,20.0,0.75,8.9,17.0,25.9,13.0,8.5,2.0,14.8,21.3,2007,Eurocup,0
22,PAOK BC,12,40.0,72.0,25.7,54.3,0.473,6.1,17.4,0.349,14.6,19.3,0.754,7.9,22.7,30.6,9.9,7.9,1.8,14.2,19.9,2007,Eurocup,0
23,Gran Canaria,12,40.0,69.8,24.5,62.2,0.394,5.3,19.3,0.277,15.7,19.9,0.787,12.0,20.5,32.5,12.5,9.8,3.8,13.6,19.5,2007,Eurocup,0
24,Brose Baskets Bamberg,10,40.0,69.3,25.2,58.9,0.428,5.5,19.9,0.276,13.4,19.3,0.694,9.9,19.5,29.4,13.7,8.1,1.7,14.5,24.8,2007,Eurocup,0
