#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Joventut Badalona,16,40.0,85.4,30.3,64.0,0.473,8.4,24.6,0.344,16.4,20.8,0.79,9.4,21.3,30.7,18.2,5.1,1.0,14.2,22.3,2020,Eurocup
2,Virtus Bologna,16,40.0,85.3,29.7,62.2,0.477,9.4,26.4,0.355,16.6,23.0,0.72,9.6,24.8,34.4,21.2,7.7,2.8,16.3,22.3,2020,Eurocup
3,Unicaja,16,40.0,84.7,28.2,61.3,0.46,9.1,26.1,0.348,19.3,24.1,0.798,9.4,21.2,30.6,17.2,7.8,2.6,14.4,20.5,2020,Eurocup
4,MoraBanc Andorra,16,40.0,84.4,30.3,59.8,0.507,10.8,26.6,0.404,12.9,18.3,0.705,6.9,23.5,30.4,19.1,5.8,2.1,14.0,22.4,2020,Eurocup
5,EWE Baskets Oldenburg,16,40.0,82.1,30.6,63.4,0.483,8.8,22.9,0.384,12.1,16.1,0.748,6.7,19.6,26.3,17.1,8.7,2.3,12.1,21.1,2020,Eurocup
6,Tofas SC,16,40.0,81.1,29.3,58.0,0.505,6.9,18.1,0.379,15.6,20.9,0.746,7.6,20.4,27.9,20.4,6.6,2.8,13.0,17.7,2020,Eurocup
7,Galatasaray,16,40.3,80.8,28.4,58.8,0.484,8.3,21.9,0.377,15.6,21.6,0.725,9.6,22.2,31.8,16.6,6.8,2.6,15.3,21.9,2020,Eurocup
8,Ratiopharm Ulm,10,40.5,80.2,27.6,62.4,0.442,10.1,26.3,0.384,14.9,18.4,0.81,7.9,21.3,29.2,16.6,6.3,1.7,16.7,23.8,2020,Eurocup
9,KK Cedevita Olimpija Ljubljana,10,40.0,79.9,28.6,62.6,0.457,8.3,23.9,0.347,14.4,20.0,0.72,8.5,22.3,30.8,15.0,7.3,2.1,14.0,20.6,2020,Eurocup
10,Lokomotiv Kuban,10,40.0,79.7,29.3,64.0,0.458,6.6,20.5,0.322,14.5,18.8,0.771,10.7,24.2,34.9,18.7,6.0,2.0,12.7,21.6,2020,Eurocup
11,Lietuvos Rytas,16,40.0,79.3,27.4,59.9,0.458,8.5,23.1,0.369,15.9,21.6,0.734,10.7,20.6,31.3,16.4,5.4,1.9,13.8,19.5,2020,Eurocup
12,Nanterre 92,10,40.0,79.2,28.0,64.8,0.432,9.1,25.3,0.36,14.1,19.0,0.742,9.4,19.7,29.1,14.6,6.0,3.2,11.6,21.9,2020,Eurocup
13,Buducnost,10,40.5,79.1,28.5,61.0,0.467,7.6,22.3,0.341,14.5,18.8,0.771,7.5,21.9,29.4,16.8,6.9,2.9,12.2,19.9,2020,Eurocup
14,UNICS Kazan,16,40.0,79.0,27.8,59.4,0.468,9.2,23.8,0.386,14.2,18.6,0.764,7.8,21.5,29.3,15.6,6.6,2.5,12.7,22.2,2020,Eurocup
15,AS Monaco Basket,16,40.0,78.6,28.1,62.5,0.45,6.8,21.1,0.323,15.5,22.4,0.691,11.1,23.6,34.7,16.1,8.4,1.7,13.1,23.2,2020,Eurocup
16,KK Partizan,16,40.0,78.5,27.4,61.4,0.447,8.6,25.9,0.333,15.0,21.9,0.686,10.1,24.0,34.1,16.3,7.1,3.9,13.5,20.8,2020,Eurocup
17,ASP Promitheas Patras,16,40.0,75.7,26.1,58.4,0.446,9.4,26.7,0.351,14.2,20.4,0.694,7.5,24.0,31.5,17.8,6.5,2.6,12.0,18.9,2020,Eurocup
18,Umana Venezia,16,40.0,75.7,28.6,61.4,0.466,8.7,25.2,0.345,9.8,14.9,0.653,8.6,25.3,33.8,17.3,5.4,3.3,13.8,24.7,2020,Eurocup
19,Dolomiti Energia Trento,16,40.0,75.6,28.5,63.5,0.449,7.3,22.2,0.327,11.4,14.8,0.771,7.7,22.0,29.7,17.0,7.9,2.0,13.3,21.6,2020,Eurocup
20,Maccabi Rishon Lezion,10,40.5,75.3,26.5,63.2,0.419,7.6,22.3,0.341,14.7,21.3,0.69,9.1,22.1,31.2,15.3,8.4,2.6,15.6,20.0,2020,Eurocup
21,Darussafaka Basketbol Istanbul,16,40.0,75.3,26.5,62.4,0.424,7.9,23.9,0.329,14.4,19.2,0.749,10.1,23.1,33.1,13.4,6.2,3.0,13.7,21.7,2020,Eurocup
22,CSP Limoges,10,40.0,74.8,27.4,59.4,0.461,9.2,22.3,0.413,10.8,15.3,0.706,6.7,19.8,26.5,17.8,6.1,1.7,12.8,21.1,2020,Eurocup
23,Asseco Arka Gdynia,10,40.0,71.0,24.0,62.5,0.384,9.1,29.2,0.312,13.9,18.2,0.764,8.2,24.5,32.7,14.6,5.7,1.6,14.0,21.8,2020,Eurocup
24,Gemani Basket Brescia,16,40.0,70.4,25.2,59.9,0.421,7.3,23.9,0.305,12.7,16.5,0.769,6.8,25.6,32.3,15.9,5.9,2.6,13.6,23.3,2020,Eurocup
