#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Baskonia,24,40.0,83.8,29.2,60.9,0.479,8.7,22.8,0.383,16.8,24.7,0.681,10.4,19.9,30.3,16.1,11.7,1.9,12.8,19.3,2007,Euroleague,0
2,Maccabi FOX Tel Aviv,23,40.6,82.2,27.7,58.4,0.473,6.9,18.7,0.367,20.0,25.5,0.784,9.2,24.0,33.2,13.8,8.0,2.3,14.3,23.5,2007,Euroleague,0
3,Panathinaikos,24,40.0,80.9,27.1,54.8,0.495,7.1,18.8,0.378,19.5,27.4,0.713,9.8,20.5,30.3,12.4,7.9,2.7,14.2,22.9,2007,Euroleague,1
4,Olympiacos,22,40.0,80.2,27.7,58.9,0.471,5.2,15.4,0.339,19.5,25.6,0.762,9.3,24.2,33.5,12.4,8.3,2.8,15.9,25.0,2007,Euroleague,0
5,Fortituto Kontatto Bologna,14,40.0,79.6,29.3,63.0,0.465,7.6,20.4,0.374,13.4,19.2,0.699,9.3,20.5,29.8,13.4,10.4,1.4,12.7,20.6,2007,Euroleague,0
6,KK Cibona,14,41.8,79.5,25.1,54.5,0.46,6.6,16.8,0.391,22.8,28.1,0.81,9.9,23.1,33.0,10.5,9.3,1.9,17.8,26.4,2007,Euroleague,0
7,Barca,23,40.4,78.7,29.2,58.2,0.501,8.0,20.1,0.397,12.3,16.6,0.743,8.5,20.3,28.7,16.3,7.0,3.3,11.7,18.2,2007,Euroleague,0
8,CSKA Moscow,25,40.2,77.4,27.7,56.0,0.495,7.8,19.8,0.395,14.1,20.2,0.698,7.4,22.7,30.1,15.2,8.6,2.6,11.9,18.9,2007,Euroleague,0
9,KK Partizan,20,40.7,76.6,25.6,59.0,0.434,7.3,19.8,0.366,18.2,23.2,0.782,9.3,22.6,31.9,12.4,10.3,3.1,15.0,27.3,2007,Euroleague,0
10,Pau-Orthez,20,41.0,76.5,27.2,57.8,0.47,6.9,19.6,0.352,15.3,20.6,0.742,9.0,22.5,31.5,13.4,8.2,3.0,15.3,23.2,2007,Euroleague,0
11,Joventut Badalona,20,40.0,76.0,25.9,59.7,0.434,7.0,20.8,0.337,17.2,24.3,0.707,10.7,20.1,30.8,11.8,11.8,2.5,16.3,22.4,2007,Euroleague,0
12,Zalgiris,14,40.7,75.9,27.6,59.7,0.463,6.6,21.9,0.301,14.0,19.9,0.703,10.5,22.4,32.9,13.4,8.4,1.8,15.0,20.1,2007,Euroleague,0
13,Dynamo Moscow,22,40.2,75.0,24.9,54.0,0.461,6.0,17.1,0.347,19.4,26.0,0.746,8.5,22.2,30.7,9.7,9.5,2.6,15.2,20.3,2007,Euroleague,0
14,Anadolu Efes,20,40.3,74.9,26.7,58.2,0.459,8.8,24.1,0.364,12.7,17.7,0.72,7.8,22.2,30.0,12.2,7.1,2.9,12.8,19.6,2007,Euroleague,0
15,Fenerbahce Beko,14,40.7,74.6,26.3,57.4,0.458,8.5,24.1,0.352,13.5,18.1,0.747,7.6,21.8,29.4,10.3,8.5,1.6,14.0,21.4,2007,Euroleague,0
16,Union Olimpija,14,40.4,74.1,25.6,58.6,0.437,8.0,23.7,0.337,15.0,22.5,0.667,8.5,18.6,27.1,11.5,8.9,1.6,13.6,25.4,2007,Euroleague,0
17,S.S. Basket Napoli,14,41.1,73.7,25.3,60.6,0.417,7.6,23.6,0.324,15.5,22.1,0.7,11.4,21.1,32.5,10.3,11.1,2.6,14.3,24.0,2007,Euroleague,0
18,Rhein Stars Koeln,14,40.0,73.7,26.7,55.9,0.478,6.1,17.4,0.348,14.2,19.6,0.724,8.8,19.9,28.6,13.5,7.4,2.7,16.9,22.1,2007,Euroleague,0
19,Universo De'Longhi Treviso,20,40.3,73.0,26.1,56.5,0.462,7.2,20.4,0.354,13.6,19.2,0.71,8.0,21.2,29.2,13.5,10.5,2.1,13.3,20.8,2007,Euroleague,0
20,Virtus Roma,20,40.5,72.2,25.1,61.1,0.41,6.7,22.1,0.302,15.5,21.5,0.723,11.8,20.4,32.2,10.7,13.8,2.4,13.3,27.0,2007,Euroleague,0
21,Unicaja,25,40.6,71.6,24.0,52.6,0.457,7.1,19.7,0.359,16.5,23.3,0.708,8.4,21.8,30.2,13.2,7.8,2.4,16.3,21.5,2007,Euroleague,0
22,Trefl Sopot,20,40.3,71.3,26.1,60.0,0.435,6.6,19.3,0.342,12.5,17.5,0.711,8.6,20.8,29.3,13.3,8.4,2.4,12.5,21.9,2007,Euroleague,0
23,Aris BC,20,40.3,71.1,24.9,57.5,0.433,6.3,18.3,0.344,15.0,20.8,0.721,8.6,22.6,31.1,10.7,11.4,2.1,12.9,22.6,2007,Euroleague,0
24,Le Mans Sarthe Basket,14,40.0,70.4,27.4,56.5,0.484,5.3,15.0,0.352,10.4,14.9,0.694,8.1,22.1,30.1,15.7,5.9,3.5,15.7,17.9,2007,Euroleague,0
