#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Baskonia,34,40.3,86.7,30.9,64.7,0.477,10.8,29.8,0.363,14.2,18.5,0.768,8.8,22.4,31.2,19.7,7.1,2.8,10.9,21.4,2023,Euroleague
2,Real Madrid,39,40.4,85.7,29.8,60.6,0.492,9.1,24.8,0.368,17.0,21.1,0.803,8.1,25.1,33.2,19.2,5.7,4.0,12.8,21.4,2023,Euroleague
3,KK Partizan,39,40.3,85.4,29.4,59.1,0.497,8.7,21.9,0.399,18.0,21.8,0.824,7.6,18.9,26.5,14.4,6.3,2.5,10.9,21.3,2023,Euroleague
4,Maccabi FOX Tel Aviv,39,40.1,83.6,30.5,64.6,0.472,8.9,25.6,0.348,13.7,17.3,0.793,10.1,22.3,32.4,16.4,6.6,2.9,11.5,22.4,2023,Euroleague
5,Olympiacos,39,39.9,83.1,29.7,59.4,0.5,9.7,26.1,0.371,14.0,18.1,0.771,8.1,22.6,30.6,21.0,7.4,2.2,12.8,18.7,2023,Euroleague
6,Anadolu Efes,34,40.3,83.0,29.7,60.2,0.494,10.1,26.0,0.389,13.4,16.4,0.819,6.7,22.7,29.4,15.9,6.3,2.9,10.9,17.6,2023,Euroleague
7,AS Monaco Basket,39,40.4,82.9,29.3,63.4,0.463,6.7,21.7,0.309,17.6,23.3,0.755,10.4,20.2,30.7,15.5,7.3,2.2,10.5,20.8,2023,Euroleague
8,Fenerbahce Beko,39,40.4,82.8,30.4,63.2,0.481,9.5,25.6,0.373,12.4,17.2,0.723,9.4,20.3,29.7,17.9,6.5,1.6,11.8,20.8,2023,Euroleague
9,Valencia Basket,34,40.3,81.8,28.7,61.7,0.465,10.4,28.4,0.367,13.9,17.0,0.821,7.7,19.4,27.1,17.6,6.7,1.6,13.3,22.2,2023,Euroleague
10,Barca,37,40.2,81.3,28.5,58.5,0.486,10.2,25.0,0.408,14.2,17.5,0.809,8.5,21.9,30.3,19.3,5.8,2.0,12.8,21.6,2023,Euroleague
11,ALBA Berlin,34,40.3,80.1,29.2,64.1,0.455,9.4,27.3,0.344,12.4,16.0,0.771,9.9,22.2,32.1,19.8,6.8,3.1,14.4,19.8,2023,Euroleague
12,Panathinaikos,34,40.6,79.3,27.2,60.7,0.448,9.0,24.7,0.363,16.0,21.5,0.742,8.1,20.6,28.7,14.6,6.6,2.3,11.9,20.6,2023,Euroleague
13,Virtus Bologna,34,40.1,78.0,27.3,57.5,0.475,8.9,23.7,0.374,14.5,18.4,0.792,6.8,21.1,27.9,19.4,7.1,2.0,14.5,20.9,2023,Euroleague
14,KK Crvena Zvezda,34,40.3,77.2,27.6,59.9,0.46,8.3,24.5,0.338,13.8,17.8,0.775,8.5,20.6,29.1,16.9,6.7,1.6,12.6,21.5,2023,Euroleague
15,Bayern Munich,34,40.0,76.6,26.0,61.9,0.421,9.6,27.5,0.348,15.0,18.3,0.821,9.9,20.9,30.8,13.7,6.3,2.3,11.5,22.1,2023,Euroleague
16,Zalgiris,37,40.0,75.9,26.9,58.6,0.459,7.8,21.5,0.361,14.2,17.7,0.803,9.5,20.6,30.2,13.7,6.0,2.5,13.0,20.6,2023,Euroleague
17,AX Armani Exchange Milan,34,40.3,74.8,26.6,58.3,0.456,9.1,25.4,0.358,12.5,16.1,0.774,7.3,22.1,29.5,16.2,6.0,2.0,12.4,20.4,2023,Euroleague
18,ASVEL Basket,34,40.0,74.3,27.1,58.9,0.459,7.3,22.1,0.332,12.9,16.6,0.775,7.3,19.8,27.1,14.5,6.5,2.1,13.5,21.0,2023,Euroleague
