#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Falco-Vulcano Energia KC Szombathely,2,39.9,90.0,32.5,61.0,0.533,10.5,22.5,0.467,14.5,19.5,0.744,7.0,17.0,24.0,20.0,7.5,0.5,11.0,24.0,2018,FIBA-Europe-Cup---Qualification,0
2,Proximus Spirou Charleroi,2,40.0,90.0,32.0,68.5,0.467,10.5,26.0,0.404,15.5,24.0,0.646,11.0,34.0,45.0,22.0,8.0,5.5,12.5,16.5,2018,FIBA-Europe-Cup---Qualification,0
3,Trabzonspor,2,40.0,87.5,29.5,64.0,0.461,13.5,34.0,0.397,15.0,19.0,0.789,7.0,19.5,26.5,17.0,4.5,3.5,9.5,24.0,2018,FIBA-Europe-Cup---Qualification,0
4,Belfius Mons-Hainaut,4,40.0,84.8,34.0,64.3,0.529,9.5,17.5,0.543,7.3,12.8,0.569,8.5,28.0,36.5,16.3,6.3,1.8,11.0,20.3,2018,FIBA-Europe-Cup---Qualification,0
5,Szolnoki Olaj,4,40.0,83.8,32.0,64.8,0.494,6.8,21.3,0.318,13.0,19.8,0.658,9.5,24.5,34.0,16.0,9.0,1.8,13.5,20.8,2018,FIBA-Europe-Cup---Qualification,0
6,Demir Insaat Buyukcekmece,4,40.0,82.8,29.3,59.8,0.49,7.3,21.5,0.337,17.0,26.8,0.636,8.5,22.3,30.8,14.8,6.8,2.0,8.5,17.8,2018,FIBA-Europe-Cup---Qualification,0
7,Egis Kormend,4,40.0,81.8,29.8,59.3,0.502,9.5,22.0,0.432,12.8,16.3,0.785,6.5,24.8,31.3,16.5,7.3,1.3,14.3,25.5,2018,FIBA-Europe-Cup---Qualification,0
8,Kedainiai Nevezis,4,40.0,80.8,28.3,60.5,0.467,7.8,23.0,0.337,16.5,20.3,0.815,8.0,26.3,34.3,17.0,2.5,3.8,11.3,17.0,2018,FIBA-Europe-Cup---Qualification,0
9,BC Balkan,4,40.0,80.3,28.5,65.0,0.438,7.0,22.3,0.315,16.3,21.3,0.765,14.3,20.3,34.5,13.5,6.3,1.8,12.0,18.5,2018,FIBA-Europe-Cup---Qualification,0
10,BC Khimik,2,40.0,79.0,26.0,57.0,0.456,9.0,24.5,0.367,18.0,26.0,0.692,10.0,21.5,31.5,17.0,4.0,1.0,11.0,18.5,2018,FIBA-Europe-Cup---Qualification,0
11,Dnipro Dnipropetrovsk,2,39.9,78.0,27.0,60.5,0.446,6.5,23.0,0.283,17.5,20.5,0.854,8.0,21.5,29.5,19.5,5.0,2.0,10.0,27.5,2018,FIBA-Europe-Cup---Qualification,0
12,Parma Basket Perm,4,40.0,78.0,26.8,62.0,0.431,8.5,27.5,0.309,16.0,22.0,0.727,10.0,24.5,34.5,16.0,8.3,1.3,13.5,19.3,2018,FIBA-Europe-Cup---Qualification,0
13,Istanbul Buyuksehir Belediyesi,4,40.0,76.3,26.5,57.5,0.461,9.3,21.3,0.435,14.0,19.3,0.727,9.3,21.5,30.8,18.0,4.8,1.0,13.3,21.5,2018,FIBA-Europe-Cup---Qualification,0
