#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,U-Banca Transilvania Cluj,2,40.0,94.5,38.5,68.5,0.562,9.5,22.5,0.422,8.0,11.0,0.727,9.0,32.0,41.0,27.5,13.5,2.5,19.0,18.5,2020,FIBA-Europe-Cup---Qualification
2,Dnipro Dnipropetrovsk,2,40.0,91.0,33.5,66.0,0.508,13.5,27.0,0.5,10.5,16.5,0.636,9.5,38.5,48.0,24.5,7.5,3.5,19.5,20.0,2020,FIBA-Europe-Cup---Qualification
3,ZZ Leiden,2,42.5,89.5,30.0,64.5,0.465,9.5,28.0,0.339,20.0,25.0,0.8,7.0,25.5,32.5,26.0,8.0,5.0,12.5,18.5,2020,FIBA-Europe-Cup---Qualification
4,BC Beroe Stara Zagora,2,42.5,86.0,32.0,75.5,0.424,14.0,40.0,0.35,8.0,12.0,0.667,14.5,23.5,38.0,21.0,8.5,2.0,15.5,21.5,2020,FIBA-Europe-Cup---Qualification
5,Joensuun Kataja,2,40.0,85.5,31.0,65.0,0.477,6.0,19.5,0.308,17.5,27.0,0.648,10.5,24.0,34.5,20.0,10.5,0.5,15.5,26.5,2020,FIBA-Europe-Cup---Qualification
6,Tartu Ulikool Rock,2,40.0,82.5,26.5,55.0,0.482,10.5,25.0,0.42,19.0,30.0,0.633,4.5,22.5,27.0,17.0,9.0,2.5,17.0,25.5,2020,FIBA-Europe-Cup---Qualification
7,Pinar Karsiyaka,2,40.0,77.5,27.5,61.0,0.451,6.5,17.5,0.371,16.0,24.5,0.653,10.5,32.0,42.5,16.0,7.0,2.5,13.5,20.0,2020,FIBA-Europe-Cup---Qualification
8,Borisfen Mogilev,2,40.0,73.5,27.0,81.0,0.333,10.0,30.5,0.328,9.5,16.0,0.594,13.0,23.0,36.0,15.5,9.5,5.0,11.5,16.5,2020,FIBA-Europe-Cup---Qualification
9,Boras Basket,2,40.0,64.0,19.5,66.0,0.295,10.0,39.0,0.256,15.0,21.0,0.714,10.0,20.5,30.5,10.0,8.5,2.5,13.5,24.0,2020,FIBA-Europe-Cup---Qualification
10,KB Rahoveci,2,40.0,60.0,21.0,61.5,0.341,7.5,27.5,0.273,10.5,20.5,0.512,6.0,18.5,24.5,10.5,9.5,1.5,20.5,17.5,2020,FIBA-Europe-Cup---Qualification
