#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,BK Ventspils,14,40.0,94.8,35.9,70.4,0.509,10.8,28.4,0.379,12.3,17.6,0.699,9.8,28.2,38.0,21.4,7.1,3.5,11.1,16.2,2020,FIBA-Europe-Cup
2,Medi Bayreuth,14,40.0,93.2,33.6,65.3,0.515,10.1,23.9,0.421,15.9,19.6,0.807,8.7,23.3,32.0,22.3,7.5,1.7,12.5,19.9,2020,FIBA-Europe-Cup
3,Pinar Karsiyaka,14,40.0,90.5,33.9,63.9,0.531,9.1,22.2,0.412,13.5,19.7,0.685,8.9,27.0,35.9,19.1,6.9,2.4,10.8,18.1,2020,FIBA-Europe-Cup
4,Enisey Krasnoyarsk,12,40.0,88.4,31.6,67.1,0.471,9.6,24.3,0.395,15.7,22.7,0.691,10.3,22.1,32.4,20.3,8.3,1.8,11.8,24.2,2020,FIBA-Europe-Cup
5,Bakken Bears,14,40.0,86.9,32.7,70.1,0.466,10.2,28.3,0.361,11.2,15.9,0.704,9.8,24.2,34.0,20.3,6.6,3.8,11.2,17.9,2020,FIBA-Europe-Cup
6,Pecsi VSK-Veolia,6,40.8,85.7,31.7,65.8,0.481,10.8,27.0,0.401,11.5,14.8,0.775,6.7,26.5,33.2,17.5,5.7,1.5,11.8,19.0,2020,FIBA-Europe-Cup
7,Sigal Prishtina,6,40.0,85.5,32.0,69.2,0.463,8.3,21.3,0.391,13.2,18.3,0.718,7.0,21.2,28.2,17.8,7.2,1.0,11.3,15.8,2020,FIBA-Europe-Cup
8,SL Benfica,12,40.4,84.3,29.9,66.5,0.45,10.4,26.9,0.387,14.0,18.8,0.743,10.4,27.3,37.7,18.3,6.6,3.1,13.3,17.7,2020,FIBA-Europe-Cup
9,U-Banca Transilvania Cluj,14,40.0,84.1,30.7,62.0,0.495,6.6,20.3,0.327,16.0,20.7,0.772,9.4,22.0,31.4,20.6,6.9,2.4,14.3,20.9,2020,FIBA-Europe-Cup
10,ZZ Leiden,12,40.8,83.8,29.5,67.0,0.44,9.4,26.2,0.36,15.3,18.8,0.814,9.4,24.8,34.3,18.3,7.4,2.2,13.9,17.3,2020,FIBA-Europe-Cup
11,Landstede Zwolle,12,40.4,83.8,31.9,66.6,0.479,9.6,24.0,0.399,10.3,14.3,0.721,7.4,23.5,30.9,20.8,7.6,1.8,11.7,16.1,2020,FIBA-Europe-Cup
12,Egis Kormend,12,40.4,83.6,31.6,66.4,0.476,8.0,22.2,0.361,12.4,19.6,0.634,9.9,22.3,32.3,15.2,10.0,2.8,13.8,17.3,2020,FIBA-Europe-Cup
13,Bahcesehir Koleji,14,40.0,83.6,32.7,64.6,0.506,6.1,17.1,0.354,12.1,16.6,0.728,8.4,26.2,34.6,20.0,4.7,3.0,11.9,17.5,2020,FIBA-Europe-Cup
14,Ironi Nes Ziona,11,40.0,83.3,31.5,66.5,0.475,7.3,22.5,0.323,12.9,18.9,0.683,9.3,24.5,33.7,19.0,7.1,3.2,12.5,19.2,2020,FIBA-Europe-Cup
15,Dnipro Dnipropetrovsk,6,40.8,82.8,31.0,66.7,0.465,9.2,26.2,0.35,11.7,14.8,0.787,10.0,22.2,32.2,18.8,8.7,2.7,15.5,19.3,2020,FIBA-Europe-Cup
16,Tsmoki-Minsk,14,41.1,81.8,29.2,62.7,0.466,8.6,23.5,0.365,14.8,18.6,0.796,9.4,23.0,32.4,20.6,5.6,2.8,13.9,19.7,2020,FIBA-Europe-Cup
17,Joensuun Kataja,6,41.7,81.5,31.5,71.7,0.44,9.0,28.8,0.312,9.5,12.5,0.76,11.3,25.3,36.7,19.0,6.8,3.7,16.0,20.7,2020,FIBA-Europe-Cup
18,BK Inter Bratislava,6,40.0,81.0,29.7,69.8,0.425,9.0,27.5,0.327,12.7,17.8,0.71,11.8,23.2,35.0,20.8,6.5,1.2,11.0,21.7,2020,FIBA-Europe-Cup
19,BC Kyiv,14,40.3,80.4,30.0,67.3,0.446,9.0,25.5,0.353,11.4,15.6,0.726,9.1,23.9,33.0,18.1,6.9,2.7,13.6,19.4,2020,FIBA-Europe-Cup
20,BC Balkan,6,40.0,80.0,26.7,62.7,0.426,7.0,24.5,0.286,19.7,23.5,0.837,8.3,22.5,30.8,18.2,7.2,1.5,14.2,22.8,2020,FIBA-Europe-Cup
21,Sodertalje,6,40.0,79.8,28.7,63.0,0.455,8.8,23.2,0.381,13.7,20.3,0.672,9.8,19.0,28.8,16.2,6.7,3.2,13.7,24.8,2020,FIBA-Europe-Cup
22,Proximus Spirou Charleroi,12,40.4,79.8,28.7,65.8,0.435,9.6,28.1,0.341,12.8,17.3,0.74,9.0,21.6,30.6,16.3,6.8,3.1,13.6,23.1,2020,FIBA-Europe-Cup
23,Legia Warszawa,6,41.7,79.3,29.0,68.5,0.423,8.7,26.7,0.325,12.7,16.5,0.768,10.2,27.0,37.2,18.0,7.5,1.7,16.0,18.5,2020,FIBA-Europe-Cup
24,CSU Atlassib Sibiu,6,40.8,78.7,28.2,65.0,0.433,10.8,29.7,0.365,11.5,16.2,0.711,11.2,20.8,32.0,19.8,6.2,2.2,14.5,18.5,2020,FIBA-Europe-Cup
25,Basic-Fit Brussels Basketball,6,40.8,78.0,27.7,61.2,0.452,10.0,25.2,0.397,12.7,18.0,0.704,8.8,21.8,30.7,16.2,5.3,2.2,15.0,18.3,2020,FIBA-Europe-Cup
26,Keravnos Strovolou,6,40.0,77.3,29.0,63.2,0.459,9.3,24.8,0.376,10.0,12.3,0.811,6.3,20.7,27.0,18.0,5.0,4.3,10.7,18.0,2020,FIBA-Europe-Cup
