#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Donar Groningen,2,42.5,89.5,32.5,67.5,0.481,13.0,29.5,0.441,11.5,17.0,0.676,7.5,22.5,30.0,19.5,4.5,0.5,12.0,26.5,2021,FIBA-Europe-Cup,0
2,Ironi Nes Ziona,7,40.0,88.6,32.1,68.6,0.469,6.6,21.1,0.311,17.7,22.3,0.795,8.6,24.6,33.1,22.0,8.9,2.0,11.4,22.0,2021,FIBA-Europe-Cup,1
3,Parma Basket Perm,6,40.0,84.7,29.0,59.3,0.489,12.0,30.0,0.4,14.7,20.0,0.733,8.8,24.3,33.2,18.8,7.0,3.0,14.3,18.5,2021,FIBA-Europe-Cup,0
4,BM Slam Stal Ostrow WLKP,7,40.0,83.4,28.3,62.1,0.455,11.7,31.7,0.369,15.1,20.6,0.736,9.0,23.1,32.1,17.3,6.9,1.4,12.9,19.6,2021,FIBA-Europe-Cup,0
5,Iraklis BC,5,41.0,83.4,30.2,62.2,0.486,7.2,21.8,0.33,15.8,22.0,0.718,9.0,24.6,33.6,18.0,7.2,2.4,14.2,20.4,2021,FIBA-Europe-Cup,0
6,Heroes Den Bosch,3,41.6,81.7,30.0,61.0,0.492,8.0,22.0,0.364,13.7,17.3,0.788,8.0,25.3,33.3,20.0,5.3,1.3,16.3,19.7,2021,FIBA-Europe-Cup,0
7,Besiktas Icrypex,3,40.0,81.3,30.3,57.7,0.526,7.7,18.7,0.411,13.0,19.7,0.661,6.0,18.0,24.0,20.7,8.7,3.0,14.7,19.3,2021,FIBA-Europe-Cup,0
8,Szolnoki Olaj,3,40.0,77.0,29.3,65.3,0.449,10.0,26.0,0.385,8.3,13.0,0.641,6.7,24.3,31.0,19.7,6.0,2.0,12.3,18.3,2021,FIBA-Europe-Cup,0
9,Sporting Clube de Portugal,3,40.0,77.0,28.3,68.7,0.413,9.7,34.0,0.284,10.7,14.3,0.744,13.0,22.0,35.0,17.7,7.0,3.0,16.7,20.0,2021,FIBA-Europe-Cup,0
10,CSU Atlassib Sibiu,4,40.0,77.0,27.8,68.3,0.407,9.3,27.8,0.333,12.3,16.3,0.754,12.3,25.8,38.0,17.3,8.3,2.3,13.8,21.0,2021,FIBA-Europe-Cup,0
11,SC Prometey Kamianske,4,40.0,76.5,28.0,64.3,0.436,8.3,25.0,0.33,12.3,24.3,0.505,11.5,25.5,37.0,20.0,7.8,2.3,12.3,18.5,2021,FIBA-Europe-Cup,0
12,Belfius Mons-Hainaut,5,41.0,76.2,27.0,58.6,0.461,7.2,19.6,0.367,15.0,20.2,0.743,9.2,24.4,33.6,15.0,5.8,3.4,15.4,23.6,2021,FIBA-Europe-Cup,0
13,Anwil Wloclawek,3,40.0,74.7,26.7,61.0,0.437,9.0,29.3,0.307,12.3,14.3,0.86,5.7,22.0,27.7,14.7,9.0,2.0,15.3,19.0,2021,FIBA-Europe-Cup,0
14,CSM Oradea,7,40.0,73.7,26.4,57.7,0.458,8.7,23.9,0.365,12.1,15.6,0.78,8.9,22.3,31.1,15.0,5.0,2.7,13.3,21.9,2021,FIBA-Europe-Cup,0
15,Egis Kormend,3,40.0,73.7,27.7,54.3,0.509,6.3,20.0,0.317,12.0,16.3,0.735,4.3,16.7,21.0,15.7,8.7,0.7,15.3,22.3,2021,FIBA-Europe-Cup,0
16,Fribourg Olympic,3,40.0,72.3,27.7,62.7,0.441,8.0,22.0,0.364,9.0,10.7,0.844,8.7,23.7,32.3,14.0,7.0,3.0,14.3,18.3,2021,FIBA-Europe-Cup,0
17,Grissin Bon Reggio Emilia,5,40.0,72.2,25.0,53.4,0.468,8.2,19.4,0.423,14.0,17.4,0.805,5.4,24.6,30.0,15.2,6.2,1.6,13.8,18.2,2021,FIBA-Europe-Cup,0
18,BC Balkan,5,40.0,71.8,25.2,61.6,0.409,8.0,25.0,0.32,13.4,17.8,0.753,8.6,20.6,29.2,15.6,6.6,1.8,12.6,17.8,2021,FIBA-Europe-Cup,0
19,BC Rilski Sportist,4,40.0,69.5,26.5,57.5,0.461,9.0,23.5,0.383,7.5,10.8,0.698,6.3,20.0,26.3,15.5,5.3,2.3,14.0,17.3,2021,FIBA-Europe-Cup,0
20,Dnipro Dnipropetrovsk,3,40.0,68.3,24.3,61.0,0.399,5.7,25.0,0.227,14.0,18.0,0.778,9.7,23.0,32.7,17.3,7.0,1.3,14.0,18.3,2021,FIBA-Europe-Cup,0
21,BC Kyiv,4,40.0,68.0,26.5,64.0,0.414,6.8,23.5,0.287,8.3,10.5,0.786,9.3,27.3,36.5,15.0,6.0,1.5,15.0,21.3,2021,FIBA-Europe-Cup,0
22,ece bulls Kapfenberg,3,40.0,59.3,23.0,60.3,0.381,5.3,20.0,0.267,8.0,10.3,0.774,7.0,27.0,34.0,12.7,5.7,2.0,13.3,16.3,2021,FIBA-Europe-Cup,0
