#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Pyrinto Tampere,58,40.2,87.5,33.5,69.8,0.479,8.3,21.6,0.385,12.2,17.4,0.702,10.4,25.7,36.1,13.1,7.0,2.8,10.6,18.8,2014,Finnish-Korisliiga,1
2,KTP Basket,53,40.6,85.0,30.4,65.9,0.461,9.7,25.2,0.385,14.5,19.0,0.766,9.7,24.4,34.1,13.7,6.3,2.9,12.5,20.1,2014,Finnish-Korisliiga,0
3,Kouvot,49,40.5,84.1,30.8,66.7,0.461,9.2,26.4,0.347,13.3,18.1,0.739,10.6,22.6,33.2,14.5,7.0,2.4,14.8,20.0,2014,Finnish-Korisliiga,0
4,Joensuun Kataja,57,40.2,83.4,29.8,61.6,0.484,9.6,24.8,0.387,14.0,20.0,0.701,8.1,24.0,32.1,15.5,6.5,2.9,13.4,21.3,2014,Finnish-Korisliiga,0
5,Tapiolan Honka,47,40.0,82.9,31.3,65.4,0.478,7.9,23.0,0.342,12.6,16.3,0.77,8.3,23.5,31.8,13.7,5.8,2.3,13.4,19.7,2014,Finnish-Korisliiga,0
6,Kobrat,43,40.5,79.8,29.2,66.0,0.442,7.1,21.0,0.337,14.3,19.9,0.721,9.2,24.2,33.4,10.7,5.5,1.6,13.7,18.7,2014,Finnish-Korisliiga,0
7,Korihait,43,40.2,79.0,29.7,63.6,0.468,6.7,18.5,0.364,12.7,16.6,0.766,9.4,24.5,33.9,11.2,5.1,1.7,16.8,16.8,2014,Finnish-Korisliiga,0
8,Nilan Bisons,53,40.2,78.9,28.9,62.3,0.464,7.2,20.9,0.342,14.0,20.4,0.684,8.8,25.3,34.1,14.8,6.7,3.1,11.8,19.4,2014,Finnish-Korisliiga,0
9,Kauhajoen Karhu,46,40.2,78.6,28.6,64.9,0.441,7.6,24.2,0.316,13.7,19.0,0.724,8.6,24.2,32.8,12.8,7.7,2.5,14.4,19.6,2014,Finnish-Korisliiga,0
10,Salon Vilpas,44,40.4,76.9,29.7,66.2,0.448,6.4,18.6,0.343,11.1,15.6,0.711,9.5,23.6,33.1,13.2,8.3,1.9,13.7,20.3,2014,Finnish-Korisliiga,0
11,Namika Lahti,48,40.1,76.2,28.0,61.8,0.454,5.9,18.4,0.323,14.2,19.9,0.714,9.0,25.0,34.0,12.0,6.7,2.8,16.4,18.9,2014,Finnish-Korisliiga,0
12,Lappeenrannan NMKY,45,40.3,75.2,28.2,64.9,0.434,7.3,22.0,0.331,11.6,15.7,0.743,9.7,21.2,30.9,10.4,7.2,1.8,13.1,20.9,2014,Finnish-Korisliiga,0
