#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Helsinki Seagulls,42,40.1,92.2,33.0,69.2,0.478,10.7,30.1,0.354,15.4,21.2,0.726,9.9,28.0,37.9,21.9,6.6,4.0,11.9,17.2,2023,Finnish-Korisliiga
2,Kouvot,34,40.3,89.8,33.9,74.1,0.458,8.1,22.5,0.359,13.8,18.5,0.747,11.3,28.3,39.5,12.4,6.4,2.8,13.1,15.0,2023,Finnish-Korisliiga
3,Salon Vilpas,41,40.6,89.2,33.2,67.3,0.493,8.9,24.0,0.371,13.9,18.2,0.763,7.1,23.7,30.8,19.2,7.5,3.1,13.4,19.7,2023,Finnish-Korisliiga
4,Kauhajoen Karhu,43,40.0,88.7,33.6,70.4,0.478,11.3,30.7,0.37,10.2,13.2,0.772,11.2,24.6,35.8,20.7,7.6,2.5,11.8,18.2,2023,Finnish-Korisliiga
5,Lahti Basketball,32,40.2,87.3,32.5,73.6,0.442,10.0,30.6,0.327,12.3,17.9,0.691,12.4,25.2,37.7,18.8,7.1,2.8,13.9,17.5,2023,Finnish-Korisliiga
6,KTP Basket,37,40.3,86.5,32.4,71.2,0.455,9.2,27.7,0.331,12.5,16.7,0.749,9.1,24.2,33.3,15.1,6.8,2.4,11.5,17.7,2023,Finnish-Korisliiga
7,Pyrinto Tampere,35,40.0,85.8,32.3,72.8,0.444,9.0,27.1,0.333,12.1,17.6,0.687,10.2,23.1,33.3,16.6,9.8,3.1,12.0,16.9,2023,Finnish-Korisliiga
8,Joensuun Kataja,42,40.2,83.8,31.5,70.9,0.444,9.0,27.5,0.329,11.8,16.3,0.726,10.6,25.6,36.2,18.2,6.8,3.5,12.1,19.4,2023,Finnish-Korisliiga
9,Korihait,32,40.3,82.9,30.4,67.7,0.449,9.5,27.4,0.347,12.6,17.3,0.726,9.9,24.0,33.9,17.7,7.3,3.0,15.6,19.3,2023,Finnish-Korisliiga
10,Kobrat,32,39.8,82.0,29.4,65.9,0.447,9.9,28.8,0.345,13.2,17.6,0.751,8.8,22.8,31.7,15.8,7.7,2.5,12.9,20.1,2023,Finnish-Korisliiga
11,BC Nokia,34,40.6,79.4,29.0,65.4,0.443,8.1,24.4,0.333,13.4,18.4,0.726,8.4,26.7,35.1,16.6,5.7,2.5,14.0,18.7,2023,Finnish-Korisliiga
12,Tapiolan Honka,32,40.2,79.1,29.9,67.2,0.445,7.8,23.6,0.33,11.5,17.2,0.669,8.6,25.0,33.6,16.9,6.5,2.0,14.5,19.6,2023,Finnish-Korisliiga
