#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,ASVEL Basket,36,40.3,83.6,30.9,63.5,0.486,7.3,18.0,0.406,14.5,18.9,0.767,10.1,23.8,33.9,18.6,7.3,2.8,12.8,20.4,2005,French-Jeep-Elite,0
2,BCM Gravelines,33,40.5,82.6,29.5,59.5,0.496,7.2,19.8,0.364,16.4,21.4,0.765,8.5,22.5,31.0,17.9,6.2,1.7,13.0,21.5,2005,French-Jeep-Elite,0
3,Nancy Basket,38,40.4,82.5,31.9,62.9,0.507,6.0,16.9,0.356,12.7,18.5,0.685,10.6,24.7,35.3,19.0,8.5,2.8,15.4,18.7,2005,French-Jeep-Elite,0
4,Strasbourg IG,37,40.3,81.8,29.9,60.8,0.492,6.6,17.6,0.374,15.5,21.3,0.726,9.3,23.1,32.5,17.4,7.3,1.8,13.6,18.4,2005,French-Jeep-Elite,1
5,Pau-Orthez,30,40.2,81.5,30.3,61.7,0.491,6.6,19.4,0.342,14.3,20.2,0.711,9.0,20.9,30.0,17.7,8.7,2.9,12.5,22.2,2005,French-Jeep-Elite,0
6,Chalon-Sur-Saone,35,40.6,81.0,27.6,57.9,0.477,9.1,23.7,0.382,16.7,20.4,0.819,6.6,22.3,28.8,15.5,8.4,2.4,12.3,21.1,2005,French-Jeep-Elite,0
7,JDA Dijon Basket,30,40.2,80.5,29.1,62.2,0.469,7.5,19.2,0.392,14.7,19.3,0.76,10.2,21.5,31.7,17.6,6.6,2.2,13.6,21.0,2005,French-Jeep-Elite,0
8,Le Mans Sarthe Basket,33,40.0,80.2,29.1,59.9,0.486,6.8,19.2,0.356,15.1,21.2,0.711,10.9,22.8,33.8,18.2,7.6,2.4,14.4,20.1,2005,French-Jeep-Elite,0
9,STB Le Havre,35,40.3,80.1,27.1,59.5,0.455,9.6,27.2,0.353,16.3,22.2,0.736,8.4,20.4,28.8,16.7,9.4,2.7,13.8,19.2,2005,French-Jeep-Elite,0
10,JA Vichy,31,40.5,78.9,29.6,65.5,0.452,8.4,25.0,0.335,11.4,17.0,0.667,10.8,22.8,33.7,17.5,7.1,3.9,14.4,20.5,2005,French-Jeep-Elite,0
11,Cholet Basket,32,40.2,78.8,28.8,59.4,0.484,7.8,20.4,0.383,13.5,19.9,0.678,8.8,22.9,31.7,17.1,7.1,3.7,12.7,18.5,2005,French-Jeep-Elite,0
12,Hyeres-Toulon,32,40.0,78.8,29.4,58.8,0.499,7.1,18.6,0.379,12.9,18.6,0.697,8.7,19.3,28.0,16.4,8.2,0.8,13.3,19.8,2005,French-Jeep-Elite,0
13,Chalons-Reims CB,29,40.0,76.5,29.2,60.9,0.48,7.6,19.7,0.386,10.4,13.4,0.777,7.2,18.1,25.3,16.8,6.9,1.7,13.1,18.3,2005,French-Jeep-Elite,0
14,Chorale Roanne Basket,27,40.2,74.9,28.0,63.0,0.444,7.6,21.9,0.346,11.3,16.2,0.698,9.7,21.8,31.6,14.5,8.3,3.7,14.7,19.5,2005,French-Jeep-Elite,0
15,Boulogne-Levallois,33,40.2,73.8,26.9,57.8,0.465,7.2,20.2,0.354,12.9,18.5,0.699,9.8,19.8,29.5,17.0,9.1,2.1,14.2,20.3,2005,French-Jeep-Elite,0
16,Stade Clermontois BA,31,40.2,72.2,25.9,62.7,0.413,7.8,23.2,0.337,12.6,18.3,0.69,11.3,19.3,30.6,12.6,9.4,2.5,14.0,22.3,2005,French-Jeep-Elite,0
17,Chalons en Champagne,30,40.3,72.1,26.8,59.6,0.45,5.0,17.1,0.295,13.4,18.4,0.727,9.5,21.4,30.8,15.3,7.1,2.5,15.6,19.5,2005,French-Jeep-Elite,0
18,JL Bourg-en-Bresse,32,40.2,71.4,26.7,58.2,0.458,6.0,18.8,0.319,12.1,17.1,0.711,8.1,19.6,27.7,14.5,7.3,3.3,14.4,19.6,2005,French-Jeep-Elite,0
