#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Boulogne-Levallois,25,40.8,90.0,32.7,64.4,0.508,7.4,19.6,0.379,17.2,22.9,0.749,7.5,22.4,29.9,19.8,9.5,3.1,14.3,20.9,2020,French-Jeep-Elite
2,ASVEL Basket,25,40.2,85.6,29.2,61.7,0.472,8.7,23.7,0.368,18.6,23.8,0.779,10.3,21.9,32.2,19.2,6.3,3.0,11.5,23.2,2020,French-Jeep-Elite
3,Nanterre 92,25,40.0,85.4,31.4,63.6,0.493,10.6,26.1,0.408,12.0,15.3,0.786,8.6,20.8,29.5,16.4,7.4,2.6,13.1,20.8,2020,French-Jeep-Elite
4,JDA Dijon Basket,25,40.2,85.0,30.9,61.3,0.504,9.8,25.7,0.383,13.4,17.4,0.766,8.0,23.2,31.2,21.6,7.3,2.0,13.0,19.0,2020,French-Jeep-Elite
5,AS Monaco Basket,25,40.0,84.4,31.0,64.5,0.481,8.9,23.0,0.387,13.4,19.5,0.686,11.1,23.0,34.1,18.2,7.8,2.0,12.1,22.0,2020,French-Jeep-Elite
6,Orleans Loiret Basket,25,40.8,84.2,29.9,64.5,0.464,9.0,24.3,0.372,15.3,21.3,0.719,9.0,21.1,30.0,16.7,8.4,2.2,13.5,21.0,2020,French-Jeep-Elite
7,Chalons-Reims CB,25,40.4,83.4,28.7,60.9,0.471,10.1,25.0,0.405,15.8,20.4,0.773,8.0,24.4,32.4,20.5,5.5,2.6,15.2,21.0,2020,French-Jeep-Elite
8,JL Bourg-en-Bresse,25,40.0,83.3,29.8,61.6,0.484,9.4,24.4,0.386,14.3,18.8,0.76,8.2,22.6,30.9,18.9,7.8,2.0,13.6,21.0,2020,French-Jeep-Elite
9,Chalon-Sur-Saone,25,40.8,82.2,28.4,63.0,0.451,9.1,25.2,0.36,16.3,21.8,0.745,8.8,22.1,30.9,16.7,5.6,1.6,13.0,19.2,2020,French-Jeep-Elite
10,Boulazac Basket Dordogne,25,40.6,82.2,29.3,61.3,0.477,7.0,19.6,0.358,16.6,23.2,0.716,8.1,23.6,31.8,17.3,6.1,2.5,14.9,21.6,2020,French-Jeep-Elite
11,Le Mans Sarthe Basket,25,40.0,81.9,29.3,58.8,0.498,8.6,22.7,0.377,14.8,18.8,0.789,6.9,21.3,28.2,19.8,7.5,2.2,14.2,20.2,2020,French-Jeep-Elite
12,Strasbourg IG,24,40.2,81.9,30.3,59.7,0.508,7.8,20.3,0.383,13.5,17.6,0.764,6.3,23.1,29.4,20.0,6.3,1.9,13.6,20.7,2020,French-Jeep-Elite
13,CSP Limoges,25,40.4,81.2,29.3,61.0,0.481,8.4,22.4,0.376,14.2,20.1,0.705,8.0,21.8,29.9,19.0,7.8,1.9,12.6,20.4,2020,French-Jeep-Elite
14,Chorale Roanne Basket,25,40.0,81.1,28.8,61.8,0.466,7.2,20.7,0.35,16.2,20.4,0.794,7.7,20.5,28.2,15.2,7.8,2.4,13.5,20.4,2020,French-Jeep-Elite
15,Cholet Basket,25,39.9,80.2,29.2,60.9,0.479,7.5,18.9,0.395,14.3,18.8,0.758,8.8,22.5,31.3,17.9,7.2,3.0,13.4,20.9,2020,French-Jeep-Elite
16,Pau-Orthez,25,40.4,78.8,27.6,62.9,0.439,8.9,25.9,0.345,14.6,19.4,0.753,9.8,24.8,34.6,16.1,5.4,3.0,14.8,21.0,2020,French-Jeep-Elite
17,Le Portel,24,40.2,76.1,27.5,61.6,0.447,7.3,21.8,0.337,13.7,18.6,0.734,9.3,23.1,32.4,17.6,6.1,2.3,15.1,21.2,2020,French-Jeep-Elite
18,BCM Gravelines,25,40.2,75.8,27.2,60.2,0.452,10.1,24.9,0.404,11.3,15.1,0.748,7.0,22.9,29.9,17.4,5.6,2.5,12.9,19.6,2020,French-Jeep-Elite
