#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Espoirs Cholet,36,39.9,89.5,33.3,66.8,0.499,7.5,22.8,0.328,15.4,23.1,0.669,12.4,27.5,39.9,20.8,11.7,2.7,19.6,18.7,2018,French-LNB-Espoirs,0
2,Espoirs Monaco,35,40.0,74.7,26.3,60.9,0.432,5.7,21.0,0.273,16.4,24.5,0.669,11.3,24.1,35.4,15.1,9.9,3.7,18.5,18.1,2018,French-LNB-Espoirs,0
3,Espoirs Gravelines-Dunkerque,37,40.3,73.8,26.2,63.1,0.415,8.3,26.4,0.314,13.1,17.6,0.745,9.5,24.6,34.0,16.8,6.6,1.3,13.6,17.0,2018,French-LNB-Espoirs,0
4,Espoirs Chalon-Saone,34,40.1,73.7,27.5,64.0,0.429,6.5,23.2,0.279,12.3,19.0,0.647,11.9,24.0,35.9,17.5,10.3,2.6,17.2,17.1,2018,French-LNB-Espoirs,0
5,Espoirs Bourg-en-Bresse,34,40.0,73.5,27.5,60.1,0.457,7.0,20.1,0.347,11.6,16.4,0.704,9.5,21.4,30.9,16.8,11.8,2.0,19.1,21.2,2018,French-LNB-Espoirs,0
6,Espoirs Boulazac,34,40.3,73.4,26.7,63.3,0.423,7.8,27.2,0.285,12.1,19.2,0.631,10.5,19.7,30.2,14.1,10.1,0.9,18.1,19.9,2018,French-LNB-Espoirs,0
7,Espoirs Asvel,34,39.4,72.1,25.6,60.0,0.427,7.4,23.1,0.323,13.4,20.5,0.657,9.3,24.6,33.9,15.8,8.9,1.8,18.2,15.9,2018,French-LNB-Espoirs,0
8,Espoirs Chalons-Reims,34,40.0,71.6,26.7,60.8,0.439,6.5,20.5,0.316,11.7,18.0,0.651,9.6,24.2,33.8,17.4,10.8,1.6,19.0,19.7,2018,French-LNB-Espoirs,0
9,Espoirs Boulogne-Levallois,33,40.2,71.5,25.8,63.5,0.406,5.6,20.8,0.268,14.4,21.5,0.669,10.9,24.1,35.0,14.7,11.3,1.6,18.3,19.2,2018,French-LNB-Espoirs,0
10,Espoirs Strasbourg,35,39.9,71.5,26.6,61.7,0.431,6.1,21.3,0.287,12.1,17.3,0.701,10.5,23.5,34.0,16.5,10.1,2.4,17.6,17.4,2018,French-LNB-Espoirs,0
11,Espoirs Hyers-Toulon,33,40.2,71.0,25.5,59.7,0.427,7.2,22.8,0.314,12.9,18.5,0.696,8.1,20.5,28.6,15.6,8.5,1.1,16.1,20.9,2018,French-LNB-Espoirs,0
12,Espoirs Nanterre,35,40.1,69.7,26.3,64.6,0.407,7.6,26.0,0.293,9.4,15.7,0.601,11.5,24.3,35.8,13.5,9.1,1.9,16.5,18.0,2018,French-LNB-Espoirs,0
13,Espoirs Dijon,34,40.1,69.5,25.4,59.1,0.431,5.9,19.3,0.305,12.7,18.2,0.698,8.1,18.4,26.5,13.5,11.6,1.4,15.2,17.4,2018,French-LNB-Espoirs,0
14,Espoirs Le Mans,34,40.6,69.2,25.6,62.6,0.408,6.9,22.1,0.31,11.3,18.9,0.595,11.3,24.1,35.4,14.5,8.0,2.4,19.4,19.8,2018,French-LNB-Espoirs,1
15,Espoirs Limoges,34,40.1,69.1,24.5,61.3,0.4,7.7,24.4,0.315,12.4,17.7,0.698,12.0,24.5,36.5,15.3,9.6,1.8,19.8,18.8,2018,French-LNB-Espoirs,0
16,Espoirs Antibes,34,39.4,66.7,23.6,59.6,0.396,6.0,20.6,0.29,13.4,19.6,0.685,7.9,20.7,28.6,12.7,7.3,1.2,18.5,19.9,2018,French-LNB-Espoirs,0
17,Espoirs Le Portel,34,40.1,65.7,24.2,60.3,0.401,6.2,22.3,0.279,11.1,16.1,0.689,11.3,21.1,32.4,13.6,10.9,2.1,18.4,19.7,2018,French-LNB-Espoirs,0
18,Espoirs Pau-Lacq-Orthez,34,39.9,65.3,25.0,60.6,0.413,5.3,19.2,0.275,10.0,16.8,0.594,10.4,22.0,32.5,15.1,9.5,2.6,19.9,19.9,2018,French-LNB-Espoirs,0
