#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Espoirs Cholet,25,40.0,87.3,32.3,64.3,0.502,7.6,22.8,0.333,15.1,21.7,0.696,12.6,24.0,36.6,19.9,11.6,3.2,16.6,16.8,2020,French-LNB-Espoirs
2,Espoirs Bourg-en-Bresse,26,40.0,86.0,33.1,65.6,0.505,8.5,22.8,0.373,11.3,16.5,0.685,10.3,25.3,35.7,22.0,11.6,3.4,19.0,17.5,2020,French-LNB-Espoirs
3,Espoirs Pau-Lacq-Orthez,25,40.2,79.1,30.5,66.7,0.457,5.2,19.1,0.27,13.0,21.0,0.618,10.7,26.3,37.0,16.2,12.0,2.1,19.8,17.7,2020,French-LNB-Espoirs
4,Espoirs Strasbourg,25,40.2,78.7,30.1,66.4,0.453,6.0,19.7,0.303,12.6,19.0,0.662,8.9,24.6,33.6,18.0,11.7,2.8,16.6,17.6,2020,French-LNB-Espoirs
5,Espoirs Roanne,23,40.4,78.2,29.8,64.0,0.466,5.4,17.7,0.307,13.1,20.2,0.649,11.7,23.4,35.1,17.8,11.5,3.3,19.5,19.3,2020,French-LNB-Espoirs
6,Espoirs Dijon,25,40.0,77.0,28.3,61.4,0.461,5.6,19.4,0.289,14.8,21.6,0.683,8.9,20.2,29.2,13.9,12.3,1.3,15.1,17.8,2020,French-LNB-Espoirs
7,Espoirs Asvel,22,40.0,76.7,27.1,62.5,0.434,6.3,19.6,0.322,16.1,23.3,0.69,10.6,23.6,34.2,15.7,9.7,3.0,16.9,18.8,2020,French-LNB-Espoirs
8,Espoirs Chalon-Saone,24,40.0,76.6,28.6,63.5,0.451,7.5,22.9,0.326,11.9,18.6,0.639,12.3,23.8,36.0,16.8,10.0,2.5,20.0,20.5,2020,French-LNB-Espoirs
9,Espoirs Nanterre,25,40.0,76.2,29.2,66.0,0.443,7.0,24.5,0.284,10.8,16.8,0.64,10.2,23.0,33.2,16.8,12.2,3.7,19.4,20.7,2020,French-LNB-Espoirs
10,Espoirs Chalons-Reims,25,40.8,76.2,28.2,63.8,0.443,6.5,22.1,0.295,13.2,19.4,0.682,9.9,22.3,32.2,17.3,8.4,1.4,18.2,19.0,2020,French-LNB-Espoirs
11,Espoirs Boulazac,24,40.4,74.4,27.8,64.7,0.429,6.5,21.9,0.299,12.3,18.9,0.651,9.2,23.0,32.3,15.5,11.2,1.5,19.3,19.9,2020,French-LNB-Espoirs
12,Espoirs Le Mans,23,41.1,71.8,27.4,67.1,0.409,6.1,22.4,0.273,10.8,16.8,0.643,12.4,24.4,36.8,17.4,8.3,3.6,19.6,20.8,2020,French-LNB-Espoirs
13,Espoirs Monaco,23,40.5,70.7,27.2,68.4,0.398,6.3,23.3,0.271,10.0,16.2,0.617,13.3,25.4,38.7,15.7,10.0,3.0,20.2,20.0,2020,French-LNB-Espoirs
14,Espoirs Limoges,23,39.7,70.4,26.0,60.3,0.431,6.2,19.7,0.316,12.3,19.0,0.646,10.8,21.6,32.3,15.7,8.9,2.7,20.5,17.4,2020,French-LNB-Espoirs
15,Espoirs Orleans,26,40.2,70.2,27.7,63.0,0.44,4.6,17.5,0.262,10.1,16.3,0.62,11.3,22.5,33.8,17.5,9.6,1.9,21.8,18.4,2020,French-LNB-Espoirs
16,Espoirs Boulogne-Levallois,24,40.2,69.4,24.8,61.0,0.407,5.0,17.9,0.277,14.8,20.5,0.722,11.3,21.7,33.0,13.3,10.0,1.7,22.2,20.5,2020,French-LNB-Espoirs
17,Espoirs Gravelines-Dunkerque,25,40.2,67.2,25.0,60.0,0.416,5.9,21.1,0.279,11.4,19.6,0.584,8.6,23.1,31.7,17.0,9.3,2.7,20.3,19.4,2020,French-LNB-Espoirs
18,Espoirs Le Portel,25,40.0,61.9,22.2,58.7,0.377,5.4,21.0,0.26,12.1,18.8,0.646,9.8,26.4,36.2,15.1,8.0,3.0,21.0,18.7,2020,French-LNB-Espoirs
