#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Chalons-Reims CB,49,40.5,81.8,28.4,58.7,0.484,9.1,24.3,0.376,15.9,20.6,0.77,7.9,22.8,30.7,16.0,7.3,1.9,13.8,22.2,2014,French-LNB-Pro-B,0
2,SO Maritime Boulogne,44,40.3,81.3,28.8,63.3,0.455,7.9,23.0,0.342,16.2,20.0,0.807,9.5,23.2,32.7,16.1,8.5,1.8,12.9,20.8,2014,French-LNB-Pro-B,0
3,Le Portel,47,40.2,79.7,29.2,59.6,0.49,6.1,17.5,0.347,15.3,20.4,0.753,8.2,23.0,31.3,17.1,8.1,3.0,14.7,20.4,2014,French-LNB-Pro-B,0
4,Denain ASC Voltaire,44,40.0,79.6,28.0,60.4,0.464,6.3,19.2,0.33,17.3,24.0,0.722,9.0,22.3,31.3,13.4,7.2,2.3,13.4,21.2,2014,French-LNB-Pro-B,0
5,Saint-Quentin Basketball,44,40.1,79.3,28.6,63.2,0.452,7.8,23.4,0.332,14.4,20.0,0.719,10.1,21.5,31.6,14.8,7.0,1.8,13.3,19.3,2014,French-LNB-Pro-B,0
6,Aix Maurienne Savoie Basket,47,40.5,78.9,26.7,63.5,0.421,9.2,27.2,0.338,16.2,22.3,0.727,10.4,22.3,32.7,11.8,6.6,1.6,12.1,20.1,2014,French-LNB-Pro-B,0
7,JL Bourg-en-Bresse,51,40.3,77.6,27.3,59.0,0.462,7.8,22.2,0.349,15.3,20.3,0.755,8.0,25.1,33.0,17.7,7.3,2.8,14.0,20.1,2014,French-LNB-Pro-B,0
8,Boulazac Basket Dordogne,44,40.1,77.3,27.9,59.9,0.466,6.3,18.3,0.344,15.3,21.1,0.723,8.3,24.3,32.5,13.8,6.6,2.1,12.3,20.0,2014,French-LNB-Pro-B,0
9,Poitiers Basket 86,50,40.7,77.0,27.3,61.1,0.446,8.8,24.5,0.357,13.8,20.2,0.682,9.5,24.1,33.6,15.8,6.7,3.3,12.5,20.1,2014,French-LNB-Pro-B,0
10,Lille Metropole Basket Clubs,44,40.7,77.0,26.8,60.6,0.443,7.6,24.6,0.308,15.7,22.2,0.709,9.1,23.8,32.9,18.3,9.1,2.8,15.6,20.0,2014,French-LNB-Pro-B,0
11,Saint-Vallier,44,40.1,76.9,27.7,61.8,0.448,6.9,20.5,0.337,14.7,20.6,0.71,8.9,23.0,31.8,14.7,7.2,2.6,13.0,21.0,2014,French-LNB-Pro-B,0
12,Fos Sur Mer,46,40.3,75.8,27.8,60.9,0.457,7.0,20.1,0.351,13.2,18.4,0.717,9.2,22.0,31.2,15.1,7.4,2.1,12.4,21.6,2014,French-LNB-Pro-B,1
13,Hyeres-Toulon,46,40.1,75.5,27.0,57.8,0.466,7.7,21.4,0.362,13.8,20.0,0.691,7.3,23.5,30.8,15.0,6.6,1.5,12.4,20.1,2014,French-LNB-Pro-B,0
14,ALM Evreux Basket,50,40.0,74.8,27.0,59.8,0.451,6.4,19.8,0.321,14.4,21.3,0.677,9.1,23.4,32.5,13.8,7.8,2.2,14.6,21.7,2014,French-LNB-Pro-B,0
15,Hermine Nantes Atlantique,44,40.7,74.8,27.3,61.8,0.443,6.2,19.6,0.317,13.9,19.8,0.701,9.9,23.5,33.4,14.7,7.1,2.8,13.6,20.4,2014,French-LNB-Pro-B,0
16,BC Orchies,44,40.5,73.3,27.1,62.6,0.433,6.4,21.1,0.303,12.7,18.3,0.692,9.0,24.4,33.4,13.3,6.4,1.8,12.3,19.9,2014,French-LNB-Pro-B,0
17,Rouen Metropole Basket,44,40.6,73.1,25.8,58.3,0.442,7.8,23.1,0.339,13.8,19.3,0.713,8.3,21.1,29.4,13.7,7.5,1.8,13.7,21.8,2014,French-LNB-Pro-B,0
18,BC Souffelweyersheim,44,40.7,70.6,25.5,57.8,0.441,6.5,20.5,0.319,13.0,19.3,0.675,9.8,23.5,33.3,13.9,7.5,3.6,15.8,22.1,2014,French-LNB-Pro-B,0
