#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,JA Vichy,33,40.4,86.1,30.5,66.4,0.46,8.8,25.2,0.352,16.2,22.7,0.714,10.4,24.0,34.4,18.1,7.8,2.5,14.2,20.7,2023,French-LNB-Pro-B
2,Lille Metropole Basket Clubs,33,40.0,85.8,30.6,61.3,0.499,8.5,22.7,0.372,16.2,21.8,0.741,8.9,25.1,34.0,22.3,6.0,1.9,16.4,21.5,2023,French-LNB-Pro-B
3,Saint Chamond Basket,33,40.1,85.5,30.6,61.9,0.494,10.2,26.6,0.382,14.2,18.8,0.753,7.2,25.6,32.8,23.4,4.9,2.2,14.1,20.8,2023,French-LNB-Pro-B
4,Alliance Sport Alsace,33,40.8,84.8,29.0,62.1,0.468,9.3,27.2,0.341,17.5,22.9,0.763,8.6,23.9,32.5,18.8,8.1,2.9,15.8,21.7,2023,French-LNB-Pro-B
5,Etoile Angers Basket,33,40.1,84.2,29.7,64.6,0.46,8.3,25.8,0.323,16.5,24.4,0.677,11.3,21.7,33.0,20.3,8.4,2.2,15.7,20.9,2023,French-LNB-Pro-B
6,Orleans Loiret Basket,33,39.7,83.2,29.9,61.8,0.484,10.1,27.3,0.37,13.3,17.4,0.763,6.0,21.8,27.8,19.2,7.9,2.5,12.4,20.8,2023,French-LNB-Pro-B
7,Boulazac Basket Dordogne,33,40.0,82.7,27.2,61.3,0.444,9.8,27.7,0.354,18.5,23.9,0.771,8.9,25.3,34.2,18.9,6.9,1.2,15.4,22.7,2023,French-LNB-Pro-B
8,Saint-Vallier,33,40.0,80.8,28.2,62.9,0.448,9.4,27.0,0.349,15.0,19.4,0.773,7.1,23.7,30.7,18.2,6.0,2.8,14.1,20.2,2023,French-LNB-Pro-B
9,Denain ASC Voltaire,33,39.9,80.7,28.2,63.8,0.443,8.0,25.2,0.317,16.2,23.2,0.7,10.2,20.8,31.0,17.3,7.3,2.1,12.9,21.3,2023,French-LNB-Pro-B
10,Chalons-Reims CB,33,39.8,79.8,28.3,61.9,0.457,9.0,25.8,0.348,14.1,19.2,0.734,9.1,22.6,31.7,18.7,6.5,1.9,13.4,20.8,2023,French-LNB-Pro-B
11,Antibes,33,40.0,79.7,28.7,61.2,0.47,6.7,19.5,0.343,15.5,21.5,0.721,9.2,22.9,32.2,18.7,6.7,2.7,14.2,21.5,2023,French-LNB-Pro-B
12,Chalon-Sur-Saone,33,40.1,79.2,27.7,60.5,0.458,9.3,27.1,0.344,14.4,20.4,0.707,9.2,25.2,34.4,17.9,6.3,2.5,13.8,20.5,2023,French-LNB-Pro-B
13,Quimper,33,40.8,78.8,27.6,60.9,0.454,7.7,23.3,0.329,15.9,21.5,0.739,6.8,22.7,29.5,19.0,7.2,1.8,13.5,19.1,2023,French-LNB-Pro-B
14,Saint-Quentin Basketball,33,40.3,78.7,27.5,60.8,0.453,9.8,26.8,0.365,13.8,19.9,0.694,8.5,23.5,31.9,20.2,5.9,1.3,12.5,20.7,2023,French-LNB-Pro-B
15,Aix Maurienne Savoie Basket,33,39.9,77.7,28.7,64.5,0.445,6.3,19.7,0.321,14.0,20.3,0.688,10.7,23.2,33.9,16.8,7.2,1.1,15.2,20.5,2023,French-LNB-Pro-B
16,Union La Rochelle,33,40.3,77.4,26.2,61.3,0.427,7.3,23.7,0.308,17.7,23.4,0.755,7.9,26.8,34.8,15.5,5.5,1.2,14.0,20.6,2023,French-LNB-Pro-B
17,ALM Evreux Basket,33,40.1,77.3,27.8,61.1,0.456,8.4,24.5,0.344,13.2,19.2,0.685,9.3,23.5,32.7,17.1,7.2,2.0,14.9,20.5,2023,French-LNB-Pro-B
18,Hermine Nantes Atlantique,33,40.2,76.9,28.7,64.1,0.447,9.1,26.4,0.344,10.5,14.9,0.705,9.4,22.7,32.0,17.7,6.6,2.1,15.2,22.3,2023,French-LNB-Pro-B
