#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Paris Basketball,6,40.0,88.0,29.0,61.2,0.474,9.0,22.2,0.406,21.0,27.8,0.754,10.0,23.0,33.0,17.0,8.8,4.2,17.2,18.2,2021,French-Leaders-Cup-LNB-B
2,ADA Blois Basket,5,40.0,88.0,31.4,66.4,0.473,10.8,27.8,0.388,14.4,19.2,0.75,13.6,23.0,36.6,23.2,7.6,1.4,17.2,24.0,2021,French-Leaders-Cup-LNB-B
3,JA Vichy,4,41.3,87.8,29.0,66.5,0.436,10.0,29.3,0.342,19.8,26.5,0.745,10.5,20.8,31.3,18.8,9.3,2.0,16.0,24.0,2021,French-Leaders-Cup-LNB-B
4,ALM Evreux Basket,4,40.0,85.3,30.8,64.8,0.475,9.3,24.3,0.381,14.5,17.8,0.817,7.8,19.8,27.5,18.0,10.0,1.5,13.8,21.8,2021,French-Leaders-Cup-LNB-B
5,BC Souffelweyersheim,5,41.0,82.8,29.4,63.0,0.467,8.4,25.4,0.331,15.6,22.0,0.709,9.8,25.6,35.4,19.0,7.8,2.6,13.6,20.8,2021,French-Leaders-Cup-LNB-B
6,Saint Chamond Basket,4,41.3,81.8,28.3,61.5,0.459,8.0,23.0,0.348,17.3,20.8,0.831,7.3,24.3,31.5,23.0,6.0,1.8,16.5,20.5,2021,French-Leaders-Cup-LNB-B
7,Gries Oberhoffen BC,4,40.0,81.8,28.0,63.3,0.443,11.3,28.0,0.402,14.5,22.5,0.644,11.3,23.3,34.5,19.0,4.5,1.8,15.5,22.5,2021,French-Leaders-Cup-LNB-B
8,Nancy Basket,6,40.8,79.3,28.3,63.2,0.449,12.0,32.3,0.371,10.7,16.3,0.653,7.2,23.2,30.3,21.8,9.5,2.0,14.7,20.7,2021,French-Leaders-Cup-LNB-B
9,Fos Sur Mer,7,40.0,78.7,29.7,62.9,0.473,6.6,20.7,0.317,12.7,16.6,0.767,11.1,26.4,37.6,21.3,10.6,3.7,14.6,17.6,2021,French-Leaders-Cup-LNB-B
10,Quimper,7,40.0,77.1,28.4,61.4,0.463,7.3,18.9,0.386,13.0,16.4,0.791,7.7,21.7,29.4,17.0,7.1,1.1,12.9,21.1,2021,French-Leaders-Cup-LNB-B
11,Rouen Metropole Basket,4,40.0,75.8,28.0,62.8,0.446,10.0,25.3,0.396,9.8,17.0,0.574,12.5,23.5,36.0,19.5,6.8,2.0,17.0,19.0,2021,French-Leaders-Cup-LNB-B
12,Hermine Nantes Atlantique,5,40.0,72.4,26.6,58.6,0.454,6.2,21.0,0.295,13.0,19.0,0.684,9.6,23.4,33.0,18.0,8.4,3.2,15.4,20.6,2021,French-Leaders-Cup-LNB-B
13,Denain ASC Voltaire,5,40.0,71.8,27.2,62.2,0.437,6.4,24.8,0.258,11.0,16.2,0.679,9.2,25.8,35.0,15.4,8.2,2.4,16.0,21.0,2021,French-Leaders-Cup-LNB-B
14,Poitiers Basket 86,4,40.0,69.5,22.0,50.0,0.44,8.8,24.3,0.361,16.8,21.3,0.788,6.3,22.5,28.8,13.5,6.0,2.8,20.5,21.5,2021,French-Leaders-Cup-LNB-B
15,Saint-Quentin Basketball,3,40.0,66.3,24.7,61.7,0.4,7.0,23.3,0.3,10.0,15.0,0.667,8.0,23.7,31.7,16.7,5.7,2.3,12.7,17.0,2021,French-Leaders-Cup-LNB-B
16,Aix Maurienne Savoie Basket,4,40.0,65.5,24.5,64.5,0.38,6.8,22.5,0.3,9.8,15.0,0.65,8.8,20.3,29.0,17.0,7.8,0.5,15.3,19.3,2021,French-Leaders-Cup-LNB-B
17,Antibes,4,40.0,64.0,23.3,56.5,0.412,6.5,21.0,0.31,11.0,17.5,0.629,7.3,23.8,31.0,15.0,6.5,5.8,18.0,17.3,2021,French-Leaders-Cup-LNB-B
18,Lille Metropole Basket Clubs,3,40.0,63.3,23.3,59.0,0.395,6.7,22.0,0.303,10.0,16.3,0.612,7.7,25.7,33.3,16.3,9.0,2.7,15.3,17.7,2021,French-Leaders-Cup-LNB-B
