#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,,is_Champion
1,Nancy Basket,9,39,86.3,31.8,62.2,0.511,8.3,21.2,0.393,14.4,19,0.76,8.3,23.7,32,24.4,7.8,3,12.7,18.1,2022,French-Leaders-Cup-LNB-B,,0
2,JA Vichy,5,40.9,78.8,30.4,62.2,0.489,7.8,23.2,0.336,10.2,16.4,0.622,8,24.2,32.2,19,8.4,2.4,15.6,20.6,2022,French-Leaders-Cup-LNB-B,,0
3,ALM Evreux Basket,9,38.9,78.6,28.4,60,0.474,7,22.2,0.315,14.7,20.2,0.725,8.9,23,31.9,20.9,8.1,2.3,13,18.7,2022,French-Leaders-Cup-LNB-B,,1
4,Aix Maurienne Savoie Basket,5,40,77.8,28,62.6,0.447,9,25.8,0.349,12.8,17.6,0.727,9.6,22.6,32.2,14.8,11,0.6,12,17.4,2022,French-Leaders-Cup-LNB-B,,0
5,Chalon-Sur-Saone,5,40,77,28.6,64,0.447,10.8,29,0.372,9,14.8,0.608,9.2,21.4,30.6,18.8,6.6,1.4,13.2,18.6,2022,French-Leaders-Cup-LNB-B,,0
6,ADA Blois Basket,7,39.9,77,28.7,61.6,0.466,8.9,24.6,0.36,10.7,16,0.67,8.9,23.9,32.7,20.4,7.7,2.3,17.1,20.1,2022,French-Leaders-Cup-LNB-B,,0
7,Saint Chamond Basket,4,39.9,76.5,25.8,56.3,0.458,9.5,25.8,0.369,15.5,19.3,0.805,9.3,22.5,31.8,21,8.5,2.5,18.8,23,2022,French-Leaders-Cup-LNB-B,,0
8,Hermine Nantes Atlantique,4,40,76.3,27.8,64.5,0.43,7.5,25,0.3,13.3,17.8,0.746,6.8,26.8,33.5,17.8,6.3,2.3,13.8,21,2022,French-Leaders-Cup-LNB-B,,0
9,Saint-Quentin Basketball,5,39.9,75.2,27.4,60.6,0.452,10.2,27,0.378,10.2,17,0.6,8.6,21.8,30.4,15.8,6,2.4,10.8,22,2022,French-Leaders-Cup-LNB-B,,0
10,Lille Metropole Basket Clubs,4,39.8,75,26,61.5,0.423,5.3,21,0.25,17.8,24.8,0.717,8.8,24.8,33.5,15,7.3,2.8,10.5,18.5,2022,French-Leaders-Cup-LNB-B,,0
11,Quimper,7,40,74.1,28.3,60.7,0.466,6.7,19.6,0.343,10.9,15.7,0.691,8.1,22.9,31,18.7,7,1.3,12.4,18.4,2022,French-Leaders-Cup-LNB-B,,0
12,Boulazac Basket Dordogne,4,41.1,73.3,23.5,56.3,0.418,7.5,24,0.313,18.8,24.3,0.773,6,20.3,26.3,15,7.3,1.5,16,21.3,2022,French-Leaders-Cup-LNB-B,,0
13,Union Tours Metropole Basket,4,39.8,72.3,26.3,64.5,0.407,9.8,30.8,0.317,11.5,16,0.719,6.8,24.3,31,16.8,4.8,2,14.8,19,2022,French-Leaders-Cup-LNB-B,,0
14,Rouen Metropole Basket,4,40,72.3,28.8,62,0.464,7.3,24.3,0.299,7.5,12.3,0.612,7.5,24.5,32,16,6.5,2.3,18.3,18,2022,French-Leaders-Cup-LNB-B,,0
15,Antibes,4,39.9,71,28.5,61,0.467,6,21.5,0.279,8,11.3,0.711,7,23.8,30.8,15,6.8,4.3,15,22,2022,French-Leaders-Cup-LNB-B,,0
16,Denain ASC Voltaire,4,40,70.8,27,61.8,0.437,4.3,19,0.224,12.5,19.3,0.649,10.8,24.8,35.5,14.8,4.8,3.8,14,19,2022,French-Leaders-Cup-LNB-B,,0
17,Saint-Vallier,4,40.2,66.8,24.3,57.5,0.422,5.8,20.8,0.277,12.5,19,0.658,8.8,24,32.8,14,6.3,1.5,18,14,2022,French-Leaders-Cup-LNB-B,,0
18,Alliance Sport Alsace,4,39.8,65.8,26.3,64,0.41,5,20.8,0.241,8.3,12.8,0.647,9.5,20.8,30.3,14.3,8,1.3,15,19,2022,French-Leaders-Cup-LNB-B,,0
