#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Rueil Athletic Club,40,40.5,82.7,30.6,64.9,0.472,8.6,24.1,0.356,12.9,19.2,0.671,10.3,23.4,33.7,19.4,8.1,1.9,15.8,17.8,2017,French-NM1,0
2,Caen Basket Calvados,34,40.4,82.0,30.8,63.6,0.484,7.0,20.1,0.348,13.4,20.2,0.662,8.0,23.6,31.6,20.8,9.1,2.6,13.0,18.9,2017,French-NM1,0
3,Quimper UJAP,42,40.2,80.8,28.5,58.7,0.486,7.9,22.0,0.359,15.9,21.8,0.731,7.0,25.6,32.6,21.3,7.9,2.4,15.9,20.9,2017,French-NM1,0
4,Saint-Vallier,34,40.4,80.1,29.1,63.5,0.459,9.1,25.4,0.356,12.8,17.8,0.719,8.8,24.9,33.6,20.1,6.9,2.5,15.4,22.5,2017,French-NM1,0
5,Vendee Challans Basket,37,40.4,80.1,28.7,60.5,0.474,6.6,20.3,0.328,16.1,22.8,0.703,9.4,23.5,32.9,15.9,7.7,1.6,14.9,20.0,2017,French-NM1,0
6,Union Tarbes Lourdes Pyrennes Basket,39,40.0,79.8,28.9,61.8,0.468,7.8,23.7,0.33,14.1,19.0,0.743,8.2,21.3,29.6,17.7,8.6,1.9,14.4,18.3,2017,French-NM1,1
7,CEP Lorient,34,41.0,79.0,29.0,61.3,0.474,8.1,21.8,0.37,12.9,19.1,0.675,8.1,21.4,29.5,17.0,10.0,1.4,14.5,18.6,2017,French-NM1,0
8,Union Basket Chartres Masculin,37,39.8,79.0,28.6,61.4,0.467,8.2,23.6,0.345,13.5,18.6,0.728,7.6,22.8,30.4,21.2,7.4,1.3,14.8,19.5,2017,French-NM1,0
9,Gries Oberhoffen BC,34,40.1,77.8,29.4,65.3,0.45,6.9,20.4,0.337,12.1,18.0,0.67,10.4,24.8,35.1,17.6,6.8,2.1,15.4,20.1,2017,French-NM1,0
10,BC Souffelweyersheim,42,40.7,77.4,28.6,61.1,0.468,7.0,20.6,0.338,13.2,19.7,0.671,9.9,23.1,33.0,16.4,7.4,2.1,15.4,20.4,2017,French-NM1,0
11,Etoile Angers Basket,34,40.2,76.9,28.9,65.0,0.445,7.0,22.4,0.312,12.2,17.4,0.701,9.6,22.8,32.4,16.2,7.7,1.7,13.3,18.7,2017,French-NM1,0
12,BC Orchies,34,40.3,76.8,27.9,61.1,0.456,6.9,18.7,0.366,14.2,20.4,0.696,8.6,24.4,33.0,18.2,6.5,2.5,13.5,19.6,2017,French-NM1,0
13,Union Rennes Basket,34,40.9,76.3,28.7,65.3,0.439,7.8,24.2,0.324,11.1,16.1,0.691,8.0,22.1,30.1,19.1,10.0,2.9,15.4,21.2,2017,French-NM1,0
14,Sorgues Basket Club,34,40.4,75.5,26.3,59.9,0.439,7.3,22.4,0.326,15.6,20.8,0.752,8.7,23.8,32.5,13.3,7.0,1.6,15.0,18.0,2017,French-NM1,0
15,Andrezieux Boutheon,37,40.0,74.6,27.5,64.6,0.425,6.9,20.9,0.33,12.7,17.5,0.725,11.7,23.0,34.7,17.2,7.3,1.4,15.1,17.1,2017,French-NM1,0
16,GET Vosges,36,40.0,74.4,26.6,64.0,0.415,7.9,25.1,0.315,13.3,18.6,0.714,10.4,23.1,33.5,14.8,8.1,2.8,12.6,19.3,2017,French-NM1,0
17,Aurore de Vitre,34,40.1,70.6,25.9,59.7,0.434,7.5,24.0,0.311,11.4,15.2,0.745,7.2,23.5,30.7,18.5,6.6,1.4,14.4,19.4,2017,French-NM1,0
18,Centre Federal Du Basket-Ball,34,39.9,59.6,21.6,55.7,0.388,6.8,22.7,0.298,9.6,12.7,0.752,7.2,17.6,24.9,13.7,6.8,1.1,21.1,20.8,2017,French-NM1,0
