#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Union Rennes Basket,39,40.0,86.8,31.3,66.7,0.469,9.2,26.3,0.35,15.1,20.6,0.73,8.4,23.4,31.8,23.1,11.2,2.2,15.7,19.9,2023,French-NM1
2,Rouen Metropole Basket,36,39.7,84.6,30.1,66.1,0.455,9.2,25.5,0.359,15.3,21.5,0.714,12.0,23.5,35.5,19.1,9.7,2.4,16.3,24.3,2023,French-NM1
3,Besancon BCD,36,40.1,83.2,29.8,63.6,0.468,9.6,27.1,0.354,14.1,18.7,0.751,8.4,24.8,33.1,19.5,8.9,1.8,17.6,20.3,2023,French-NM1
4,STB Le Havre,38,40.3,83.1,29.0,62.1,0.467,7.3,22.7,0.32,17.8,23.0,0.774,8.4,25.9,34.3,18.3,6.7,3.3,15.5,19.0,2023,French-NM1
5,Union Basket Chartres Masculin,39,40.2,82.9,29.6,61.4,0.482,6.8,19.1,0.355,16.9,22.7,0.746,7.8,25.9,33.7,21.8,8.4,1.4,16.4,21.7,2023,French-NM1
6,Union Tours Metropole Basket,39,40.4,81.1,29.2,61.5,0.475,8.2,23.5,0.349,14.4,20.6,0.7,8.3,25.7,34.0,19.3,6.7,1.8,16.7,20.6,2023,French-NM1
7,BC Orchies,39,40.2,80.7,28.0,61.9,0.453,9.2,26.9,0.342,15.4,20.5,0.753,8.6,23.9,32.6,19.4,7.0,1.2,16.2,18.4,2023,French-NM1
8,Vendee Challans Basket,36,40.3,80.4,28.0,65.0,0.431,9.6,28.8,0.333,14.7,19.5,0.756,10.3,22.4,32.7,17.5,7.8,2.3,15.0,18.6,2023,French-NM1
9,Andrezieux Boutheon,39,39.8,80.0,29.3,62.0,0.472,6.8,21.4,0.318,14.6,20.1,0.728,8.9,22.1,31.0,18.2,8.5,2.4,15.4,18.0,2023,French-NM1
10,CEP Lorient,38,40.3,79.9,27.6,58.2,0.475,9.1,24.0,0.381,15.5,20.5,0.756,7.1,24.8,31.9,20.4,6.9,2.2,16.3,18.5,2023,French-NM1
11,FC Mulhouse Basket,39,40.0,79.7,27.9,63.5,0.44,9.8,27.0,0.361,14.1,19.1,0.738,10.1,22.0,32.1,20.4,8.0,2.8,15.6,17.6,2023,French-NM1
12,Poitiers Basket 86,38,40.0,78.1,27.2,59.6,0.456,8.9,25.9,0.343,14.9,21.4,0.7,9.3,22.6,31.9,18.4,7.7,2.8,15.7,19.9,2023,French-NM1
13,SO Maritime Boulogne,39,40.1,77.7,29.3,64.2,0.457,7.6,23.6,0.324,11.4,17.2,0.66,9.5,25.5,35.0,19.8,7.1,1.3,16.6,19.6,2023,French-NM1
14,Aurore de Vitre,38,39.9,77.6,28.0,58.2,0.481,7.9,22.7,0.347,13.7,17.9,0.767,6.8,20.4,27.2,19.4,8.8,1.1,16.4,21.4,2023,French-NM1
15,Rueil Athletic Club,38,40.6,77.4,27.2,61.9,0.439,8.1,23.9,0.341,14.9,21.1,0.707,8.7,23.7,32.3,18.3,7.7,2.6,16.7,20.1,2023,French-NM1
16,Toulouse Basket Club,39,40.3,77.4,26.8,63.4,0.423,8.2,26.7,0.305,15.6,22.2,0.703,9.7,21.5,31.2,16.4,8.8,1.9,14.9,18.9,2023,French-NM1
17,Caen Basket Calvados,39,40.4,76.5,27.5,63.5,0.433,8.7,26.1,0.332,12.9,18.0,0.718,10.8,23.1,33.8,18.4,8.2,2.2,16.3,20.3,2023,French-NM1
18,AS Loon Plage Basket,39,40.6,76.4,26.2,61.9,0.424,10.0,29.5,0.338,14.0,19.9,0.703,9.8,25.4,35.2,17.5,7.5,1.8,15.6,18.3,2023,French-NM1
19,Union Tarbes Lourdes Pyrennes Basket,34,40.0,76.1,27.5,58.8,0.467,9.1,25.6,0.358,12.0,17.2,0.699,7.1,23.5,30.6,18.1,7.0,1.6,16.3,19.0,2023,French-NM1
