#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Olimpi,30,40.3,87.9,31.5,70.0,0.45,8.7,24.8,0.353,16.1,23.4,0.689,12.4,31.4,43.7,21.4,7.5,2.9,13.7,17.6,2013,Georgian-Super-Liga,0
2,Rustavi,22,40.6,84.3,33.3,76.0,0.438,7.6,24.0,0.319,10.1,16.3,0.623,13.1,27.1,40.3,19.9,10.9,2.0,13.3,19.9,2013,Georgian-Super-Liga,0
3,Mgzavrebi-Armia Tbilisi,27,40.1,82.6,31.4,70.7,0.444,7.7,22.1,0.348,12.1,18.3,0.662,12.2,29.6,41.8,21.1,8.3,3.1,13.1,21.4,2013,Georgian-Super-Liga,0
4,MIA Academy,31,40.1,80.8,29.4,62.5,0.47,6.0,17.0,0.35,16.2,23.0,0.703,11.0,29.1,40.2,19.7,7.2,2.6,14.3,20.2,2013,Georgian-Super-Liga,1
5,Dinamo,23,40.8,78.4,28.5,64.9,0.44,7.3,22.0,0.333,13.8,20.0,0.688,9.3,27.7,37.1,17.5,6.3,2.6,12.8,18.5,2013,Georgian-Super-Liga,0
6,Sokhumi,22,40.4,77.0,27.1,68.0,0.399,7.4,25.7,0.287,15.4,23.2,0.665,13.2,28.7,41.9,15.7,4.8,3.7,15.4,18.5,2013,Georgian-Super-Liga,0
7,Kutaisi,27,40.1,76.5,26.8,60.4,0.444,8.3,24.0,0.348,14.6,21.9,0.665,8.8,25.6,34.4,18.9,7.0,3.0,13.6,18.6,2013,Georgian-Super-Liga,0
8,TSU Hyundai Tbilisi,22,40.2,69.7,27.0,69.1,0.39,5.5,19.9,0.277,10.3,18.3,0.562,11.6,25.4,37.0,17.4,8.3,2.6,16.2,19.9,2013,Georgian-Super-Liga,0
9,Batumi-RSU,20,40.0,69.6,24.1,67.1,0.359,9.0,27.8,0.322,12.5,20.6,0.608,10.9,24.0,34.9,14.3,6.9,3.0,12.6,20.3,2013,Georgian-Super-Liga,0
10,GTU,20,40.1,67.1,24.5,70.0,0.35,6.4,23.8,0.269,11.7,22.3,0.525,13.7,23.6,37.3,13.8,7.8,1.9,17.8,21.1,2013,Georgian-Super-Liga,0
11,Samadicino-Academia,20,40.1,63.4,25.4,75.8,0.335,4.4,18.4,0.239,8.3,15.1,0.546,14.2,25.2,39.4,15.1,7.1,2.9,16.8,22.1,2013,Georgian-Super-Liga,0
