#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Iverioni,2,40.0,90.5,33.5,75.0,0.447,7.0,22.5,0.311,16.5,22.0,0.75,14.0,33.0,47.0,23.5,9.5,6.0,15.0,22.0,2023,Georgian-Super-Liga
2,Rustavi,27,40.4,89.5,34.0,70.2,0.484,8.7,25.7,0.338,12.9,19.3,0.667,9.9,26.0,35.9,22.7,8.1,3.5,13.2,21.4,2023,Georgian-Super-Liga
3,Tbilisi State University,26,40.2,87.7,32.5,69.3,0.469,9.2,27.2,0.339,13.4,19.7,0.683,9.8,27.7,37.5,22.5,7.3,3.7,13.2,20.4,2023,Georgian-Super-Liga
4,Olimpi,25,40.6,86.1,31.9,70.3,0.454,10.2,28.2,0.361,12.2,16.3,0.748,7.8,28.9,36.7,21.9,7.6,3.4,12.3,21.1,2023,Georgian-Super-Liga
5,BC MIA Academy Titebi,22,40.0,86.0,31.6,72.4,0.436,11.7,34.5,0.339,11.1,17.2,0.646,11.2,26.5,37.8,20.2,7.5,2.7,13.3,19.2,2023,Georgian-Super-Liga
6,Gurjanni Delta Tskhum-Abkhazeti,25,40.8,83.5,30.6,69.2,0.442,9.1,26.9,0.337,13.3,22.6,0.588,11.8,26.1,38.0,20.1,8.6,2.8,13.6,21.3,2023,Georgian-Super-Liga
7,Batumi-RSU,24,40.1,83.4,30.2,62.7,0.482,8.0,22.0,0.366,15.0,21.4,0.7,9.2,26.8,36.0,20.2,7.2,2.3,17.0,18.8,2023,Georgian-Super-Liga
8,Kutaisi,20,40.0,82.7,30.2,69.0,0.437,8.7,26.1,0.331,13.8,19.8,0.696,9.6,27.2,36.7,20.4,7.6,2.4,13.9,19.6,2023,Georgian-Super-Liga
9,Kavkasia Tbilisi,26,40.3,82.2,30.2,67.7,0.445,8.7,26.2,0.333,13.2,19.9,0.663,10.7,25.8,36.5,18.5,7.5,2.8,13.6,18.7,2023,Georgian-Super-Liga
10,BC Vera,20,40.5,80.2,30.2,70.9,0.426,8.6,28.5,0.301,11.2,17.4,0.646,8.6,24.9,33.5,17.0,7.8,1.9,14.2,19.1,2023,Georgian-Super-Liga
11,Mega Tbilisi,27,40.7,80.1,30.0,69.0,0.435,7.9,25.7,0.308,12.1,18.9,0.644,10.0,26.3,36.4,19.5,8.5,2.9,13.9,17.6,2023,Georgian-Super-Liga
12,BC Cactus Tbilisi,24,40.2,77.0,28.4,70.5,0.403,8.5,25.8,0.327,11.7,17.8,0.66,13.2,25.7,38.9,15.9,6.5,2.3,12.0,18.8,2023,Georgian-Super-Liga
