#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Bayern Munich,48,40.2,87.4,30.1,63.4,0.474,9.1,25.2,0.36,18.2,24.5,0.743,10.0,23.8,33.8,18.5,5.9,2.8,10.9,21.6,2015,German-BBL,0
2,ALBA Berlin,42,40.3,85.2,29.6,59.8,0.494,7.1,18.8,0.377,19.0,25.5,0.746,10.8,22.0,32.8,18.6,6.4,2.3,12.8,23.7,2015,German-BBL,0
3,Brose Baskets Bamberg,45,40.2,84.7,29.1,57.0,0.511,8.4,20.4,0.411,18.1,22.6,0.799,6.7,24.8,31.4,17.4,5.8,3.9,12.2,22.1,2015,German-BBL,1
4,Telekom Baskets Bonn,39,40.7,83.9,28.4,59.3,0.479,8.5,23.4,0.362,18.5,24.4,0.761,7.9,21.8,29.8,18.7,6.2,1.8,13.5,21.6,2015,German-BBL,0
5,Ratiopharm Ulm,42,40.1,82.9,27.4,58.7,0.468,8.4,22.8,0.368,19.6,24.6,0.797,7.9,21.9,29.8,15.2,6.0,2.5,13.0,20.5,2015,German-BBL,0
6,EWE Baskets Oldenburg,37,40.1,80.9,28.2,62.3,0.453,8.6,23.5,0.367,15.8,19.5,0.812,9.2,21.7,30.9,16.4,4.6,2.1,12.6,22.1,2015,German-BBL,0
7,BG Goettingen,34,40.1,80.7,29.1,63.3,0.461,7.9,23.9,0.329,14.6,18.3,0.795,8.3,20.8,29.1,17.1,6.2,1.7,13.6,22.4,2015,German-BBL,0
8,Artland Dragons,34,40.2,80.7,29.1,60.7,0.48,9.7,24.6,0.393,12.6,17.4,0.726,8.1,21.2,29.3,19.1,5.5,3.0,13.1,22.6,2015,German-BBL,0
9,Phoenix Hagen,33,40.2,80.6,29.4,65.3,0.45,7.5,22.6,0.334,14.2,20.0,0.712,7.7,21.8,29.5,15.3,8.2,3.0,14.1,21.8,2015,German-BBL,0
10,Walter Tigers Tubingen,34,40.0,80.3,28.2,62.4,0.452,7.9,22.1,0.355,15.9,21.1,0.754,8.7,23.4,32.1,18.0,5.7,2.3,14.2,23.8,2015,German-BBL,0
11,MHP Riesen,37,40.2,80.2,27.6,61.9,0.445,6.4,19.2,0.331,18.8,25.1,0.748,10.2,22.3,32.5,13.7,6.8,1.5,12.5,24.5,2015,German-BBL,0
12,HARKO Merlins Crailsheim,33,40.0,77.8,27.8,61.9,0.448,6.5,19.1,0.342,15.8,22.2,0.711,9.4,20.7,30.0,16.0,6.5,2.7,14.1,19.7,2015,German-BBL,0
13,Fraport Skyliners,38,40.6,77.2,26.8,58.8,0.455,8.2,23.0,0.354,15.5,20.8,0.745,8.4,21.8,30.2,17.3,5.5,2.5,14.1,22.4,2015,German-BBL,0
14,Eisbaren Bremerhaven,34,40.1,77.1,27.4,61.4,0.446,7.8,21.2,0.368,14.5,19.5,0.744,9.8,21.0,30.8,15.9,6.1,2.4,14.7,23.7,2015,German-BBL,0
15,Basketball Lowen Braunschweig,34,40.4,77.0,27.9,59.5,0.469,6.2,17.6,0.351,15.0,20.0,0.751,8.2,23.6,31.8,16.8,6.4,1.6,13.6,21.0,2015,German-BBL,0
16,Mitteldeutscher BC,34,40.5,75.2,25.6,60.9,0.421,9.4,27.9,0.336,14.6,20.6,0.708,8.5,21.6,30.1,15.7,5.9,2.5,11.9,20.8,2015,German-BBL,0
17,Medi Bayreuth,34,40.0,74.5,26.4,58.2,0.453,7.0,20.2,0.344,14.8,20.4,0.727,7.9,19.1,27.1,13.6,6.3,2.1,12.1,22.4,2015,German-BBL,0
18,Gladiators Trier,34,40.0,71.9,24.6,55.9,0.441,7.3,20.9,0.35,15.3,20.9,0.732,6.5,21.9,28.4,12.4,4.6,2.4,13.5,21.1,2015,German-BBL,0
