#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Telekom Baskets Bonn,33,39.9,89.4,32.4,65.4,0.496,10.3,28.8,0.358,14.3,19.2,0.744,11.1,23.2,34.4,19.8,7.8,2.7,12.9,21.8,2023,German-BBL
2,Ratiopharm Ulm,34,40.6,89.1,30.7,65.6,0.468,11.5,32.3,0.357,16.1,21.7,0.74,9.8,22.8,32.6,18.7,8.3,3.2,13.7,19.9,2023,German-BBL
3,ALBA Berlin,34,40.0,88.3,31.2,62.0,0.503,10.5,27.4,0.383,15.4,20.4,0.759,9.3,25.2,34.5,21.9,7.3,3.4,14.9,16.4,2023,German-BBL
4,Brose Baskets Bamberg,34,40.3,88.1,31.1,64.9,0.479,10.6,28.5,0.374,15.2,18.7,0.813,9.1,22.0,31.1,19.1,6.1,1.6,12.6,23.1,2023,German-BBL
5,MLP Academics Heidelberg,34,40.5,87.5,30.1,64.6,0.467,10.7,31.1,0.344,16.5,20.5,0.805,8.9,21.3,30.2,16.5,5.7,2.4,13.3,20.5,2023,German-BBL
6,MHP Riesen,34,40.1,87.0,30.0,68.1,0.44,10.7,32.0,0.335,16.3,21.9,0.747,10.1,21.5,31.6,17.6,6.9,2.1,12.2,22.8,2023,German-BBL
7,EWE Baskets Oldenburg,34,40.2,86.4,30.1,66.0,0.456,9.3,28.1,0.332,16.9,21.6,0.785,11.1,21.7,32.8,18.3,7.7,1.6,12.7,23.5,2023,German-BBL
8,BG Goettingen,34,40.4,85.4,29.3,63.0,0.466,9.7,27.4,0.356,17.0,20.5,0.827,8.4,21.2,29.6,16.6,5.7,1.5,12.9,23.0,2023,German-BBL
9,Mitteldeutscher BC,33,40.7,85.1,30.8,65.6,0.469,9.3,26.2,0.354,14.2,18.5,0.77,8.6,21.7,30.3,17.4,8.1,2.2,13.3,21.9,2023,German-BBL
10,HARKO Merlins Crailsheim,34,39.9,84.7,29.7,63.1,0.471,10.7,28.9,0.369,14.6,19.0,0.768,7.8,22.5,30.3,17.3,6.4,2.8,13.0,22.7,2023,German-BBL
11,Rostock Seawolves,34,40.4,84.0,28.4,62.2,0.457,9.3,25.5,0.365,17.9,23.1,0.776,7.8,23.4,31.2,17.8,6.8,3.2,14.6,19.3,2023,German-BBL
12,BV Chemnitz 99,34,39.9,83.6,28.6,61.9,0.462,9.9,29.4,0.336,16.6,21.8,0.762,8.9,22.1,31.0,21.0,6.8,1.7,13.9,21.8,2023,German-BBL
13,Medi Bayreuth,34,40.6,82.5,27.7,61.0,0.455,10.8,28.5,0.378,16.3,22.1,0.737,8.9,20.8,29.8,17.3,6.9,2.5,14.3,20.5,2023,German-BBL
14,Bayern Munich,34,40.0,81.8,28.4,61.1,0.465,9.7,27.1,0.359,15.3,19.8,0.771,9.8,23.4,33.2,16.3,6.9,2.4,13.0,19.7,2023,German-BBL
15,s.Oliver Baskets,34,40.6,80.9,29.8,62.9,0.473,7.7,20.9,0.368,13.7,18.9,0.725,9.3,19.8,29.1,14.2,9.1,2.6,13.0,20.7,2023,German-BBL
16,Hamburg Towers,34,40.1,80.9,29.2,62.9,0.464,7.8,23.1,0.335,14.7,21.6,0.681,9.8,22.1,31.9,18.1,6.9,1.8,15.9,21.8,2023,German-BBL
17,Fraport Skyliners,34,40.1,80.2,28.5,62.1,0.458,10.6,28.9,0.368,12.6,16.7,0.755,7.1,20.7,27.9,17.4,6.2,2.6,13.2,20.3,2023,German-BBL
18,Basketball Lowen Braunschweig,34,40.3,80.1,28.9,63.5,0.455,8.6,26.9,0.319,13.9,19.0,0.732,10.5,21.0,31.5,16.5,7.0,2.8,14.5,22.5,2023,German-BBL
