#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,MHP Riesen,1,40.0,87.0,26.0,64.0,0.406,14.0,38.0,0.368,21.0,29.0,0.724,9.0,19.0,28.0,14.0,9.0,1.0,12.0,21.0,2020,German-Cup
2,ALBA Berlin,4,40.0,86.3,30.5,64.5,0.473,9.3,26.5,0.349,16.0,19.8,0.81,10.5,23.0,33.5,20.5,8.5,2.8,12.5,14.3,2020,German-Cup
3,Mitteldeutscher BC,2,40.0,84.0,30.0,62.5,0.48,13.0,29.5,0.441,11.0,14.0,0.786,8.5,25.0,33.5,22.0,6.0,4.5,15.0,23.0,2020,German-Cup
4,Bayern Munich,1,40.0,84.0,32.0,60.0,0.533,12.0,27.0,0.444,8.0,11.0,0.727,11.0,12.0,23.0,13.0,7.0,4.0,18.0,24.0,2020,German-Cup
5,Ratiopharm Ulm,3,40.0,83.3,27.7,60.0,0.461,10.0,26.7,0.375,18.0,21.0,0.857,7.3,23.3,30.7,22.3,8.7,5.3,14.0,16.7,2020,German-Cup
6,Telekom Baskets Bonn,2,40.0,83.0,28.5,63.5,0.449,9.5,25.0,0.38,16.5,24.5,0.673,9.0,15.5,24.5,16.5,11.0,0.5,12.0,20.5,2020,German-Cup
7,EWE Baskets Oldenburg,4,40.0,81.3,29.3,63.3,0.462,9.8,24.8,0.394,13.0,18.5,0.703,11.3,24.3,35.5,18.0,6.3,2.5,15.3,22.5,2020,German-Cup
8,s.Oliver Baskets,1,40.0,81.0,30.0,69.0,0.435,11.0,27.0,0.407,10.0,11.0,0.909,10.0,21.0,31.0,20.0,10.0,2.0,15.0,19.0,2020,German-Cup
9,Basketball Lowen Braunschweig,2,40.0,79.5,27.0,57.5,0.47,10.0,26.5,0.377,15.5,19.5,0.795,6.0,27.0,33.0,14.5,5.5,1.5,17.0,23.0,2020,German-Cup
10,BG Goettingen,2,40.0,79.5,25.5,60.5,0.421,9.5,28.5,0.333,19.0,25.5,0.745,12.0,18.5,30.5,15.0,3.5,1.0,13.0,23.0,2020,German-Cup
11,Medi Bayreuth,1,40.0,79.0,27.0,67.0,0.403,9.0,24.0,0.375,16.0,18.0,0.889,16.0,18.0,34.0,19.0,2.0,2.0,10.0,21.0,2020,German-Cup
12,HARKO Merlins Crailsheim,1,40.0,75.0,27.0,66.0,0.409,11.0,35.0,0.314,10.0,14.0,0.714,8.0,17.0,25.0,16.0,5.0,0.0,9.0,24.0,2020,German-Cup
13,Fraport Skyliners,1,40.0,74.0,28.0,60.0,0.467,4.0,21.0,0.19,14.0,17.0,0.824,9.0,18.0,27.0,12.0,5.0,1.0,12.0,30.0,2020,German-Cup
14,Brose Baskets Bamberg,3,40.0,72.7,26.7,61.7,0.432,7.3,25.0,0.293,12.0,14.0,0.857,9.0,22.0,31.0,19.0,6.3,2.7,13.3,18.0,2020,German-Cup
15,SC Rasta Vechta,1,40.0,71.0,26.0,65.0,0.4,9.0,27.0,0.333,10.0,15.0,0.667,13.0,23.0,36.0,18.0,11.0,0.0,22.0,19.0,2020,German-Cup
16,Giessen 46ers,1,40.0,66.0,24.0,57.0,0.421,6.0,18.0,0.333,12.0,16.0,0.75,6.0,16.0,22.0,11.0,6.0,6.0,11.0,16.0,2020,German-Cup
