#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Bayern Munich,2,39.9,89,31,60,0.517,14.5,26,0.558,12.5,17.5,0.714,7.5,17,24.5,19,7.5,2,11,20,2022,German-Cup,0
2,s.Oliver Baskets,2,40,88,35,71,0.493,9,27.5,0.327,9,17.5,0.514,14,24.5,38.5,24,8,1.5,12,21.5,2022,German-Cup,0
3,ALBA Berlin,4,41.3,86,29,63,0.46,9.8,29,0.336,18.3,24.8,0.737,10.3,27.3,37.5,19.8,7.3,3.5,11.3,17.3,2022,German-Cup,1
4,Ratiopharm Ulm,1,40,85,25,64,0.391,6,24,0.25,29,35,0.829,14,23,37,17,6,0,12,22,2022,German-Cup,0
5,Basketball Lowen Braunschweig,3,40,84.7,30.3,64,0.474,8,23.3,0.343,16,20.7,0.774,10.3,29,39.3,20.7,5.3,2.7,13.7,21.3,2022,German-Cup,0
6,BV Chemnitz 99,3,40,84.3,29.7,59.7,0.497,10,27.7,0.361,15,18.3,0.818,8,24.3,32.3,17,5.7,3,12.7,25.3,2022,German-Cup,0
7,Hamburg Towers,1,40,84,28,65,0.431,12,34,0.353,16,19,0.842,10,17,27,19,10,1,13,23,2022,German-Cup,0
8,Telekom Baskets Bonn,1,45,80,30,74,0.405,10,28,0.357,10,18,0.556,9,21,30,17,8,2,7,21,2022,German-Cup,0
9,Mitteldeutscher BC,1,40,78,25,63,0.397,8,26,0.308,20,23,0.87,11,16,27,15,4,0,13,21,2022,German-Cup,0
10,HARKO Merlins Crailsheim,4,41.3,77,27.3,66,0.413,8.5,26.5,0.321,14,19.3,0.727,8.3,25.3,33.5,13.5,7.8,2.5,10.8,21.8,2022,German-Cup,0
11,Brose Baskets Bamberg,1,40,77,26,53,0.491,8,22,0.364,17,22,0.773,5,16,21,18,5,2,17,16,2022,German-Cup,0
12,BG Goettingen,1,40,77,28,68,0.412,9,31,0.29,12,12,1,7,19,26,16,7,5,12,25,2022,German-Cup,0
13,Medi Bayreuth,2,40,75,24.5,57.5,0.426,9.5,21.5,0.442,16.5,19.5,0.846,8,20,28,17,4,1,16,23,2022,German-Cup,0
14,Fraport Skyliners,2,40,70,22,57.5,0.383,5.5,26,0.212,20.5,26,0.788,9,24.5,33.5,17.5,6.5,2,12.5,19,2022,German-Cup,0
15,EWE Baskets Oldenburg,1,40,67,23,62,0.371,8,24,0.333,13,17,0.765,7,17,24,15,10,3,10,24,2022,German-Cup,0
16,MHP Riesen,1,45,63,19,73,0.26,3,22,0.136,22,26,0.846,16,38,54,11,6,6,13,24,2022,German-Cup,0
