#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Telekom Baskets Bonn,1,40.0,95.0,37.0,69.0,0.536,10.0,25.0,0.4,11.0,13.0,0.846,7.0,19.0,26.0,15.0,6.0,1.0,11.0,27.0
2,ALBA Berlin,3,40.0,91.3,29.3,57.0,0.515,9.3,25.7,0.364,23.3,31.0,0.753,10.0,21.3,31.3,22.0,6.7,2.3,15.7,19.0
3,MHP Riesen,3,40.0,91.0,30.7,66.3,0.462,13.0,31.3,0.415,16.7,24.3,0.685,9.7,24.3,34.0,17.7,8.3,2.0,13.7,17.7
4,s.Oliver Baskets,1,40.0,87.0,31.0,64.0,0.484,6.0,28.0,0.214,19.0,25.0,0.76,11.0,18.0,29.0,13.0,10.0,6.0,15.0,27.0
5,EWE Baskets Oldenburg,4,40.0,86.5,30.3,65.0,0.465,10.8,28.3,0.381,15.3,19.3,0.792,11.0,21.3,32.3,18.3,5.8,2.3,13.0,20.8
6,Hamburg Towers,1,40.0,86.0,31.0,70.0,0.443,11.0,28.0,0.393,13.0,24.0,0.542,14.0,27.0,41.0,23.0,8.0,3.0,21.0,28.0
7,Bayern Munich,4,40.0,84.5,28.8,58.3,0.494,11.3,29.3,0.385,15.8,18.8,0.84,7.5,21.5,29.0,14.5,8.8,2.0,13.5,20.0
8,MLP Academics Heidelberg,2,42.5,84.0,25.5,67.0,0.381,13.5,39.5,0.342,19.5,24.5,0.796,7.5,23.0,30.5,15.0,8.5,1.5,12.0,23.0
9,Basketball Lowen Braunschweig,1,45.0,84.0,30.0,70.0,0.429,7.0,27.0,0.259,17.0,29.0,0.586,12.0,36.0,48.0,20.0,5.0,3.0,19.0,27.0
10,Ratiopharm Ulm,1,40.0,82.0,32.0,65.0,0.492,5.0,26.0,0.192,13.0,18.0,0.722,8.0,22.0,30.0,15.0,14.0,1.0,19.0,22.0
11,BG Goettingen,2,39.5,78.5,24.5,58.5,0.419,8.0,25.5,0.314,21.5,27.0,0.796,6.5,18.5,25.0,17.5,9.5,0.0,18.0,26.0
12,HARKO Merlins Crailsheim,2,40.0,77.5,29.0,65.0,0.446,8.5,32.0,0.266,11.0,13.0,0.846,6.5,22.5,29.0,14.0,6.5,0.0,14.5,21.0
13,BV Chemnitz 99,1,40.0,72.0,26.0,54.0,0.481,11.0,32.0,0.344,9.0,17.0,0.529,6.0,24.0,30.0,21.0,6.0,3.0,22.0,20.0
14,Medi Bayreuth,2,39.5,69.0,23.5,60.0,0.392,7.0,25.0,0.28,15.0,20.0,0.75,8.5,15.5,24.0,9.5,7.5,1.0,12.0,19.0
15,Mitteldeutscher BC,1,40.0,69.0,25.0,55.0,0.455,3.0,18.0,0.167,16.0,21.0,0.762,10.0,23.0,33.0,16.0,6.0,2.0,18.0,23.0
16,Brose Baskets Bamberg,1,40.0,68.0,22.0,51.0,0.431,9.0,22.0,0.409,15.0,18.0,0.833,9.0,20.0,29.0,11.0,4.0,2.0,18.0,18.0
