#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,SC Rasta Vechta,38,40.1,83.1,29.0,63.1,0.46,6.4,18.9,0.342,18.6,25.8,0.719,0.3,34.1,34.3,18.1,9.1,2.7,13.5,22.8,2016,German-Pro-A
2,Science City Jena,38,40.0,76.2,26.6,60.4,0.439,7.6,23.7,0.321,15.6,21.9,0.709,0.2,28.3,28.5,19.7,10.4,2.5,14.5,23.3,2016,German-Pro-A
3,VfL Kirchheim Knights,33,40.4,75.2,27.1,61.5,0.441,6.5,19.9,0.324,14.5,21.4,0.678,0.2,31.4,31.5,18.9,8.5,2.8,14.8,21.7,2016,German-Pro-A
4,BiG Oettinger Rockets Gotha,38,40.4,74.3,26.8,58.2,0.461,7.1,20.6,0.344,13.6,20.3,0.669,0.0,28.1,28.1,16.1,5.0,2.7,13.6,20.1,2016,German-Pro-A
5,Nurnberg Falcons BC,33,39.9,73.0,25.2,57.4,0.439,6.6,20.9,0.317,16.0,21.2,0.757,0.0,29.5,29.5,15.7,6.5,2.4,16.4,21.3,2016,German-Pro-A
6,Hamburg Towers,35,39.9,72.0,24.9,60.2,0.414,7.1,22.9,0.311,15.0,20.7,0.725,0.2,30.6,30.8,14.0,6.7,2.3,15.5,23.1,2016,German-Pro-A
7,BV Chemnitz 99,33,39.9,71.9,24.7,56.9,0.434,7.5,21.8,0.343,15.0,21.6,0.697,0.5,33.9,34.4,18.9,6.0,2.8,17.7,21.7,2016,German-Pro-A
8,Gladiators Trier,36,39.9,71.7,25.1,60.1,0.418,7.3,22.8,0.32,14.2,21.2,0.672,0.0,31.1,31.1,15.2,5.9,2.7,15.3,22.3,2016,German-Pro-A
9,Hebeisen White Wings Hanau,30,40.1,70.4,23.7,59.6,0.398,6.4,21.2,0.302,16.6,23.8,0.698,0.1,35.0,35.1,15.6,5.9,1.8,15.4,21.2,2016,German-Pro-A
10,Baunach Young Pikes,30,40.6,70.0,23.6,56.2,0.42,7.7,23.8,0.323,15.2,22.9,0.663,0.0,33.3,33.3,15.5,5.9,2.1,15.7,21.0,2016,German-Pro-A
11,Uni Baskets Paderborn,30,40.1,69.8,24.9,60.6,0.41,5.9,20.4,0.289,14.2,22.6,0.628,0.5,32.5,33.0,17.3,8.5,3.0,15.1,22.0,2016,German-Pro-A
12,ETB Wohnbau Baskets Essen,30,40.2,69.7,24.5,59.1,0.415,6.4,20.5,0.313,14.3,19.5,0.732,0.5,30.5,31.0,17.9,5.9,1.5,15.9,22.8,2016,German-Pro-A
13,Rhein Stars Koeln,30,39.8,69.2,24.1,58.5,0.412,7.1,21.8,0.324,14.0,21.3,0.657,0.2,31.6,31.8,14.2,6.6,2.6,14.6,19.7,2016,German-Pro-A
14,MLP Academics Heidelberg,30,40.5,69.0,25.8,60.7,0.425,5.6,18.2,0.31,11.8,17.9,0.657,0.2,31.8,32.0,16.9,7.2,3.0,14.7,20.8,2016,German-Pro-A
15,Bayer Giants Leverkusen,30,40.1,68.1,23.5,60.7,0.387,6.5,22.9,0.285,14.6,22.8,0.639,0.0,33.0,33.0,14.3,6.6,3.2,15.1,19.2,2016,German-Pro-A
16,Dragons Rhoendorf,30,40.0,67.9,24.6,61.2,0.402,6.7,22.3,0.301,12.0,18.6,0.645,0.0,29.5,29.5,15.0,7.1,2.4,18.5,22.2,2016,German-Pro-A
