#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Dresden Titans,29,39.8,84.9,31.6,68.8,0.459,7.1,22.4,0.315,14.7,21.1,0.698,0.2,28.5,28.7,17.4,7.5,2.5,13.7,22.3,2016,German-Pro-B,0
2,Scanplus Baskets Elchingen,25,39.7,82.2,30.6,66.5,0.46,5.6,18.0,0.309,15.4,23.2,0.663,0.2,32.9,33.1,16.4,9.6,2.0,15.8,25.3,2016,German-Pro-B,0
3,Orange Academy Ratiopharm,28,40.4,81.2,28.5,64.4,0.442,8.1,24.5,0.333,16.1,23.6,0.685,0.3,30.8,31.1,18.5,8.3,2.7,15.3,21.3,2016,German-Pro-B,0
4,BG Karlsruhe,26,40.1,80.6,28.8,64.2,0.449,8.1,24.6,0.33,14.9,22.7,0.655,0.7,34.3,35.0,14.6,7.3,2.4,15.3,18.0,2016,German-Pro-B,0
5,Erdgas Ehingen,30,40.0,79.9,29.5,63.6,0.464,6.3,21.4,0.296,14.6,21.0,0.694,0.0,29.1,29.1,19.2,7.0,2.1,12.1,20.0,2016,German-Pro-B,1
6,Fraport Skyliners Juniors,31,39.8,79.3,27.1,62.7,0.432,9.6,28.2,0.34,15.5,20.8,0.745,0.0,24.5,24.5,18.3,6.7,1.7,14.9,20.2,2016,German-Pro-B,0
7,Hertener Loewen Basketball,22,40.3,78.0,28.0,64.9,0.431,7.1,24.3,0.294,15.0,22.9,0.656,0.0,33.4,33.5,13.7,7.9,1.2,16.0,18.5,2016,German-Pro-B,0
8,Uni-Riesen Leipzig,24,39.9,77.5,27.9,61.0,0.458,5.0,18.1,0.279,16.6,25.3,0.656,0.2,33.5,33.7,17.4,7.2,2.2,16.5,19.3,2016,German-Pro-B,0
9,Rostock Seawolves,25,40.3,77.2,28.5,63.5,0.449,5.4,18.0,0.302,14.7,22.0,0.667,0.5,34.4,34.9,14.3,7.2,2.2,15.6,18.8,2016,German-Pro-B,0
10,Giants TSV 1861 Noerdlingen,29,40.5,76.7,26.4,64.6,0.409,7.3,25.2,0.29,16.4,22.0,0.748,0.2,27.7,27.9,16.0,9.4,3.9,14.1,19.5,2016,German-Pro-B,0
11,Licher Basket Baeren,21,40.0,76.3,27.1,67.1,0.404,7.7,25.2,0.304,14.4,22.0,0.654,0.0,34.6,34.6,15.1,9.3,2.3,14.8,21.2,2016,German-Pro-B,0
12,SC Itzehoe Eagles,24,40.4,75.8,26.5,65.5,0.405,6.7,22.1,0.304,16.0,25.5,0.626,0.2,35.7,35.9,14.8,8.1,2.6,14.8,22.1,2016,German-Pro-B,0
13,VFL Astrostars Bochum,24,40.4,75.3,27.8,62.1,0.448,5.8,18.8,0.306,13.9,19.8,0.703,0.4,35.5,35.9,19.4,6.0,3.2,15.8,19.3,2016,German-Pro-B,0
14,Noma Iserlohn Kangaroos,26,39.6,74.5,27.1,61.2,0.443,6.8,22.4,0.304,13.7,21.2,0.643,0.0,30.6,30.6,15.8,8.1,2.6,15.3,21.0,2016,German-Pro-B,0
15,EN Baskets Schwelm,22,40.2,74.4,25.9,59.7,0.433,6.3,19.4,0.324,16.4,23.0,0.713,0.3,30.0,30.3,15.2,8.0,1.5,16.2,25.1,2016,German-Pro-B,0
16,BIS Baskets Speyer,22,40.4,73.8,26.0,64.3,0.404,7.2,24.6,0.293,14.5,21.6,0.674,0.6,34.4,35.0,15.7,6.7,4.0,16.5,19.9,2016,German-Pro-B,0
17,TV 1872 Saarlouis,22,40.0,73.7,28.5,60.2,0.474,3.9,13.0,0.298,12.8,18.8,0.683,0.8,31.0,31.7,16.1,6.8,3.0,16.8,19.7,2016,German-Pro-B,0
18,MTV Herzoege Wolfenbuettel,25,40.4,73.0,25.3,60.0,0.422,7.6,23.4,0.324,14.8,22.4,0.663,0.2,33.7,33.9,16.7,7.3,2.4,14.6,20.7,2016,German-Pro-B,0
19,City Basket Recklinghausen,24,40.0,72.9,25.2,65.6,0.384,8.1,25.2,0.323,14.4,21.6,0.668,0.0,36.3,36.3,12.3,6.6,2.0,14.5,22.6,2016,German-Pro-B,0
20,TG s.Oliver Wurzburg,22,40.0,72.7,27.0,62.4,0.433,6.2,21.1,0.295,12.4,20.4,0.608,0.1,35.7,35.8,15.9,8.0,2.0,19.0,24.2,2016,German-Pro-B,0
21,Baskets Akad.Weser-Ems/Oldenburger TB,25,40.1,68.6,24.0,58.3,0.411,6.7,21.3,0.316,14.0,20.6,0.681,0.0,32.2,32.2,13.8,7.7,2.4,17.5,18.4,2016,German-Pro-B,0
22,Artland Dragons,24,40.1,68.1,25.6,59.3,0.431,7.5,23.6,0.319,9.4,14.5,0.647,0.0,32.9,32.9,14.3,7.4,3.4,16.3,22.3,2016,German-Pro-B,0
23,SC Rist Wedel,22,39.9,67.8,24.1,59.0,0.408,6.1,20.0,0.304,13.5,20.8,0.648,0.8,33.2,34.0,13.1,6.7,2.7,18.0,21.0,2016,German-Pro-B,0
24,TKS 49ers RSV Eintracht Stahnsdorf,22,40.1,65.9,23.1,57.1,0.405,5.4,20.0,0.269,14.2,23.5,0.604,0.1,32.7,32.8,13.7,7.6,1.4,18.2,21.0,2016,German-Pro-B,0
