#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,SG Luetzel-Post Koblnez,30,39.9,91.5,31.9,67.0,0.476,9.0,25.4,0.353,18.7,25.4,0.737,11.6,24.8,36.4,21.0,10.8,2.3,13.4,18.4,2023,German-Pro-B
2,SSV lok Bernau Alba,28,40.0,87.1,31.1,69.1,0.45,8.0,27.5,0.293,16.8,24.0,0.698,13.1,25.9,39.0,19.3,10.8,2.6,15.7,19.7,2023,German-Pro-B
3,SBB Baskets Wolmirstedt,29,40.2,87.0,31.1,67.2,0.463,8.9,27.5,0.325,15.9,21.7,0.731,11.1,26.6,37.7,18.1,6.6,2.0,14.6,22.3,2023,German-Pro-B
4,Dragons Rhoendorf,26,40.8,86.8,30.8,64.5,0.477,10.2,28.5,0.356,15.2,22.4,0.676,9.1,24.0,33.2,19.6,7.0,1.9,15.3,19.5,2023,German-Pro-B
5,Hebeisen White Wings Hanau,24,40.4,86.5,28.8,63.2,0.455,8.2,24.9,0.328,20.9,29.8,0.7,9.3,27.4,36.8,16.1,8.6,2.5,17.3,17.3,2023,German-Pro-B
6,BSW Sixers,28,40.0,84.5,29.1,63.2,0.46,8.1,24.2,0.333,18.3,25.0,0.734,8.4,24.9,33.3,18.1,10.3,2.0,13.4,19.1,2023,German-Pro-B
7,BBC Coburg,26,40.3,84.3,29.7,66.0,0.45,8.8,27.5,0.321,16.0,21.2,0.754,8.7,21.5,30.2,15.6,9.6,1.6,15.5,21.1,2023,German-Pro-B
8,Orange Academy Ratiopharm,24,39.7,82.7,29.1,65.1,0.447,9.4,28.8,0.327,15.0,21.5,0.699,10.9,23.8,34.7,17.3,9.1,2.0,18.8,20.3,2023,German-Pro-B
9,Baskethall Loewen Erfurt,29,40.3,82.0,28.3,62.3,0.454,9.0,26.1,0.344,16.4,21.5,0.763,9.2,23.6,32.7,17.1,7.4,2.0,15.7,19.8,2023,German-Pro-B
10,Rhein Stars Koeln,27,40.2,81.9,30.8,68.7,0.449,8.1,25.6,0.315,12.1,17.0,0.713,9.5,22.3,31.8,15.4,9.1,2.1,14.0,22.4,2023,German-Pro-B
11,SC Rasta Vechta Farmteam,27,40.4,81.8,27.9,66.1,0.422,10.6,34.2,0.311,15.5,22.5,0.689,10.7,27.3,38.0,17.4,7.6,5.9,16.1,19.3,2023,German-Pro-B
12,BIS Baskets Speyer,26,40.6,81.7,28.8,65.5,0.44,7.2,24.5,0.294,16.8,22.6,0.743,9.8,23.9,33.7,15.7,7.5,4.2,17.5,17.5,2023,German-Pro-B
13,EN Baskets Schwelm,27,40.0,81.2,29.7,66.5,0.447,10.4,29.0,0.359,11.3,17.4,0.65,10.6,21.8,32.4,18.9,7.0,1.3,15.7,21.9,2023,German-Pro-B
14,SC Itzehoe Eagles,27,40.2,81.2,28.9,65.9,0.439,8.7,26.0,0.333,14.7,19.8,0.74,9.4,25.2,34.6,16.5,7.1,2.9,13.6,19.3,2023,German-Pro-B
15,Noma Iserlohn Kangaroos,24,40.2,81.0,28.5,64.2,0.445,9.3,27.3,0.34,14.6,20.9,0.699,9.2,23.1,32.3,17.8,8.1,2.1,14.8,22.4,2023,German-Pro-B
16,SC Rist Wedel,24,40.8,79.8,28.3,63.9,0.443,8.7,26.8,0.326,14.4,23.3,0.619,10.0,23.4,33.3,15.4,6.1,2.6,18.0,18.1,2023,German-Pro-B
17,BG Hessing Leitershofen,24,40.2,79.2,29.0,63.7,0.455,7.3,24.6,0.297,14.0,20.1,0.697,10.1,24.9,35.0,16.3,9.5,2.4,18.3,22.2,2023,German-Pro-B
18,TSV Oberhanching Tropics,26,40.0,78.3,27.7,66.6,0.415,7.5,24.7,0.303,15.5,20.8,0.744,10.7,25.6,36.3,12.3,8.5,2.1,17.0,21.6,2023,German-Pro-B
19,Erdgas Ehingen,26,39.9,77.2,27.5,63.8,0.431,8.3,27.1,0.305,14.0,20.0,0.697,10.7,22.7,33.4,19.0,9.5,3.4,18.8,20.5,2023,German-Pro-B
20,KIT SC Karlsruhe ACW,24,39.8,77.0,27.7,64.4,0.429,9.7,30.4,0.319,11.9,17.7,0.673,7.6,23.9,31.5,16.2,6.9,1.2,14.6,19.9,2023,German-Pro-B
21,BBG Herford,24,40.2,76.2,27.3,64.3,0.424,7.8,26.1,0.297,13.9,20.8,0.669,9.4,22.2,31.5,15.8,7.2,1.7,16.6,19.7,2023,German-Pro-B
22,Fraport Skyliners Juniors,29,40.0,76.1,27.1,62.2,0.436,9.1,29.1,0.312,12.7,18.9,0.675,10.2,23.9,34.1,17.2,8.4,1.5,17.4,18.7,2023,German-Pro-B
23,Porsche BBA,24,40.0,74.2,26.3,65.6,0.401,8.4,28.9,0.291,13.2,20.4,0.645,10.9,23.0,33.9,16.1,11.1,2.6,18.8,20.6,2023,German-Pro-B
24,Roth Energie Giessen Pointers,23,40.2,73.4,25.8,59.9,0.431,7.4,23.2,0.318,14.4,20.5,0.701,7.3,22.6,29.9,14.3,6.4,1.9,17.8,20.9,2023,German-Pro-B
25,TKS 49ers RSV Eintracht Stahnsdorf,24,39.8,72.6,24.3,60.7,0.401,7.8,25.5,0.304,16.2,21.9,0.74,10.2,23.0,33.1,15.3,7.1,3.2,16.2,21.9,2023,German-Pro-B
26,FC Bayern Munchen II,24,40.1,70.6,26.0,64.7,0.402,8.5,26.8,0.319,10.0,17.3,0.58,11.3,22.8,34.0,13.1,8.8,2.1,18.4,22.1,2023,German-Pro-B
