#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Panathinaikos,32,40.2,88.9,32.0,63.0,0.508,10.1,25.9,0.39,14.9,19.3,0.773,10.5,25.5,36.0,20.2,7.8,3.2,13.3,20.0,2021,Greek-HEBA-A1,1
2,AEK Athens,33,40.5,83.8,29.7,62.1,0.478,8.8,23.7,0.374,15.6,20.8,0.748,9.5,23.1,32.6,17.4,5.7,2.9,13.2,23.1,2021,Greek-HEBA-A1,0
3,GS Lavrio,33,40.7,81.6,28.3,61.8,0.458,10.0,26.3,0.379,15.1,21.2,0.709,8.3,22.5,30.8,17.7,7.3,2.4,13.2,21.8,2021,Greek-HEBA-A1,0
4,PAOK BC,25,40.4,80.6,28.5,60.4,0.472,8.9,22.1,0.401,14.7,19.3,0.76,7.6,22.4,30.1,15.0,8.5,2.1,14.2,23.0,2021,Greek-HEBA-A1,0
5,ASP Promitheas Patras,34,40.1,80.1,28.0,59.9,0.468,7.1,22.2,0.318,17.0,23.9,0.713,7.1,25.1,32.3,17.1,6.8,3.5,13.4,20.2,2021,Greek-HEBA-A1,0
6,Kolossos Rodou BC,24,40.4,78.0,27.5,60.5,0.454,9.1,25.2,0.36,14.0,18.9,0.74,7.0,24.1,31.1,18.9,5.9,1.3,14.3,23.1,2021,Greek-HEBA-A1,0
7,Ionikos Nikaias BC,24,40.2,76.0,27.5,62.9,0.437,8.0,25.1,0.317,13.1,17.1,0.766,8.5,21.8,30.3,15.1,7.3,2.0,14.5,20.1,2021,Greek-HEBA-A1,0
8,Ermis Agias Larissa,22,40.2,75.2,25.3,57.3,0.442,10.7,27.0,0.395,13.9,18.4,0.756,8.8,22.7,31.5,14.8,6.3,1.9,16.5,22.0,2021,Greek-HEBA-A1,0
9,Aris BC,22,40.1,73.7,24.9,58.7,0.424,7.8,24.0,0.326,16.2,22.3,0.725,9.5,22.0,31.5,13.8,7.9,1.6,15.2,22.0,2021,Greek-HEBA-A1,0
10,Iraklis BC,22,40.5,73.5,25.5,59.0,0.432,8.0,24.0,0.335,14.5,20.0,0.724,7.3,24.5,31.8,15.5,5.3,2.0,13.7,21.7,2021,Greek-HEBA-A1,0
11,Peristeri BC,25,40.2,73.5,25.3,58.9,0.43,7.7,24.6,0.313,15.2,20.0,0.758,9.0,23.7,32.8,16.3,6.0,2.2,14.5,21.0,2021,Greek-HEBA-A1,0
12,Charilaos Trikoupis Mesologiou,22,40.1,72.5,25.3,57.3,0.442,7.5,23.3,0.322,14.3,19.8,0.722,6.3,22.5,28.8,16.1,5.3,1.5,14.5,20.6,2021,Greek-HEBA-A1,0
