#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,GS Eleftheroupoli Kavalas,31,39.8,84.1,29.5,63.3,0.467,10.5,28.2,0.373,14.5,20.2,0.72,7.7,27.1,34.8,20.5,5.7,1.6,13.8,21.5,2023,Greek-HEBA-A2
2,AS Papagou Athens,30,40.3,82.7,29.8,64.3,0.463,7.3,20.8,0.352,15.8,23.3,0.68,8.2,27.4,35.6,20.3,6.3,1.1,15.6,22.6,2023,Greek-HEBA-A2
3,AE Psychiko Athens,30,40.0,81.7,28.6,62.6,0.457,10.4,29.7,0.351,14.1,18.8,0.749,8.4,26.4,34.9,17.7,5.6,2.5,12.2,21.8,2023,Greek-HEBA-A2
4,Iraklis BC,30,40.2,81.2,28.1,64.6,0.435,9.0,27.2,0.332,16.0,22.9,0.7,9.5,25.7,35.2,16.6,7.7,1.1,12.2,20.1,2023,Greek-HEBA-A2
5,Panery Thraikos AS,30,40.2,79.7,28.7,64.5,0.444,8.7,26.6,0.328,13.6,21.0,0.648,10.8,25.7,36.5,20.6,7.9,2.0,13.5,20.5,2023,Greek-HEBA-A2
6,Ermis Schimatari,30,40.0,78.7,28.4,63.0,0.451,6.8,21.7,0.314,15.0,20.6,0.729,9.4,26.9,36.3,16.7,6.4,3.9,14.1,21.8,2023,Greek-HEBA-A2
7,Maroussi BC,30,40.0,78.0,27.7,67.2,0.412,9.2,29.5,0.312,13.4,18.3,0.733,11.7,25.0,36.7,18.1,9.7,3.4,14.2,22.2,2023,Greek-HEBA-A2
8,NE Megaridas,30,40.5,78.0,26.9,64.8,0.415,8.3,27.1,0.305,16.0,21.3,0.748,9.3,24.1,33.4,16.9,6.4,2.0,12.4,21.9,2023,Greek-HEBA-A2
9,ASA Koroivos Amaliadas,30,40.5,76.7,26.6,61.4,0.434,7.3,23.3,0.311,16.2,23.3,0.694,8.7,26.3,35.0,15.9,6.4,3.2,12.8,21.1,2023,Greek-HEBA-A2
10,FEA Filadelfeia,30,39.8,76.4,27.5,66.6,0.413,8.4,27.8,0.303,12.9,19.8,0.65,10.0,23.2,33.2,16.6,9.0,2.5,14.4,24.5,2023,Greek-HEBA-A2
11,AO Tritonas Sepolion,31,40.6,76.2,26.1,63.5,0.412,8.3,26.1,0.319,15.6,21.8,0.717,11.5,26.8,38.3,16.0,7.1,3.1,14.0,22.0,2023,Greek-HEBA-A2
12,Charilaos Trikoupis Mesologiou,30,40.5,75.7,26.0,59.6,0.437,8.2,24.1,0.34,15.4,22.8,0.678,8.5,25.0,33.4,14.5,5.6,2.7,13.7,21.1,2023,Greek-HEBA-A2
13,Amyntas BC,30,40.6,75.3,27.4,63.8,0.429,7.9,25.0,0.315,12.6,18.3,0.689,9.0,26.0,35.0,19.6,7.9,3.0,13.8,23.4,2023,Greek-HEBA-A2
14,A.O. Agriniou,30,40.7,74.2,26.2,64.9,0.404,7.3,25.7,0.282,14.5,21.6,0.67,9.5,26.8,36.4,17.1,6.4,2.0,14.0,21.1,2023,Greek-HEBA-A2
15,Aias Evosmou,30,40.0,73.5,26.0,64.7,0.402,7.3,25.2,0.29,14.2,21.4,0.665,10.6,26.4,37.1,15.8,6.8,3.2,13.0,19.1,2023,Greek-HEBA-A2
16,Enosi Kalathosfairisis Kavalas,30,40.0,68.5,24.1,61.7,0.391,7.4,24.4,0.302,12.8,18.6,0.691,5.7,23.4,29.1,12.5,6.4,2.1,14.2,22.8,2023,Greek-HEBA-A2
