#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Szolnoki Olaj,36,40.1,87.4,31.3,64.3,0.487,9.5,25.2,0.378,15.3,20.2,0.758,10.4,24.0,34.4,18.2,11.1,2.5,11.3,20.7,2012,Hungarian-NBIA,1
2,Falco-Vulcano Energia KC Szombathely,39,40.0,84.1,31.1,59.5,0.522,5.6,17.1,0.328,16.3,21.1,0.773,8.3,23.6,31.9,16.5,8.1,3.3,13.3,21.2,2012,Hungarian-NBIA,0
3,Atomeromu SE,31,40.3,83.4,31.1,62.1,0.5,6.9,21.0,0.331,14.3,18.9,0.759,9.3,23.6,33.0,14.9,8.3,2.4,12.6,20.5,2012,Hungarian-NBIA,0
4,Alba Fehervar,32,40.0,83.2,31.6,62.3,0.507,6.6,20.0,0.33,13.0,18.0,0.725,9.1,26.8,35.9,15.3,11.0,3.7,12.7,18.3,2012,Hungarian-NBIA,0
5,Egis Kormend,35,40.1,81.7,30.2,62.5,0.484,8.0,23.0,0.348,13.3,19.3,0.686,9.9,22.2,32.1,13.5,9.0,3.6,10.7,19.4,2012,Hungarian-NBIA,0
6,Naturtex-SZTE-Szedeak,26,40.2,81.2,29.2,61.6,0.473,6.2,20.1,0.31,16.7,21.8,0.765,7.6,22.2,29.7,15.3,9.6,2.5,13.2,21.0,2012,Hungarian-NBIA,0
7,Jaszberenyi KSE,26,40.4,79.8,29.7,65.2,0.455,5.7,19.7,0.291,14.8,20.4,0.726,10.5,22.0,32.5,13.4,10.3,1.6,13.6,22.1,2012,Hungarian-NBIA,0
8,Pecsi VSK-Veolia,29,40.0,78.8,28.1,62.3,0.451,8.5,24.8,0.342,14.1,20.0,0.703,8.5,21.5,30.0,12.0,10.7,1.4,11.9,19.3,2012,Hungarian-NBIA,0
9,Factum Sport,26,40.4,77.7,28.7,66.9,0.429,5.7,20.0,0.287,14.5,18.2,0.799,11.7,22.6,34.3,13.9,9.4,1.3,13.0,22.1,2012,Hungarian-NBIA,0
10,Sopron KC,31,40.1,76.8,27.1,59.6,0.455,7.7,24.4,0.316,14.9,20.4,0.733,10.8,21.6,32.5,12.9,8.6,1.7,12.7,22.3,2012,Hungarian-NBIA,0
11,Kaposvari KK,26,40.4,75.8,28.5,64.0,0.446,4.7,16.3,0.291,14.0,19.2,0.733,9.8,21.6,31.3,13.0,9.5,2.1,11.9,19.1,2012,Hungarian-NBIA,0
12,Hubner Nyiregyhaza,26,40.4,75.5,27.7,61.5,0.451,5.9,20.2,0.291,14.2,22.1,0.642,9.6,21.9,31.5,10.4,10.9,1.8,12.6,19.5,2012,Hungarian-NBIA,0
13,Kecskemeti Univer KSE,29,40.1,75.2,26.6,60.8,0.437,6.5,23.4,0.276,15.6,21.7,0.717,8.8,22.0,30.8,11.1,11.0,1.6,11.1,22.2,2012,Hungarian-NBIA,0
14,Zalakeramia-ZTE KK,26,40.2,72.3,26.3,59.6,0.442,7.5,23.1,0.324,12.1,17.3,0.698,7.4,18.3,25.7,12.6,10.1,1.3,11.2,22.1,2012,Hungarian-NBIA,0
