#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Alba Fehervar,32,40.5,91.1,33.6,65.2,0.515,8.6,23.9,0.361,15.4,18.9,0.815,8.4,23.5,31.9,18.9,9.2,2.2,11.2,18.1,2023,Hungarian-NBIA
2,Falco-Vulcano Energia KC Szombathely,32,40.2,88.3,32.0,63.9,0.501,8.8,24.0,0.368,15.4,19.4,0.793,9.4,26.0,35.4,18.7,6.0,2.3,12.7,21.1,2023,Hungarian-NBIA
3,Zalakeramia-ZTE KK,33,40.6,85.2,30.0,63.7,0.471,9.0,25.5,0.352,16.2,20.6,0.786,8.2,23.9,32.2,16.1,6.3,1.3,11.7,18.8,2023,Hungarian-NBIA
4,Szolnoki Olaj,34,40.1,84.0,29.4,63.3,0.464,10.1,29.1,0.347,15.1,18.9,0.798,10.0,22.1,32.2,19.6,7.1,1.4,10.6,21.2,2023,Hungarian-NBIA
5,Sopron KC,33,40.5,82.3,30.5,62.6,0.486,7.8,23.5,0.334,13.5,17.9,0.756,7.8,25.6,33.4,17.1,6.3,3.9,11.3,17.6,2023,Hungarian-NBIA
6,Kaposvari KK,31,40.5,81.4,29.6,62.3,0.475,8.2,23.3,0.353,13.9,19.2,0.724,8.5,24.1,32.6,14.5,5.4,3.0,13.4,20.8,2023,Hungarian-NBIA
7,Egis Kormend,34,40.3,81.4,29.6,62.7,0.473,8.1,23.8,0.343,13.9,19.7,0.706,7.6,22.2,29.7,15.7,6.8,2.3,12.1,21.5,2023,Hungarian-NBIA
8,Atomeromu SE,32,40.2,81.1,29.8,62.8,0.474,7.0,21.2,0.329,14.6,19.0,0.768,9.7,24.9,34.6,18.2,6.8,2.5,13.4,17.9,2023,Hungarian-NBIA
9,Naturtex-SZTE-Szedeak,31,40.3,79.4,29.3,63.2,0.464,6.9,21.5,0.323,13.8,19.2,0.719,10.9,22.7,33.7,14.3,6.6,1.8,14.1,20.0,2023,Hungarian-NBIA
10,Oroszlanyi Sporteglet E Lions,31,40.3,78.1,28.2,64.9,0.435,9.5,27.5,0.347,12.1,16.5,0.731,10.4,21.4,31.7,14.9,7.1,2.5,13.2,24.1,2023,Hungarian-NBIA
11,DEAC,32,40.5,77.8,28.9,61.6,0.469,7.2,20.9,0.342,12.8,17.6,0.731,7.7,23.4,31.1,16.3,7.2,1.9,11.8,19.1,2023,Hungarian-NBIA
12,KTE-Duna Aszfalt,32,40.2,77.0,28.1,62.9,0.447,8.5,27.2,0.311,12.3,16.6,0.742,6.3,23.7,29.9,16.8,6.6,2.1,10.8,18.5,2023,Hungarian-NBIA
13,Hubner Nyiregyhaza,32,40.3,74.4,27.1,63.8,0.424,7.1,23.9,0.298,13.1,17.9,0.732,8.3,21.0,29.3,14.0,7.8,1.8,14.2,21.0,2023,Hungarian-NBIA
14,Budapesti Honved Se,31,40.0,72.1,26.2,62.1,0.423,7.8,27.0,0.288,11.9,17.9,0.664,9.1,21.9,31.0,13.6,6.4,2.2,13.2,21.0,2023,Hungarian-NBIA
