#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Maccabi FOX Tel Aviv,30,40.3,89.6,33.8,63.6,0.532,8.3,20.4,0.406,13.7,19.4,0.704,9.2,24.8,34.0,21.7,8.6,4.0,12.5,19.3,2012,Israeli-BSL,1
2,Maccabi Bazan Haifa,24,41.3,81.3,29.6,61.1,0.485,5.5,17.0,0.324,16.9,24.6,0.686,8.5,21.8,30.3,18.6,8.1,4.4,14.2,22.9,2012,Israeli-BSL,0
3,GreenTops Netanya,24,40.0,81.2,28.8,63.0,0.456,6.0,18.2,0.332,17.2,22.3,0.772,9.0,21.6,30.6,18.2,9.0,1.8,12.2,22.2,2012,Israeli-BSL,0
4,Maccabi Ashdod,30,40.3,80.6,29.0,60.3,0.481,6.6,18.4,0.361,15.9,21.7,0.734,9.1,24.7,33.9,17.0,7.6,2.4,14.0,20.2,2012,Israeli-BSL,0
5,Hapoel Bank Yahav Jerusalem,29,40.9,80.0,29.4,62.8,0.469,6.0,18.3,0.328,15.2,23.8,0.637,8.3,23.7,32.0,16.1,8.9,3.3,12.9,22.7,2012,Israeli-BSL,0
6,Bnei Herzelia,24,40.2,79.9,28.0,64.8,0.433,8.0,23.5,0.339,15.9,21.3,0.747,9.5,22.7,32.1,15.3,8.0,2.1,12.2,18.9,2012,Israeli-BSL,0
7,Hapoel Unet Holon,31,40.2,79.7,28.1,61.4,0.458,6.2,19.5,0.32,17.2,23.5,0.735,9.1,23.9,32.9,17.8,8.4,3.2,13.4,20.8,2012,Israeli-BSL,0
8,Maccabi Rishon Lezion,32,40.5,78.6,27.4,59.4,0.461,6.7,20.0,0.336,17.1,25.5,0.671,10.1,20.8,31.0,14.3,8.8,2.9,11.2,18.2,2012,Israeli-BSL,0
9,Hapoel Galil Gilboa,29,40.0,77.6,28.2,60.7,0.465,5.9,17.1,0.347,15.2,20.9,0.726,9.1,21.4,30.6,18.8,9.1,2.0,12.5,20.3,2012,Israeli-BSL,0
10,Elizur Ashkelon,30,40.3,77.6,28.4,60.2,0.471,5.1,14.8,0.345,15.9,22.1,0.722,8.8,21.8,30.6,16.5,9.0,1.5,13.6,21.0,2012,Israeli-BSL,0
11,BC Habikaa,27,40.2,75.9,27.4,61.9,0.443,6.5,20.4,0.32,14.0,19.0,0.739,8.8,23.3,32.1,17.3,8.6,2.0,15.4,21.0,2012,Israeli-BSL,0
