#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Maccabi FOX Tel Aviv,26,40.6,91.5,32.2,65.9,0.489,11.6,30.2,0.384,15.4,19.6,0.788,11.0,25.5,36.5,22.9,8.1,3.0,13.4,20.7,2023,Israeli-BSL
2,Hapoel Tel Aviv,26,40.6,89.9,32.0,64.9,0.492,7.8,20.8,0.373,18.2,24.2,0.755,8.6,26.6,35.2,23.0,7.1,2.5,12.8,19.5,2023,Israeli-BSL
3,Hapoel Unet Holon,27,40.2,87.2,30.4,63.3,0.48,11.0,29.0,0.379,15.4,19.7,0.785,7.7,22.6,30.2,19.9,6.7,2.1,11.1,19.9,2023,Israeli-BSL
4,Ironi Nes Ziona,27,40.9,86.8,31.2,67.2,0.464,7.9,25.1,0.316,16.5,22.9,0.722,9.4,23.5,32.9,22.9,8.7,3.0,14.1,20.3,2023,Israeli-BSL
5,Hapoel Beer Sheva,27,40.1,85.6,31.5,66.6,0.473,8.1,23.9,0.337,14.5,20.7,0.701,9.9,22.7,32.5,19.3,7.4,1.9,12.9,22.4,2023,Israeli-BSL
6,Hapoel Upper Galilee Safed,27,40.5,85.3,30.3,66.2,0.458,8.7,25.7,0.337,16.0,21.6,0.741,9.7,23.7,33.5,19.7,7.9,2.2,12.5,21.3,2023,Israeli-BSL
7,Bnei Herzelia,27,40.7,84.5,30.1,64.1,0.47,7.9,22.2,0.353,16.4,23.6,0.695,9.0,26.7,35.7,19.6,7.1,2.6,12.3,17.3,2023,Israeli-BSL
8,Elitzur Kiryat Ata,27,40.0,82.7,31.2,66.0,0.472,7.0,20.1,0.346,13.3,19.7,0.678,9.8,22.9,32.7,19.4,8.6,2.7,14.1,19.9,2023,Israeli-BSL
9,Hapoel Eilat,27,40.0,81.9,28.4,63.9,0.445,8.9,26.0,0.343,16.1,21.9,0.737,9.0,24.1,33.2,16.9,6.1,2.8,14.9,20.6,2023,Israeli-BSL
10,Hapoel Haifa,27,40.6,81.3,30.3,67.9,0.446,9.0,26.3,0.34,11.9,16.7,0.714,9.4,22.7,32.1,19.2,6.8,2.2,11.8,22.4,2023,Israeli-BSL
11,Hapoel Bank Yahav Jerusalem,27,40.5,80.7,28.6,61.6,0.464,9.8,26.1,0.375,13.8,20.2,0.684,9.2,24.7,33.9,19.0,6.5,3.0,12.4,21.8,2023,Israeli-BSL
12,Hapoel Galil Gilboa,27,40.3,79.3,27.7,65.4,0.423,9.9,29.1,0.341,14.0,20.3,0.69,10.3,22.9,33.2,17.6,6.1,2.3,13.7,20.6,2023,Israeli-BSL
