#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Banco di Sardegna Sassari,30,40.7,86.2,31.0,64.0,0.484,10.2,26.7,0.382,14.0,17.7,0.792,9.3,23.0,32.3,17.9,6.5,1.8,13.6,21.9,2018,Italian-Lega-Basket-Serie-A,0
2,Acqua San Bernardo Cantu,33,40.3,85.8,30.9,67.2,0.46,8.5,24.9,0.343,15.5,20.9,0.743,8.9,23.1,32.0,17.0,7.2,2.0,12.1,20.0,2018,Italian-Lega-Basket-Serie-A,0
3,Vanoli Cremona,33,40.0,84.2,30.8,66.9,0.461,10.0,27.0,0.369,12.6,16.3,0.773,8.8,22.8,31.5,15.3,7.2,2.4,13.0,20.6,2018,Italian-Lega-Basket-Serie-A,0
4,Umana Venezia,37,40.4,83.0,30.1,63.7,0.473,10.0,27.2,0.366,12.8,18.1,0.71,7.8,25.0,32.7,17.8,5.7,2.7,12.4,22.1,2018,Italian-Lega-Basket-Serie-A,0
5,AX Armani Exchange Milan,43,40.3,83.0,29.6,62.5,0.474,9.4,26.0,0.362,14.4,18.2,0.789,9.1,24.3,33.4,14.4,5.9,2.8,12.4,20.3,2018,Italian-Lega-Basket-Serie-A,0
6,Sidigas Avellino,34,41.0,82.3,30.7,61.0,0.503,9.1,23.0,0.396,11.8,16.6,0.71,7.9,25.9,33.8,18.5,5.5,3.2,14.8,18.7,2018,Italian-Lega-Basket-Serie-A,0
7,Fiat Torino,30,40.2,81.1,29.2,65.1,0.449,7.8,22.8,0.342,14.8,19.6,0.754,9.7,23.2,32.9,17.6,7.6,1.7,13.2,19.1,2018,Italian-Lega-Basket-Serie-A,1
8,Dolomiti Energia Trento,44,40.0,80.2,29.2,64.0,0.456,7.3,21.8,0.334,14.6,21.3,0.685,9.7,23.2,32.9,13.2,8.2,1.8,12.0,19.5,2018,Italian-Lega-Basket-Serie-A,0
9,Gemani Basket Brescia,37,40.5,78.6,28.8,62.9,0.458,8.0,23.5,0.342,12.9,18.8,0.689,9.3,24.0,33.2,17.2,7.7,2.0,11.7,18.7,2018,Italian-Lega-Basket-Serie-A,0
10,Virtus Bologna,30,40.2,78.4,29.3,65.0,0.45,8.5,25.4,0.333,11.4,16.7,0.686,9.5,23.0,32.5,14.6,7.7,1.4,12.2,18.5,2018,Italian-Lega-Basket-Serie-A,0
11,Grissin Bon Reggio Emilia,30,40.2,77.5,28.7,62.5,0.46,7.4,21.9,0.34,12.6,16.1,0.786,8.5,21.8,30.3,16.1,7.4,2.2,13.1,20.2,2018,Italian-Lega-Basket-Serie-A,0
12,OpenJobMetis Varese,33,40.5,77.4,28.2,63.3,0.445,8.7,25.3,0.345,12.3,16.5,0.744,10.1,26.0,36.1,15.5,6.5,2.3,12.9,21.2,2018,Italian-Lega-Basket-Serie-A,0
13,Enel Brindisi,30,40.5,77.2,28.9,64.6,0.448,7.2,22.5,0.319,12.2,17.7,0.691,8.5,24.3,32.8,14.6,6.3,1.9,13.5,19.4,2018,Italian-Lega-Basket-Serie-A,0
14,Carpegna Prosciutto Basket Pesaro,30,40.3,77.0,28.0,64.6,0.433,6.8,23.2,0.295,14.2,19.5,0.73,10.3,23.4,33.7,12.3,8.2,2.4,13.2,18.2,2018,Italian-Lega-Basket-Serie-A,0
15,Georgio Tesi Group Pistoia,30,40.2,75.6,27.8,66.1,0.421,8.7,25.6,0.341,11.2,16.3,0.684,10.7,23.9,34.6,14.5,5.7,1.4,13.5,22.2,2018,Italian-Lega-Basket-Serie-A,0
16,Orlandina Basket,30,40.3,71.8,26.9,61.3,0.439,7.6,24.4,0.312,10.3,15.1,0.68,8.0,23.7,31.7,15.8,5.2,2.0,14.4,18.4,2018,Italian-Lega-Basket-Serie-A,0
