#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Virtus Roma,34,40.4,88.5,32.3,70.5,0.458,9.7,28.0,0.347,14.1,19.6,0.72,10.4,23.6,34.1,17.7,6.5,1.8,12.7,23.9,2017,Italian-Serie-A2-Basket,0
2,Virtus Bologna,44,40.8,81.4,29.4,62.6,0.469,9.7,26.0,0.372,13.1,17.8,0.733,8.9,23.4,32.3,15.6,8.5,1.7,12.5,18.5,2017,Italian-Serie-A2-Basket,1
3,Blu Basket Gruppo Remer Treviglio,35,40.4,81.1,29.3,63.1,0.464,7.9,23.3,0.337,14.7,19.1,0.771,8.4,23.7,32.1,16.7,5.5,2.3,12.3,20.5,2017,Italian-Serie-A2-Basket,0
4,Edilnol Pallacanestro Biella,35,40.6,81.0,28.6,67.0,0.427,9.9,30.4,0.325,13.9,18.6,0.749,12.2,24.7,36.9,13.2,6.0,2.2,11.9,20.3,2017,Italian-Serie-A2-Basket,0
5,Givova Scafati,30,40.0,79.9,26.9,61.0,0.442,9.0,25.0,0.359,17.0,22.0,0.774,7.6,23.1,30.7,16.3,4.7,1.4,12.5,19.9,2017,Italian-Serie-A2-Basket,0
6,Termoiforgia Jesi,30,40.3,79.7,28.6,67.5,0.423,8.8,26.5,0.331,13.7,18.4,0.748,10.9,23.9,34.7,14.4,6.1,2.3,12.4,19.2,2017,Italian-Serie-A2-Basket,0
7,Benacquista Assicurazioni Latina Basket,30,40.4,79.1,28.7,65.5,0.439,7.7,23.1,0.331,14.0,18.4,0.758,9.5,25.8,35.4,16.1,6.6,2.2,13.3,19.0,2017,Italian-Serie-A2-Basket,0
8,Feli Pharma Ferrara,30,41.0,78.7,29.6,62.9,0.471,7.9,22.9,0.346,11.5,16.1,0.712,7.4,27.1,34.5,16.7,5.9,3.8,15.5,19.5,2017,Italian-Serie-A2-Basket,0
9,Pallacanestro Generale Mantovana,35,40.5,78.5,27.5,63.4,0.433,9.1,26.0,0.351,14.5,19.9,0.731,9.6,25.6,35.2,14.9,5.5,3.1,13.2,21.7,2017,Italian-Serie-A2-Basket,0
10,2B Control Trapani,33,40.2,77.9,27.5,61.2,0.45,8.1,23.6,0.341,14.8,19.5,0.758,7.9,22.3,30.2,14.2,5.8,1.4,11.4,18.8,2017,Italian-Serie-A2-Basket,0
11,Pallacanestro Trieste 2004,47,40.0,77.8,28.7,63.0,0.456,7.7,22.9,0.338,12.7,18.0,0.705,9.2,23.7,32.9,15.0,8.0,2.8,12.8,21.2,2017,Italian-Serie-A2-Basket,0
12,Zeus Energy Group Rieti,30,40.0,77.6,27.6,60.6,0.456,8.3,23.3,0.355,14.1,18.8,0.751,6.8,23.5,30.4,16.1,5.1,1.1,11.5,20.7,2017,Italian-Serie-A2-Basket,0
13,FMC Ferentino,30,40.1,77.4,27.9,60.8,0.46,9.9,26.2,0.378,11.6,14.9,0.779,7.4,24.5,31.9,14.9,5.4,1.2,13.4,18.0,2017,Italian-Serie-A2-Basket,0
14,Roseto Sharks,38,40.4,76.9,27.9,61.4,0.455,9.3,25.6,0.365,11.8,15.6,0.755,7.7,22.3,30.1,12.8,5.8,1.4,12.7,17.5,2017,Italian-Serie-A2-Basket,0
15,Orasi Ravenna,40,40.7,76.6,28.1,61.0,0.46,6.8,18.8,0.359,13.7,18.3,0.749,7.6,23.7,31.3,11.8,7.6,3.5,13.6,18.8,2017,Italian-Serie-A2-Basket,0
16,Pallacanestro Teate Chieti,30,40.7,76.4,27.4,62.9,0.436,7.6,22.3,0.339,13.9,18.2,0.764,9.7,22.3,32.0,16.7,5.8,1.4,11.2,20.1,2017,Italian-Serie-A2-Basket,0
17,Bertram Tortona,39,40.0,76.2,26.7,61.3,0.436,8.7,26.7,0.324,14.1,19.0,0.741,10.1,22.9,32.9,12.6,4.4,1.5,11.4,20.2,2017,Italian-Serie-A2-Basket,0
18,Atlante Eurobasket Roma,30,40.4,76.0,27.8,59.8,0.465,6.4,19.7,0.327,13.9,19.5,0.713,8.1,24.4,32.5,13.7,6.1,1.6,14.2,19.4,2017,Italian-Serie-A2-Basket,0
19,Andrea Costa Imola,30,40.2,75.7,27.9,63.8,0.438,7.6,23.9,0.316,12.3,16.0,0.767,7.3,23.5,30.8,14.0,6.4,1.4,13.4,19.1,2017,Italian-Serie-A2-Basket,0
20,Viola Reggio Calabria,30,40.0,75.0,27.8,63.4,0.438,8.3,24.8,0.335,11.2,15.3,0.732,7.9,22.1,30.0,14.2,6.4,1.4,12.7,21.1,2017,Italian-Serie-A2-Basket,0
21,Fortituto Kontatto Bologna,42,40.2,74.8,26.8,60.3,0.444,7.4,21.7,0.34,13.9,17.9,0.774,7.6,23.7,31.3,14.5,6.7,2.5,12.7,22.5,2017,Italian-Serie-A2-Basket,0
22,Basket Recanati,30,40.2,73.9,26.8,63.9,0.419,7.6,23.2,0.326,12.8,17.7,0.723,8.7,23.8,32.4,13.9,4.5,2.4,14.2,22.4,2017,Italian-Serie-A2-Basket,0
23,Moncada Agrigento,34,40.1,73.8,26.6,59.8,0.445,6.4,19.5,0.327,14.3,19.1,0.748,7.3,24.9,32.2,14.1,5.6,2.3,13.5,18.9,2017,Italian-Serie-A2-Basket,0
24,L.B. Legnano Knights,34,40.0,73.6,27.1,62.4,0.435,8.1,24.6,0.329,11.2,17.3,0.65,9.7,24.7,34.4,13.5,6.1,2.9,13.3,18.0,2017,Italian-Serie-A2-Basket,0
25,Old Wild West Udine,30,40.0,73.1,25.7,62.7,0.41,8.5,25.1,0.339,13.1,17.5,0.75,10.5,22.7,33.2,13.3,6.6,1.6,13.0,21.7,2017,Italian-Serie-A2-Basket,0
26,Mens Sana 1871 Siena,30,40.2,73.1,26.0,60.4,0.43,5.8,19.8,0.291,15.3,22.1,0.695,7.9,24.1,32.0,11.7,6.4,1.2,13.1,21.1,2017,Italian-Serie-A2-Basket,0
27,Tezenis Scaligera Verona,38,40.5,73.1,25.6,56.5,0.453,7.2,21.2,0.339,14.7,19.6,0.748,7.2,23.9,31.1,13.3,6.8,2.0,13.6,19.6,2017,Italian-Serie-A2-Basket,0
