#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Reale Mutua Torino,30,40.3,83.6,29.0,62.6,0.463,8.7,25.4,0.341,17.0,22.1,0.77,8.7,25.7,34.4,18.6,6.6,2.3,14.2,20.6,2023,Italian-Serie-A2-Basket
2,Pallacanestro Andrea Pasca Nardo,32,40.3,82.3,28.7,65.8,0.436,10.4,29.2,0.357,14.5,19.0,0.763,9.1,24.8,33.9,14.2,5.7,1.2,12.5,19.0,2023,Italian-Serie-A2-Basket
3,Moncada Agrigento,30,40.3,81.5,28.7,61.9,0.464,9.4,25.4,0.371,14.7,19.6,0.75,7.8,23.0,30.8,17.5,8.3,1.7,14.6,20.7,2023,Italian-Serie-A2-Basket
4,UCC Assigeco Piacenza,30,40.7,79.9,29.5,65.5,0.45,8.9,27.9,0.319,12.1,16.2,0.743,9.6,24.3,33.9,16.9,7.3,2.4,13.1,19.1,2023,Italian-Serie-A2-Basket
5,Acqua San Bernardo Cantu,30,40.3,79.6,28.7,61.7,0.465,8.2,22.9,0.357,14.0,18.8,0.745,7.4,25.7,33.1,19.3,7.1,2.6,12.9,19.4,2023,Italian-Serie-A2-Basket
6,Blu Basket Gruppo Remer Treviglio,30,40.5,79.3,27.9,61.5,0.454,9.1,26.5,0.345,14.3,19.8,0.722,10.3,26.4,36.7,17.1,6.9,1.6,14.0,20.6,2023,Italian-Serie-A2-Basket
7,Urania Milano,29,40.7,78.5,27.2,63.7,0.427,10.7,30.2,0.353,13.4,17.7,0.757,9.2,24.1,33.3,17.2,6.6,1.9,13.7,18.8,2023,Italian-Serie-A2-Basket
8,Vanoli Cremona,30,40.7,78.3,27.0,60.5,0.447,10.7,29.6,0.361,13.6,18.3,0.74,9.8,23.2,32.9,16.2,6.4,1.0,12.3,20.1,2023,Italian-Serie-A2-Basket
9,Old Wild West Udine,31,40.2,77.6,28.7,63.3,0.454,7.3,21.6,0.338,12.8,17.2,0.747,8.3,26.8,35.1,15.0,7.4,2.0,13.0,19.3,2023,Italian-Serie-A2-Basket
10,Fortituto Kontatto Bologna,31,40.5,77.3,27.7,59.7,0.463,8.6,24.5,0.352,13.3,18.4,0.723,6.2,26.4,32.5,16.1,4.5,2.1,11.7,18.7,2023,Italian-Serie-A2-Basket
11,Stella Azzurra Roma,30,40.7,77.2,27.3,60.6,0.451,7.1,22.1,0.323,15.4,20.0,0.768,6.6,21.8,28.4,11.9,8.3,2.4,14.3,24.6,2023,Italian-Serie-A2-Basket
12,Tramec Cento,32,40.2,76.7,27.7,60.5,0.457,8.8,24.5,0.357,12.5,16.8,0.748,8.0,26.1,34.2,14.3,5.3,2.4,13.0,19.3,2023,Italian-Serie-A2-Basket
13,Unieuro Forli,32,40.2,76.3,26.5,61.3,0.433,9.0,26.2,0.343,14.3,19.5,0.73,8.8,25.9,34.7,13.5,6.4,1.1,11.2,19.6,2023,Italian-Serie-A2-Basket
14,Novipiu Casale Monferrato,30,40.5,76.1,27.6,65.1,0.424,8.2,24.5,0.333,12.7,16.6,0.767,9.8,24.9,34.7,16.7,5.7,2.6,13.3,19.5,2023,Italian-Serie-A2-Basket
15,Feli Pharma Ferrara,23,40.2,76.0,26.8,59.8,0.449,8.3,23.5,0.356,14.0,18.5,0.756,7.0,24.4,31.3,17.0,5.4,3.5,14.6,21.2,2023,Italian-Serie-A2-Basket
16,Pallacanestro Generale Mantovana,31,40.3,75.5,25.7,61.2,0.42,8.8,25.6,0.342,15.4,20.0,0.769,8.9,23.3,32.2,11.4,6.5,1.7,13.8,21.5,2023,Italian-Serie-A2-Basket
17,Stella Azzurra U18,20,40.8,75.4,27.1,60.7,0.446,7.2,22.6,0.317,14.2,18.3,0.775,6.5,21.5,28.0,11.6,8.6,2.5,15.4,24.4,2023,Italian-Serie-A2-Basket
18,RivieraBanca Rimini,32,40.2,75.2,26.9,62.2,0.433,8.7,26.2,0.33,12.8,17.2,0.74,10.4,23.8,34.2,13.6,5.5,1.3,14.2,20.1,2023,Italian-Serie-A2-Basket
19,Georgio Tesi Group Pistoia,32,40.2,75.0,26.4,60.8,0.434,8.5,25.2,0.336,13.8,18.7,0.736,8.0,27.1,35.1,13.5,6.2,1.9,12.5,18.4,2023,Italian-Serie-A2-Basket
20,Benacquista Assicurazioni Latina Basket,30,40.3,74.7,26.6,63.2,0.421,7.8,24.9,0.312,13.7,18.4,0.746,8.8,23.6,32.4,14.5,8.4,1.8,14.0,19.6,2023,Italian-Serie-A2-Basket
21,Ferraroni Juvi Cremona,30,40.3,74.1,26.5,61.0,0.435,7.9,23.1,0.343,13.2,19.3,0.681,7.9,23.9,31.7,11.5,6.4,1.5,12.6,19.7,2023,Italian-Serie-A2-Basket
22,Orasi Ravenna,32,40.3,73.9,27.1,61.6,0.44,7.4,21.6,0.344,12.4,16.5,0.749,6.6,21.7,28.2,13.9,7.1,1.4,11.8,20.3,2023,Italian-Serie-A2-Basket
23,Umana Chiusi,31,40.3,73.0,25.9,60.3,0.429,9.5,27.8,0.341,11.8,17.1,0.692,7.3,22.4,29.7,13.5,7.0,2.0,13.6,19.6,2023,Italian-Serie-A2-Basket
24,UEB Gesteco Cividale,32,40.3,72.8,27.0,63.3,0.427,8.7,26.0,0.333,10.2,13.8,0.734,9.1,24.9,34.0,17.0,6.8,1.3,12.3,19.0,2023,Italian-Serie-A2-Basket
25,Chieti Basket 1974,32,40.2,71.8,25.2,60.3,0.418,8.2,24.4,0.336,13.3,17.7,0.753,7.9,24.9,32.9,14.3,5.9,2.3,14.2,17.3,2023,Italian-Serie-A2-Basket
26,Allianz Pazienza Cestistica San Severo,32,40.3,71.7,24.7,59.7,0.413,8.7,26.6,0.325,13.7,18.1,0.756,7.9,24.5,32.4,14.0,5.4,1.2,12.7,21.7,2023,Italian-Serie-A2-Basket
27,2B Control Trapani,30,40.0,71.4,26.2,61.8,0.424,8.7,25.8,0.337,10.3,13.8,0.744,7.7,23.0,30.7,15.5,5.3,2.4,13.0,19.5,2023,Italian-Serie-A2-Basket
28,Zeus Energy Group Rieti,30,40.3,68.9,24.3,59.6,0.408,5.9,20.5,0.287,14.4,20.6,0.697,7.9,23.8,31.7,12.2,7.0,1.1,14.4,23.3,2023,Italian-Serie-A2-Basket
