#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Toyama Grouses,63,40.3,88.9,31.7,63.3,0.5,8.5,22.9,0.371,17.1,24.1,0.708,8.8,24.9,33.7,20.7,6.3,2.0,12.4,17.2,2021,Japanese-B.League,0
2,Chiba Jets,65,40.4,88.2,31.3,66.0,0.475,8.3,23.8,0.348,17.3,22.3,0.776,10.7,25.8,36.5,20.7,6.1,2.6,11.9,20.0,2021,Japanese-B.League,1
3,Hitachi Sun Rockers,61,40.1,84.6,31.1,67.9,0.458,8.1,24.3,0.334,14.4,20.4,0.702,11.5,20.7,32.2,19.9,9.1,2.1,12.8,21.1,2021,Japanese-B.League,0
4,Aishin Sea Horses,57,40.3,84.5,32.1,65.2,0.492,9.1,24.1,0.377,11.3,14.6,0.772,8.2,23.8,32.0,22.1,6.0,1.6,9.8,15.6,2021,Japanese-B.League,0
5,Osaka Evessa,56,40.4,84.1,31.8,66.0,0.482,8.1,21.7,0.372,12.4,16.8,0.737,8.6,26.1,34.7,22.7,6.3,3.2,12.5,16.5,2021,Japanese-B.League,0
6,Kawasaki Brave Thunders,63,40.2,83.4,29.9,63.3,0.473,8.8,26.2,0.336,14.7,20.1,0.732,8.9,24.8,33.7,23.2,7.8,2.7,11.3,18.0,2021,Japanese-B.League,0
7,Toyota Alvark,55,40.5,83.1,30.5,64.6,0.473,8.7,22.6,0.383,13.3,17.6,0.757,8.7,22.7,31.4,21.2,6.0,2.1,9.3,17.7,2021,Japanese-B.League,0
8,Ryukyu Golden Kings,62,40.1,82.7,30.4,66.3,0.458,8.6,25.0,0.344,13.3,17.8,0.75,11.2,24.8,36.0,19.4,7.1,1.8,12.1,21.0,2021,Japanese-B.League,0
9,Link Tochigi Brex,67,40.0,81.4,30.4,66.6,0.456,8.0,23.4,0.344,12.7,18.3,0.692,11.3,23.6,34.8,20.4,7.2,3.1,10.1,18.6,2021,Japanese-B.League,0
10,Nagoya Diamond Dolphins,56,40.4,81.4,29.1,60.8,0.479,9.3,24.6,0.377,13.9,17.9,0.778,6.7,25.9,32.6,21.3,5.3,1.9,12.5,15.5,2021,Japanese-B.League,0
11,Kyoto Hannaryz,57,40.2,78.9,28.4,61.7,0.461,6.9,19.5,0.354,15.1,19.7,0.77,6.8,24.1,30.8,16.6,5.6,2.4,10.1,16.6,2021,Japanese-B.League,0
12,Shimane Susanoo Magic,60,40.4,78.2,29.5,64.8,0.455,6.4,20.9,0.305,12.9,17.7,0.728,10.4,23.8,34.2,19.3,7.0,2.4,13.5,19.4,2021,Japanese-B.League,0
13,Shiga Lakestars,59,40.2,77.8,28.5,65.3,0.437,9.1,27.7,0.329,11.7,16.4,0.714,9.7,22.5,32.2,18.5,6.1,1.4,11.4,19.4,2021,Japanese-B.League,0
14,Akita Northern Happinets,59,40.3,77.5,28.7,65.9,0.435,7.5,23.4,0.319,12.7,18.3,0.696,10.4,21.3,31.7,20.7,9.1,4.0,13.1,21.1,2021,Japanese-B.League,0
15,Nigata Albirex,54,40.4,76.5,28.0,61.6,0.455,7.4,22.4,0.329,13.1,17.6,0.747,7.9,24.4,32.3,18.8,5.1,2.5,13.7,15.9,2021,Japanese-B.League,0
16,Hiroshima Dragonflies,55,40.1,76.0,28.0,62.5,0.448,7.2,21.3,0.34,12.8,17.1,0.75,7.7,22.4,30.1,20.3,6.6,2.6,13.7,18.4,2021,Japanese-B.League,0
17,Levanga Hokkaido,59,40.3,75.9,27.5,63.8,0.431,8.3,24.2,0.341,12.6,16.4,0.768,7.7,21.7,29.4,17.8,6.7,1.4,11.1,21.1,2021,Japanese-B.League,0
18,Sanen Neophoenix,59,40.3,75.7,28.5,65.2,0.437,6.4,20.1,0.318,12.4,16.5,0.753,8.4,21.8,30.2,19.3,7.2,1.9,12.0,20.6,2021,Japanese-B.League,0
19,Yokohama B-Corsairs,59,40.2,73.2,27.8,62.0,0.449,7.3,22.6,0.323,10.2,16.0,0.638,8.7,22.8,31.5,18.8,5.9,2.3,12.3,20.2,2021,Japanese-B.League,0
20,Shinshu Brave Warriors,54,40.3,71.9,24.9,59.8,0.417,10.1,31.4,0.32,12.0,16.0,0.747,7.5,24.3,31.8,19.1,5.7,2.9,12.8,17.6,2021,Japanese-B.League,0
