#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Sporting Al Riyadi Beirut,30,40.0,96.2,35.0,68.0,0.515,10.8,28.1,0.383,15.4,20.2,0.761,10.0,26.9,36.9,22.7,8.3,4.1,12.7,14.9,2023,Lebanese-Division-A,1
2,Sagesse Al Hekmeh Beirut,30,40.0,95.9,36.8,71.8,0.512,8.6,25.5,0.338,13.7,19.3,0.71,11.3,29.5,40.8,23.6,9.1,3.8,12.2,17.6,2023,Lebanese-Division-A,0
3,Dynamo Club,29,40.0,91.1,34.4,73.8,0.467,8.9,28.8,0.309,13.4,20.6,0.65,12.7,28.1,40.8,20.7,10.2,3.3,12.2,17.0,2023,Lebanese-Division-A,0
4,Beirut Club,29,39.4,91.1,33.8,69.3,0.487,9.6,26.5,0.362,14.0,19.2,0.729,12.5,28.1,40.6,22.2,6.7,3.1,12.2,15.5,2023,Lebanese-Division-A,0
5,Homenetmen Beirut,28,40.0,79.2,29.5,70.1,0.421,8.0,25.1,0.319,12.1,16.9,0.72,9.6,25.8,35.3,15.2,6.2,2.6,15.8,16.4,2023,Lebanese-Division-A,0
6,Liders,29,39.8,79.1,30.1,70.0,0.43,7.4,25.3,0.294,11.4,16.3,0.7,9.2,25.5,34.7,16.6,8.9,2.2,15.4,15.3,2023,Lebanese-Division-A,0
7,Atlas Ferzol,22,39.9,76.9,29.5,72.0,0.409,7.7,27.5,0.281,10.1,14.0,0.722,11.0,26.9,37.8,13.4,6.1,3.7,14.9,14.5,2023,Lebanese-Division-A,0
8,Antranik Beirut,22,39.9,76.7,28.2,69.4,0.406,7.7,27.4,0.282,12.6,19.7,0.641,9.2,23.2,32.4,15.0,9.1,2.8,13.9,17.6,2023,Lebanese-Division-A,0
9,Hoops Club,28,39.9,76.6,28.9,71.0,0.407,8.5,27.9,0.305,10.3,15.9,0.643,11.6,23.8,35.4,17.9,10.3,3.0,12.6,18.1,2023,Lebanese-Division-A,0
10,Byblos,21,39.9,75.6,27.8,64.9,0.429,8.5,24.3,0.35,11.5,16.6,0.691,8.0,23.1,31.1,14.5,6.6,2.7,16.5,15.0,2023,Lebanese-Division-A,0
11,Nadim Souaid Academy,22,39.8,75.0,29.2,71.0,0.411,7.4,25.4,0.292,9.3,14.2,0.652,11.5,28.0,39.5,16.5,7.3,2.4,14.5,19.4,2023,Lebanese-Division-A,0
12,Champville,26,39.5,73.8,27.6,68.0,0.406,7.0,24.5,0.287,11.6,17.9,0.646,9.8,27.0,36.8,16.1,6.8,3.0,16.4,15.7,2023,Lebanese-Division-A,0
