#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Zalgiris,27,40.0,85.6,30.7,59.9,0.513,7.9,21.9,0.358,16.1,22.7,0.712,8.4,24.8,33.2,17.7,9.0,1.8,14.1,22.1,2012,Lithuanian-LKL,1
2,Lietuvos Rytas,27,40.0,85.2,30.3,60.6,0.5,7.0,19.1,0.368,17.1,23.4,0.73,10.7,23.8,34.5,16.3,9.2,3.6,14.3,23.2,2012,Lithuanian-LKL,0
3,Neptunas,26,40.6,83.9,30.8,62.4,0.494,5.9,17.5,0.336,16.3,23.5,0.694,10.3,22.7,33.0,16.0,7.6,1.0,16.5,25.1,2012,Lithuanian-LKL,0
4,Vytautas Prienu,31,40.1,82.6,28.2,59.2,0.475,8.9,24.8,0.359,16.9,23.4,0.725,8.0,22.6,30.7,16.8,7.7,2.7,13.4,22.7,2012,Lithuanian-LKL,0
5,Siauliai,31,40.0,82.6,30.0,62.9,0.477,6.2,18.1,0.342,16.4,21.7,0.754,8.9,22.2,31.1,15.5,8.5,1.2,14.2,23.0,2012,Lithuanian-LKL,0
6,Kedainiai Nevezis,23,40.4,75.5,26.9,61.4,0.438,6.1,21.0,0.293,15.6,23.1,0.675,9.7,23.2,32.8,13.3,7.7,2.3,15.2,22.5,2012,Lithuanian-LKL,0
7,Sakalai,22,40.3,74.5,26.9,62.5,0.43,7.0,21.5,0.325,13.8,21.4,0.645,9.3,22.7,32.0,14.2,7.5,1.9,17.0,22.4,2012,Lithuanian-LKL,0
8,LKKA LSU Atletas,22,40.2,73.6,27.4,61.0,0.449,6.1,16.8,0.365,13.4,19.0,0.704,9.0,22.3,31.4,12.3,7.2,2.0,13.6,21.4,2012,Lithuanian-LKL,0
9,Juventus,22,40.2,73.4,27.4,58.9,0.465,4.6,13.9,0.33,14.1,19.2,0.733,7.5,23.6,31.1,14.7,5.9,2.7,16.9,22.0,2012,Lithuanian-LKL,0
10,Palangos Kursiai,22,41.1,73.2,27.3,64.4,0.424,6.1,20.0,0.306,12.5,18.0,0.694,10.0,21.8,31.8,12.2,7.3,2.3,15.1,20.2,2012,Lithuanian-LKL,0
11,Lietkabelis,22,40.1,73.2,27.4,62.8,0.436,5.5,19.2,0.287,13.0,20.0,0.654,10.1,20.4,30.5,14.9,8.0,3.0,15.1,20.7,2012,Lithuanian-LKL,0
12,Pieno Zvaigzdes,25,40.3,72.6,26.2,59.1,0.443,6.7,20.8,0.321,13.6,20.3,0.671,9.8,21.5,31.3,11.6,7.5,1.9,14.4,22.1,2012,Lithuanian-LKL,0
