#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Lietuvos Rytas,33,40.6,93.0,32.8,65.4,0.502,9.5,26.2,0.364,17.8,23.3,0.764,10.3,23.3,33.7,19.3,6.6,2.5,12.3,22.8,2023,Lithuanian-LKL
2,Zalgiris,33,40.3,87.1,31.6,61.2,0.517,9.8,25.4,0.385,14.1,17.6,0.8,9.5,23.0,32.5,21.5,7.2,2.6,12.3,21.0,2023,Lithuanian-LKL
3,Kedainiai Nevezis,33,40.7,86.7,30.7,63.0,0.487,7.6,22.5,0.336,17.7,24.3,0.729,9.0,21.5,30.5,19.0,7.3,2.0,13.6,21.2,2023,Lithuanian-LKL
4,Juventus,33,40.5,86.6,31.6,64.5,0.489,7.6,22.3,0.342,15.8,20.9,0.759,9.6,23.2,32.8,19.3,7.3,3.1,15.2,23.2,2023,Lithuanian-LKL
5,BC Wolves,33,40.2,86.2,31.7,63.4,0.499,10.7,27.5,0.39,12.2,16.9,0.72,9.3,19.8,29.2,20.3,8.2,1.9,12.0,22.8,2023,Lithuanian-LKL
6,Lietkabelis,32,40.3,85.7,31.2,63.3,0.493,9.8,25.4,0.385,13.6,18.5,0.736,9.7,21.6,31.3,19.9,7.8,2.1,13.3,23.5,2023,Lithuanian-LKL
7,Siauliai,33,40.6,83.2,30.4,63.2,0.481,8.5,24.2,0.35,13.9,18.7,0.743,8.9,22.3,31.2,19.9,6.6,2.5,14.1,21.0,2023,Lithuanian-LKL
8,Jonava Jonavos,33,40.7,80.5,28.9,61.1,0.473,8.2,24.1,0.342,14.5,19.1,0.757,8.2,19.8,27.9,18.4,9.1,2.5,12.8,21.1,2023,Lithuanian-LKL
9,Neptunas,33,40.5,80.4,28.2,62.7,0.449,8.3,25.5,0.327,15.7,21.7,0.722,10.2,23.4,33.6,17.9,5.3,3.2,12.2,19.7,2023,Lithuanian-LKL
10,Pieno Zvaigzdes,33,40.8,79.8,27.8,61.7,0.451,8.9,24.7,0.361,15.3,19.8,0.771,7.2,21.9,29.0,14.9,6.2,2.5,13.4,20.1,2023,Lithuanian-LKL
11,Vytautas Prienu,33,41.1,79.2,27.4,64.4,0.426,8.7,27.4,0.318,15.6,21.2,0.738,8.1,20.7,28.8,13.5,6.0,1.7,11.8,21.7,2023,Lithuanian-LKL
12,Gargzdu Gargzdai,32,40.4,75.9,27.1,61.3,0.441,8.3,24.0,0.344,13.6,20.1,0.674,10.2,22.8,32.9,18.4,5.3,1.5,15.2,20.4,2023,Lithuanian-LKL
