#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Marijampole Suduva-Arvi,43,39.7,84.1,30.2,64.8,0.466,10.0,29.5,0.338,13.7,19.0,0.723,11.1,23.8,34.9,18.8,8.1,2.3,13.2,19.1,2023,Lithuanian-NKL,0
2,Lietuvos Rytas II,45,39.4,82.5,29.8,66.6,0.447,6.8,21.1,0.324,16.1,21.9,0.736,11.7,25.8,37.4,16.8,6.8,2.6,15.0,20.8,2023,Lithuanian-NKL,0
3,Telsiai,44,39.5,80.8,29.3,60.8,0.482,8.2,22.1,0.371,14.0,19.2,0.731,8.5,22.9,31.4,19.6,8.1,1.7,13.4,23.3,2023,Lithuanian-NKL,0
4,Vytis Zanavykas Sakiai,44,39.4,80.3,29.3,65.8,0.446,9.9,30.0,0.331,11.8,16.2,0.727,9.5,23.5,33.1,18.5,7.6,2.3,13.0,20.6,2023,Lithuanian-NKL,0
5,Vilniaus Stekas,42,39.5,80.3,29.4,67.4,0.436,9.8,29.0,0.339,11.8,17.1,0.689,9.9,22.7,32.6,19.8,7.9,1.3,12.4,21.0,2023,Lithuanian-NKL,0
6,Vilkaviskio Perlas,41,39.7,79.5,30.0,65.7,0.456,9.2,26.9,0.341,10.4,14.9,0.697,9.8,21.8,31.6,16.6,7.6,2.0,13.7,22.5,2023,Lithuanian-NKL,0
7,Delikatesas Joniskis,43,39.7,78.8,28.4,66.0,0.431,7.6,25.2,0.303,14.3,21.2,0.673,9.8,24.2,34.0,16.9,7.9,2.2,14.9,18.4,2023,Lithuanian-NKL,0
8,Kretingos Kretinga,38,39.6,78.3,28.5,63.3,0.45,6.9,22.7,0.305,14.4,21.7,0.664,8.9,23.4,32.3,17.7,7.5,2.1,15.0,20.5,2023,Lithuanian-NKL,0
9,Palangos Kursiai,41,39.9,76.6,28.1,64.0,0.439,8.1,25.7,0.316,12.2,18.3,0.67,9.0,22.7,31.6,15.1,7.8,2.7,14.7,23.0,2023,Lithuanian-NKL,0
10,Mazeikiai,43,39.3,76.4,28.2,60.2,0.468,7.5,22.0,0.341,12.5,18.2,0.688,8.9,22.4,31.3,18.6,7.0,1.9,14.0,21.3,2023,Lithuanian-NKL,0
11,Zalgris II,43,39.7,76.2,27.5,60.1,0.457,6.3,20.3,0.31,15.0,21.2,0.709,12.2,24.0,36.3,15.3,6.9,4.4,16.3,23.3,2023,Lithuanian-NKL,1
12,LKKA LSU Atletas,47,39.5,75.0,26.1,61.1,0.427,7.9,25.8,0.305,14.9,22.6,0.659,10.4,23.3,33.7,17.3,7.1,2.0,15.0,22.4,2023,Lithuanian-NKL,0
13,Silute,44,39.5,73.2,25.5,59.3,0.429,6.7,21.6,0.309,15.6,22.6,0.693,8.5,22.3,30.8,14.6,7.3,1.5,14.2,20.7,2023,Lithuanian-NKL,0
14,Neptuans Akvaservis Klaipeda,38,39.7,71.3,26.1,63.0,0.415,6.7,23.7,0.282,12.4,17.1,0.723,10.6,24.5,35.1,17.3,5.6,3.9,16.8,19.4,2023,Lithuanian-NKL,0
