#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Etzella Ettelbruck,27,40.2,92.4,34.5,69.9,0.494,9.1,24.9,0.364,14.3,18.2,0.788,10.2,29.0,39.1,17.9,7.6,2.7,12.3,15.2,2019,Luxembourg-Total-League,1
2,AB Contern,9,40.0,91.4,34.3,70.8,0.485,9.4,26.1,0.362,13.3,20.1,0.663,8.1,28.8,36.9,18.3,8.3,1.1,13.0,19.6,2019,Luxembourg-Total-League,0
3,T71 Dudelange,32,40.1,90.1,34.3,73.1,0.469,8.5,25.0,0.34,14.5,20.7,0.703,9.7,28.3,38.0,17.2,6.6,0.9,12.6,15.8,2019,Luxembourg-Total-League,0
4,US Heffingen,12,40.0,87.8,31.2,67.7,0.461,10.1,25.3,0.399,15.3,20.3,0.757,8.8,30.4,39.2,16.9,7.6,1.9,14.7,15.3,2019,Luxembourg-Total-League,0
5,Arantia Larochette,30,39.9,84.1,32.3,74.6,0.432,6.3,21.9,0.29,14.6,20.7,0.703,10.5,28.4,38.9,13.8,7.5,1.9,15.1,19.7,2019,Luxembourg-Total-League,0
6,Musel Pikes,32,40.3,83.9,32.9,70.5,0.467,8.0,23.8,0.338,11.3,17.2,0.656,8.1,30.0,38.0,14.3,6.0,1.8,12.7,17.3,2019,Luxembourg-Total-League,0
7,Basket Esch,28,40.3,82.3,30.8,66.1,0.465,7.3,21.9,0.333,15.5,20.2,0.766,8.5,28.4,36.9,15.9,6.0,2.1,14.1,16.1,2019,Luxembourg-Total-League,0
8,Residence Walferdange,30,40.3,80.8,29.3,72.0,0.407,9.7,31.4,0.31,13.8,18.5,0.743,8.1,25.0,33.1,10.8,6.4,0.5,12.5,16.2,2019,Luxembourg-Total-League,0
9,Amicale Steinsel,28,40.0,80.0,31.6,72.5,0.436,7.3,23.6,0.308,11.6,16.6,0.7,11.2,27.1,38.4,13.9,6.5,3.5,10.3,16.2,2019,Luxembourg-Total-League,0
10,Telstar Hesperange,12,40.0,79.7,29.8,72.2,0.413,12.3,37.4,0.33,7.7,11.5,0.667,7.0,28.8,35.8,13.8,4.8,3.2,11.4,15.6,2019,Luxembourg-Total-League,0
11,BBC Sparta Bertrange,23,39.9,79.5,30.5,72.1,0.423,7.9,24.9,0.318,10.7,15.5,0.686,9.5,25.6,35.0,11.8,7.0,3.0,12.4,19.5,2019,Luxembourg-Total-League,0
12,AS Soleuvre,10,40.0,79.2,29.9,71.2,0.42,6.2,23.1,0.268,13.2,19.8,0.667,12.1,26.5,38.6,10.0,5.6,2.0,13.7,19.0,2019,Luxembourg-Total-League,0
13,Kordall Steelers,29,40.0,78.7,30.9,71.4,0.433,6.2,22.6,0.277,12.6,18.6,0.677,8.6,27.5,36.1,11.1,6.7,2.3,16.2,18.0,2019,Luxembourg-Total-League,0
14,Racing Lux,26,40.0,76.1,28.9,65.4,0.442,8.3,24.2,0.343,11.9,15.7,0.756,9.1,26.4,35.5,16.1,6.1,1.3,15.3,19.2,2019,Luxembourg-Total-League,0
